"Latitude (decimal degrees):	37.770"								
"Longitude (decimal degrees):	-3.800"								
"Elevation (m):	726"								
"Radiation database:	PVGIS-CMSAF"								
								
								
Slope: 0								
Azimuth: 0								
"Nominal power of the PV system (crystalline silicon) (kWp):	1.0"								
"System losses (%):	 14.0"								
Date	EPV	Bi	Di	Ri	As	Tamb	W10	Int.
20070101:0055	0	0	0	0	0	6.48	0.62	0
20070101:0155	0	0	0	0	0	5.38	0.62	0
20070101:0255	0	0	0	0	0	4.28	0.62	0
20070101:0355	0	0	0	0	0	3.18	0.62	0
20070101:0455	0	0	0	0	0	2.73	0.74	0
20070101:0555	0	0	0	0	0	2.28	0.87	0
20070101:0655	0	0	0	0	0	1.83	0.99	0
20070101:0755	12.66	0	26.45	0	3.31	2.65	1.25	0
20070101:0855	45.36	0	67.3	0	12.68	3.47	1.5	0
20070101:0955	67.17	0	92.85	0	20.49	4.29	1.75	0
20070101:1055	79.25	0	108.05	0	26.12	7.46	1.64	0
20070101:1155	367.53	282.84	167.17	0	28.97	10.64	1.52	0
20070101:1255	372.53	325.9	138.32	0	28.62	13.82	1.41	0
20070101:1355	74.76	0	105.7	0	25.14	14.12	1.71	0
20070101:1455	61.21	0	89.55	0	18.98	14.42	2.02	0
20070101:1555	37.28	0	60.25	0	10.79	14.72	2.33	0
20070101:1655	5.85	0	17.1	0	1.15	12.64	2.29	0
20070101:1755	0	0	0	0	0	10.55	2.26	0
20070101:1855	0	0	0	0	0	8.47	2.22	0
20070101:1955	0	0	0	0	0	7.65	2.1	0
20070101:2055	0	0	0	0	0	6.84	1.97	0
20070101:2155	0	0	0	0	0	6.02	1.85	0
20070101:2255	0	0	0	0	0	5.89	1.98	0
20070101:2355	0	0	0	0	0	5.76	2.11	0
20070102:0055	0	0	0	0	0	5.62	2.23	0
20070102:0155	0	0	0	0	0	5.44	2.32	0
20070102:0255	0	0	0	0	0	5.27	2.41	0
20070102:0355	0	0	0	0	0	5.09	2.5	0
20070102:0455	0	0	0	0	0	4.82	2.58	0
20070102:0555	0	0	0	0	0	4.54	2.67	0
20070102:0655	0	0	0	0	0	4.27	2.76	0
20070102:0755	11.07	0	24.4	0	3.29	4.77	3.14	0
20070102:0855	46.53	0	69.05	0	12.68	5.27	3.52	0
20070102:0955	68.74	0	95	0	20.51	5.77	3.9	0
20070102:1055	80.75	0	109.9	0	26.17	8.34	3.5	0
20070102:1155	414.81	387.47	115.97	0	29.04	10.91	3.09	0
20070102:1255	403.29	381.87	115.37	0	28.72	13.48	2.69	0
20070102:1355	77.09	0	108.35	0	25.25	14.06	2.26	0
20070102:1455	63.29	0	92.15	0	19.11	14.64	1.83	0
20070102:1555	39.1	0	62.7	0	10.92	15.21	1.39	0
20070102:1655	5.37	0	16.4	0	1.29	14.1	1.13	0
20070102:1755	0	0	0	0	0	12.98	0.87	0
20070102:1855	0	0	0	0	0	11.86	0.61	0
20070102:1955	0	0	0	0	0	9.83	0.74	0
20070102:2055	0	0	0	0	0	7.79	0.86	0
20070102:2155	0	0	0	0	0	5.76	0.99	0
20070102:2255	0	0	0	0	0	5.33	1.16	0
20070102:2355	0	0	0	0	0	4.9	1.33	0
20070103:0055	0	0	0	0	0	4.47	1.5	0
20070103:0155	0	0	0	0	0	4.08	1.34	0
20070103:0255	0	0	0	0	0	3.69	1.18	0
20070103:0355	0	0	0	0	0	3.3	1.02	0
20070103:0455	0	0	0	0	0	3	1.02	0
20070103:0555	0	0	0	0	0	2.71	1.02	0
20070103:0655	0	0	0	0	0	2.41	1.02	0
20070103:0755	11	0	24.2	0	3.28	3.4	1.31	0
20070103:0855	45.63	0	67.85	0	12.69	4.4	1.59	0
20070103:0955	67.57	0	93.7	0	20.54	5.39	1.88	0
20070103:1055	80.23	0	109.4	0	26.23	8	1.74	0
20070103:1155	407.36	383.37	115.52	0	29.13	10.61	1.61	0
20070103:1255	396.95	378.27	114.92	0	28.83	13.22	1.48	0
20070103:1355	76.85	0	108.2	0	25.38	13.96	1.23	0
20070103:1455	63.17	0	92.15	0	19.24	14.71	0.99	0
20070103:1555	39.22	0	62.95	0	11.06	15.45	0.74	0
20070103:1655	5.65	0	16.9	0	1.43	14.75	0.76	0
20070103:1755	0	0	0	0	0	14.04	0.77	0
20070103:1855	0	0	0	0	0	13.33	0.79	0
20070103:1955	0	0	0	0	0	11.41	0.88	0
20070103:2055	0	0	0	0	0	9.5	0.98	0
20070103:2155	0	0	0	0	0	7.58	1.08	0
20070103:2255	0	0	0	0	0	6.76	1.31	0
20070103:2355	0	0	0	0	0	5.94	1.55	0
20070104:0055	0	0	0	0	0	5.12	1.79	0
20070104:0155	0	0	0	0	0	4.99	1.49	0
20070104:0255	0	0	0	0	0	4.87	1.2	0
20070104:0355	0	0	0	0	0	4.74	0.9	0
20070104:0455	0	0	0	0	0	4.56	1	0
20070104:0555	0	0	0	0	0	4.37	1.11	0
20070104:0655	0	0	0	0	0	4.19	1.21	0
20070104:0755	13.24	0	27.45	0	3.28	4.73	1.31	0
20070104:0855	71.59	0	98.35	0	12.7	5.27	1.42	0
20070104:0955	131.29	0	166.4	0	20.58	5.81	1.52	0
20070104:1055	80.39	0	109.7	0	26.29	8.18	1.57	0
20070104:1155	410.35	386.42	115.87	0	29.22	10.56	1.63	0
20070104:1255	401.4	381.72	115.32	0	28.94	12.94	1.68	0
20070104:1355	77.72	0	108.9	0	25.51	13.52	2.03	0
20070104:1455	64.17	0	92.95	0	19.38	14.11	2.37	0
20070104:1555	40.22	0	63.9	0	11.2	14.69	2.72	0
20070104:1655	7.59	0	19.85	0	1.57	12.48	2.7	0
20070104:1755	0	0	0	0	0	10.26	2.68	0
20070104:1855	0	0	0	0	0	8.04	2.66	0
20070104:1955	0	0	0	0	0	6.91	2.63	0
20070104:2055	0	0	0	0	0	5.78	2.61	0
20070104:2155	0	0	0	0	0	4.65	2.58	0
20070104:2255	0	0	0	0	0	4.37	2.28	0
20070104:2355	0	0	0	0	0	4.09	1.98	0
20070105:0055	0	0	0	0	0	3.81	1.68	0
20070105:0155	0	0	0	0	0	3.59	1.66	0
20070105:0255	0	0	0	0	0	3.38	1.64	0
20070105:0355	0	0	0	0	0	3.16	1.61	0
20070105:0455	0	0	0	0	0	2.95	1.56	0
20070105:0555	0	0	0	0	0	2.75	1.51	0
20070105:0655	0	0	0	0	0	2.54	1.46	0
20070105:0755	14.35	0	28.8	0	3.28	3.17	1.8	0
20070105:0855	45.79	0	67.85	0	12.72	3.8	2.13	0
20070105:0955	133.38	0	167.4	0	20.62	4.43	2.47	0
20070105:1055	129.47	0	165.15	0	26.36	7.34	2.18	0
20070105:1155	404.91	378.72	114.77	0	29.32	10.26	1.89	0
20070105:1255	394.31	374.52	114.27	0	29.06	13.18	1.6	0
20070105:1355	76.39	0	107.4	0	25.64	13.62	1.78	0
20070105:1455	63.06	0	91.65	0	19.52	14.07	1.96	0
20070105:1555	58.92	0	86.8	0	11.35	14.51	2.14	0
20070105:1655	8.66	0	21.5	0	1.71	12.38	2.25	0
20070105:1755	0	0	0	0	0	10.25	2.37	0
20070105:1855	0	0	0	0	0	8.12	2.48	0
20070105:1955	0	0	0	0	0	7.14	2.35	0
20070105:2055	0	0	0	0	0	6.15	2.23	0
20070105:2155	0	0	0	0	0	5.17	2.1	0
20070105:2255	0	0	0	0	0	4.83	2.05	0
20070105:2355	0	0	0	0	0	4.5	2	0
20070106:0055	0	0	0	0	0	4.16	1.96	0
20070106:0155	0	0	0	0	0	3.8	1.93	0
20070106:0255	0	0	0	0	0	3.45	1.9	0
20070106:0355	0	0	0	0	0	3.09	1.88	0
20070106:0455	0	0	0	0	0	2.83	1.81	0
20070106:0555	0	0	0	0	0	2.57	1.75	0
20070106:0655	0	0	0	0	0	2.31	1.68	0
20070106:0755	10.92	0	24.05	0	3.29	2.99	1.83	0
20070106:0855	45.94	0	68	0	12.75	3.66	1.97	0
20070106:0955	68.11	0	93.9	0	20.67	4.34	2.11	0
20070106:1055	80.5	0	109.4	0	26.44	7.2	1.49	0
20070106:1155	406.8	384.37	115.62	0	29.42	10.06	0.88	0
20070106:1255	394.73	380.52	115.17	0	29.19	12.92	0.26	0
20070106:1355	76.89	0	108.05	0	25.78	13.16	0.5	0
20070106:1455	63.75	0	92.4	0	19.67	13.4	0.73	0
20070106:1555	40.44	0	64	0	11.5	13.63	0.97	0
20070106:1655	6.8	0	18.6	0	1.87	12.25	1.37	0
20070106:1755	0	0	0	0	0	10.87	1.78	0
20070106:1855	0	0	0	0	0	9.49	2.19	0
20070106:1955	0	0	0	0	0	8.36	2.18	0
20070106:2055	0	0	0	0	0	7.24	2.17	0
20070106:2155	0	0	0	0	0	6.11	2.15	0
20070106:2255	0	0	0	0	0	5.46	2	0
20070106:2355	0	0	0	0	0	4.81	1.85	0
20070107:0055	0	0	0	0	0	4.16	1.7	0
20070107:0155	0	0	0	0	0	3.67	1.51	0
20070107:0255	0	0	0	0	0	3.17	1.33	0
20070107:0355	0	0	0	0	0	2.68	1.14	0
20070107:0455	0	0	0	0	0	2.72	1.16	0
20070107:0555	0	0	0	0	0	2.75	1.17	0
20070107:0655	0	0	0	0	0	2.79	1.19	0
20070107:0755	10.89	0	24.05	0	3.31	3.43	1.2	0
20070107:0855	46.06	0	68.3	0	12.79	4.08	1.22	0
20070107:0955	68.19	0	94.25	0	20.73	4.72	1.24	0
20070107:1055	80.45	0	109.25	0	26.53	6.76	0.93	0
20070107:1155	407.29	383.27	115.52	0	29.53	8.8	0.63	0
20070107:1255	398.57	379.87	115.07	0	29.33	10.84	0.32	0
20070107:1355	77.56	0	107.95	0	25.93	11.35	0.89	0
20070107:1455	64.33	0	92.4	0	19.83	11.87	1.47	0
20070107:1555	40.99	0	64.3	0	11.66	12.38	2.04	0
20070107:1655	7.21	0	19.15	0	2.02	10.7	2.18	0
20070107:1755	0	0	0	0	0	9.01	2.32	0
20070107:1855	0	0	0	0	0	7.33	2.46	0
20070107:1955	0	0	0	0	0	6.4	2.61	0
20070107:2055	0	0	0	0	0	5.47	2.76	0
20070107:2155	0	0	0	0	0	4.54	2.91	0
20070107:2255	0	0	0	0	0	4.18	2.74	0
20070107:2355	0	0	0	0	0	3.83	2.56	0
20070108:0055	0	0	0	0	0	3.47	2.39	0
20070108:0155	0	0	0	0	0	3.39	2.15	0
20070108:0255	0	0	0	0	0	3.31	1.91	0
20070108:0355	0	0	0	0	0	3.23	1.67	0
20070108:0455	0	0	0	0	0	3.52	1.54	0
20070108:0555	0	0	0	0	0	3.81	1.42	0
20070108:0655	0	0	0	0	0	4.1	1.3	0
20070108:0755	14.66	0	29.4	0	3.33	4.83	1.58	0
20070108:0855	69.59	0	96.1	0	12.83	5.57	1.87	0
20070108:0955	68.29	0	94.85	0	20.8	6.3	2.15	0
20070108:1055	142.23	0	179.85	0	26.62	7.58	2.06	0
20070108:1155	376.95	271.18	184.22	0	29.65	8.87	1.96	0
20070108:1255	411.17	385.12	115.77	0	29.47	10.16	1.86	0
20070108:1355	78.45	0	108.45	0	26.09	10.56	1.89	0
20070108:1455	65.21	0	93.05	0	19.99	10.97	1.93	0
20070108:1555	41.85	0	65.1	0	11.82	11.37	1.96	0
20070108:1655	10.56	0	24.1	0	2.18	9.62	2.05	0
20070108:1755	0	0	0	0	0	7.87	2.14	0
20070108:1855	0	0	0	0	0	6.12	2.23	0
20070108:1955	0	0	0	0	0	5.22	2.17	0
20070108:2055	0	0	0	0	0	4.32	2.11	0
20070108:2155	0	0	0	0	0	3.42	2.04	0
20070108:2255	0	0	0	0	0	3.14	1.88	0
20070108:2355	0	0	0	0	0	2.86	1.72	0
20070109:0055	0	0	0	0	0	2.57	1.56	0
20070109:0155	0	0	0	0	0	2.58	1.6	0
20070109:0255	0	0	0	0	0	2.58	1.64	0
20070109:0355	0	0	0	0	0	2.59	1.68	0
20070109:0455	0	0	0	0	0	2.32	1.81	0
20070109:0555	0	0	0	0	0	2.05	1.94	0
20070109:0655	0	0	0	0	0	1.78	2.07	0
20070109:0755	10.94	0	24.05	0	3.35	2.68	2.03	0
20070109:0855	46	0	68.05	0	12.87	3.59	2	0
20070109:0955	68.13	0	94	0	20.87	4.49	1.96	0
20070109:1055	80.08	0	108.9	0	26.72	7.31	1.88	0
20070109:1155	409.21	382.97	115.22	0	29.78	10.14	1.79	0
20070109:1255	400.86	380.27	114.92	0	29.62	12.97	1.71	0
20070109:1355	106.59	0	142.7	0	26.25	13.12	1.76	0
20070109:1455	84.6	0	116.95	0	20.16	13.27	1.81	0
20070109:1555	0.26	0	6.4	0	11.98	13.41	1.86	0
20070109:1655	7.87	0	20.25	0	2.34	11.87	1.92	0
20070109:1755	0	0	0	0	0	10.32	1.97	0
20070109:1855	0	0	0	0	0	8.78	2.03	0
20070109:1955	0	0	0	0	0	8.1	2.04	0
