Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	21Aug20	10:51:11-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1738_531_ESP-AN.txt	-6.3000	37.0000	1	14610	12	31	2018	2623.7	0.0	9315.0	9845.2	   112.0	     1.0	58.7	1792.4	633.4	0.000	0.0	0.0	21242.31	111526.22	49294.755	13635.54	6508.18	7004.95	68.23
OliveGIS	21Aug20	10:51:22-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1747_522_ESP-AN.txt	-5.4000	37.9000	1	14610	12	31	2018	2611.4	0.0	8089.8	8863.2	   130.0	     1.0	120.1	2079.9	732.6	0.000	0.0	0.0	14022.55	69484.65	26798.763	5988.19	3533.99	5023.58	54.40
OliveGIS	21Aug20	10:51:28-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1773_532_ESP-AN.txt	-2.8000	36.9000	1	14610	12	31	2018	1880.3	7.3	2107.0	3876.2	   171.0	     1.0	461.9	3419.1	626.8	0.000	0.0	0.0	21446.69	168481.01	203144.388	35687.06	4308.77	2925.74	73.03
OliveGIS	21Aug20	10:51:40-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1743_526_ESP-AN.txt	-5.8000	37.5000	1	14610	12	31	2018	2637.0	0.0	9299.9	10170.1	   115.0	     1.0	90.6	1551.5	667.0	0.000	0.0	0.0	13583.03	72127.48	26253.722	7050.61	4232.38	5725.60	53.83
OliveGIS	21Aug20	10:51:47-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1752_517_ESP-AN.txt	-4.9000	38.4000	1	14610	12	31	2018	2599.7	1.1	6089.9	6367.3	   148.0	     1.0	251.2	2400.8	663.8	0.000	0.0	0.0	19149.33	154627.52	103164.802	10251.28	4443.21	4022.64	60.74
OliveGIS	21Aug20	10:51:55-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1749_520_ESP-AN.txt	-5.2000	38.1000	1	14610	12	31	2018	2602.5	0.3	7500.7	7927.4	   143.0	     1.0	199.4	2467.2	760.0	0.000	0.0	0.0	27531.49	205622.36	123847.568	23195.00	6203.55	5560.11	67.54
OliveGIS	21Aug20	10:52:03-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1750_519_ESP-AN.txt	-5.1000	38.2000	1	14610	12	31	2018	2582.5	0.7	7107.9	7436.1	   149.0	     1.0	268.7	2515.5	727.3	0.000	0.0	0.0	22275.13	183017.48	171941.634	13328.85	5213.01	4555.01	59.35
OliveGIS	21Aug20	10:52:14-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1741_528_ESP-AN.txt	-6.0000	37.3000	1	14610	12	31	2018	2637.4	0.0	9425.0	10190.7	   114.0	     1.0	76.8	1585.9	665.8	0.000	0.0	0.0	14844.01	77526.21	28715.978	7643.66	4483.00	5974.73	56.08
OliveGIS	21Aug20	10:52:22-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1775_530_ESP-AN.txt	-2.6000	37.1000	1	14610	12	31	2018	2318.9	0.4	7141.5	7282.9	   145.0	     1.0	307.5	3009.3	564.1	0.000	0.0	0.0	32438.79	247083.41	319808.803	57351.11	7501.15	5125.78	69.57
OliveGIS	21Aug20	10:52:29-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1780_525_ESP-AN.txt	-2.1000	37.6000	1	14610	12	31	2018	2078.7	3.4	1827.2	3338.1	   161.0	     1.0	372.6	3275.3	458.7	0.000	0.0	0.0	17040.32	111971.03	181547.872	32623.49	3844.00	2577.56	74.85
