Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	21Aug20	10:55:10-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1726_525_ESP-AN.txt	-7.5	37.6	1	730	12	30	Std	11.6508969959277	0.260358934221355	789.522772374025	883.406421224528	7.45087374528324	39	24.3059333098336	302.058603473769	129.655435768391	0	0	0	6916.92923567338	37725.5890139636	26620.1701177237	18725.744981265	1580.57764362119	713.639135309916	8.89936651068479
OliveGIS	21Aug20	10:56:22-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1727_524_ESP-AN.txt	-7.4	37.7	1	730	12	30	Std	11.4167555676868	0.251714766922085	793.849105664359	883.718110232882	7.57748992584275	39	23.796614032383	296.74370523937	144.799327331592	0	0	0	6709.98626226546	36508.5654443036	25839.9510718183	17134.5289361702	1530.13056974539	736.036085533646	8.78240929872995
OliveGIS	21Aug20	12:02:54-PM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1727_525_ESP-AN.txt	-7.4	37.6	1	730	12	30	Std	11.2686211162834	0.291512876362298	780.638302306734	871.900784487091	7.54107063279472	39	23.9742881276602	293.367213707109	144.799327331592	0	0	0	6425.67850754663	35321.2424358152	24855.00703761	15615.6130560204	1456.10601577323	716.24191414993	8.75321248913175
OliveGIS	21Aug20	11:26:26-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1727_526_ESP-AN.txt	-7.4	37.5	1	730	12	30	Std	13.4796477766867	0.0887003172981863	1212.02634536645	1288.66867015168	7.77604890495165	39	23.2723892749348	290.065241649108	138.919944761836	0	0	0	7184.71192506279	39177.4155884681	29479.5244985103	17566.217518122	1664.61179554502	978.887450582391	7.38069623565941
OliveGIS	21Aug20	12:39:08-PM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1727_527_ESP-AN.txt	-7.4	37.4	1	730	12	30	Std	12.7810134572049	0	847.873914632777	914.774010299281	7.62825559356854	39	19.832821526868	285.89142968643	138.64932186434	0	0	0	6568.12030228047	35741.3917533376	25737.3102851915	17732.0047564189	1506.47898605592	709.697970718034	7.2729329418226
OliveGIS	21Aug20	11:09:47-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1727_528_ESP-AN.txt	-7.4	37.3	1	730	12	30	Std	11.9314794736089	0	743.289112184147	793.484436510985	7.03931508139213	39	16.9028389601357	275.675723831192	138.64932186434	0	0	0	6368.20135211311	33124.2726942239	23932.2411381787	18254.9054431648	1429.38817252657	651.857174239954	5.8702635428129
OliveGIS	21Aug20	12:18:31-PM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1727_529_ESP-AN.txt	-7.4	37.2	1	730	12	30	Std	15.135856204719	0	868.13749455181	874.825220724183	7.11084401207779	39	9.23660718449701	295.029536571159	147.904604381679	0	0	0	5839.9242165205	35301.218194568	38376.8461072524	33671.5574950894	1683.31593897937	713.450134294778	1.7375474828219
OliveGIS	21Aug20	10:55:47-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1728_523_ESP-AN.txt	-7.3	37.8	1	730	12	30	Std	12.7565452491518	0.34015952437686	763.154862243033	825.655111629743	7.96940844637513	39	25.4458645813322	300.559078467317	144.951201104904	0	0	0	7226.57251932677	40083.7678903192	33094.5251039427	22782.3992577194	1636.59586022605	726.543026637422	7.93113335206975
OliveGIS	21Aug20	12:04:44-PM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1728_524_ESP-AN.txt	-7.3	37.7	1	730	12	30	Std	11.4108088540845	0.226395805457488	817.910641985177	895.339487901931	7.72031339172166	39	23.781317302277	297.898035771636	144.799327331592	0	0	0	7176.93618488747	39040.5652252855	28181.4438179052	19499.5617623602	1650.72326908777	796.544944186988	8.79632811996358
OliveGIS	21Aug20	11:24:35-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1728_525_ESP-AN.txt	-7.3	37.6	1	730	12	30	Std	11.5394909572284	0.210935836513159	809.629328617167	888.317442515604	7.6240085304828	39	23.440155805445	294.844021848795	144.799327331592	0	0	0	7145.35246948832	38645.4055976402	28065.7822119903	19437.8421768628	1635.7544910906	774.989903108665	8.65786862939018
OliveGIS	21Aug20	12:38:43-PM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1728_526_ESP-AN.txt	-7.3	37.5	1	730	12	30	Std	12.2538401813588	0.0409073869245305	1405.12100049992	1478.11215668713	7.95669792284196	39	22.3278899443212	293.601000767746	138.919944761836	0	0	0	7932.46213680196	43021.2974198752	32414.2862137521	21287.0680490952	1859.81508925175	1140.34874488308	7.31648001139107
OliveGIS	21Aug20	11:11:17-AM	/filesystem/4be20185-f7dc-4dc0-be56-e4e1fd510078/output/AgERA5_1728_527_ESP-AN.txt	-7.3	37.4	1	730	12	30	Std	13.310486160744	0	866.944208061878	934.918380757092	7.7538897991617	39	19.6140544916965	286.711954179392	138.64932186434	0	0	0	6810.38456111638	37073.0961327608	27038.7925088686	19716.7567548345	1588.30383297117	738.606141547245	7.17674148577028
