Model	Date	Time	WxFile	Long	Lat	GisOutSeq	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	PlantddBSum	BloomChillHr	TempIncr	ddbMinus10	ddbMinus85	Mite01	GWSS01	Olivscal01	Amacul01	Cutil01	OleanScl01	Achilen01	Ed	Cocc01	OlvFly01	PrcpYrSum
OliveGIS	30set19	17:41:06	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	1	1	365	12	30	1980	2644	0.0	5104.12	5224.43	102	104.5	2136.8	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	421.8
OliveGIS	30set19	17:41:06	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	2	1	731	12	31	1981	2643	0.1	7561.36	8069.98	98	89.2	1933.4	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	372.8
OliveGIS	30set19	17:41:06	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	3	1	1096	12	31	1982	2661	0.0	8727.20	8951.33	102	74.9	2179.4	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	436.2
OliveGIS	30set19	17:41:06	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	4	1	1461	12	31	1983	2635	0.3	9124.41	9412.39	98	91.5	2034.6	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	535.2
OliveGIS	30set19	17:41:06	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	5	1	1826	12	30	1984	2626	0.0	8410.05	8685.47	114	105.8	2568.4	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	486.2
OliveGIS	30set19	17:41:06	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	6	1	2192	12	31	1985	2626	1.6	8114.90	8406.14	107	111.5	2113.0	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	536.4
OliveGIS	30set19	17:41:07	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	7	1	2557	12	31	1986	2634	0.0	7723.86	7870.80	127	118.6	2267.6	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	467.3
OliveGIS	30set19	17:41:07	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	8	1	2922	12	31	1987	2630	0.2	9078.99	9334.32	105	91.0	1836.0	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	745.2
OliveGIS	30set19	17:41:07	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	9	1	3287	12	30	1988	2622	0.0	8168.44	8722.29	108	89.4	2326.7	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	549.0
OliveGIS	30set19	17:41:07	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	10	1	3653	12	31	1989	2645	0.0	6741.42	7214.79	107	59.0	1920.1	0.000	0.0	0.0	0	0	0	0	0	0	0	0	0	0	960.3
