Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83
OliveGIS	30set19	17:41:06	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	1	1096	12	31	1982	2660.9	0.0	8727.2	8951.3	   102.0	     1.0	35.1	2179.4	436.2	0.000	0.0	0.0
OliveGIS	30set19	17:41:12	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	1	1096	12	31	1982	2655.6	0.0	9209.5	9375.7	   101.0	     1.0	31.9	2060.9	404.8	0.000	0.0	0.0
OliveGIS	30set19	17:41:17	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.1250	37.8750	1	1096	12	31	1982	2649.9	0.0	8300.1	8476.3	   115.0	     1.0	51.8	2537.4	466.8	0.000	0.0	0.0
OliveGIS	30set19	17:41:21	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_210_ESP.txt	-7.1250	37.6250	1	1096	12	31	1982	2659.1	0.0	8735.4	8952.4	   106.0	     1.0	39.0	2239.6	478.6	0.000	0.0	0.0
OliveGIS	30set19	17:41:28	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_211_ESP.txt	-7.1250	37.3750	1	1096	12	31	1982	2664.4	0.0	8846.1	9023.2	   102.0	     1.0	35.4	2028.1	414.3	0.000	0.0	0.0
OliveGIS	30set19	17:41:32	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_208_ESP.txt	-6.8750	38.1250	1	1096	12	31	1982	2632.6	0.1	7851.3	8015.5	   118.0	     1.0	76.1	2540.5	493.8	0.000	0.0	0.0
OliveGIS	30set19	17:41:37	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_209_ESP.txt	-6.8750	37.8750	1	1096	12	31	1982	2651.6	0.0	8854.3	9052.0	   112.0	     1.0	50.4	2344.3	524.1	0.000	0.0	0.0
OliveGIS	30set19	17:41:41	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_210_ESP.txt	-6.8750	37.6250	1	1096	12	31	1982	2661.2	0.0	9825.6	10097.2	   101.0	     1.0	35.2	1941.8	556.3	0.000	0.0	0.0
OliveGIS	30set19	17:41:50	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_211_ESP.txt	-6.8750	37.3750	1	1096	12	31	1982	2673.8	0.0	9782.7	10025.6	   100.0	     1.0	29.1	1780.2	446.0	0.000	0.0	0.0
OliveGIS	30set19	17:41:57	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_209_ESP.txt	-6.6250	37.8750	1	1096	12	31	1982	2640.5	0.0	8875.1	9079.9	   116.0	     1.0	61.2	2478.4	549.3	0.000	0.0	0.0
OliveGIS	30set19	17:42:02	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_210_ESP.txt	-6.6250	37.6250	1	1096	12	31	1982	2656.7	0.0	8785.5	9043.7	   103.0	     1.0	40.8	2032.1	548.6	0.000	0.0	0.0
OliveGIS	30set19	17:42:07	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_211_ESP.txt	-6.6250	37.3750	1	1096	12	31	1982	2670.9	0.0	9690.8	9980.2	   101.0	     1.0	35.1	1756.6	438.3	0.000	0.0	0.0
OliveGIS	30set19	17:42:12	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_212_ESP.txt	-6.6250	37.1250	1	1096	12	31	1982	2687.0	0.0	10716.6	10924.4	    87.0	     1.0	5.1	1500.8	393.2	0.000	0.0	0.0
