Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83
OliveGIS	30set19	17:41:06	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.375	37.625	1	731	12	31	1981	2643.2	0.1	7561.4	8070	98	1	73.5	1933.4	372.8	0	0	0
OliveGIS	30set19	17:41:12	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.375	37.375	1	731	12	31	1981	2630.9	0	7463.1	7764.5	101	1	79.4	1906.4	309.3	0	0	0
OliveGIS	30set19	17:41:17	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.125	37.875	1	731	12	31	1981	2634.3	0.3	7209.4	7636.7	106	1	96.9	2213.4	397.2	0	0	0
OliveGIS	30set19	17:41:21	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_210_ESP.txt	-7.125	37.625	1	731	12	31	1981	2633.6	0.2	7586.8	8058.6	99	1	79.1	1957.8	409.8	0	0	0
OliveGIS	30set19	17:41:28	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_211_ESP.txt	-7.125	37.375	1	731	12	31	1981	2636.8	0.1	7591.6	7937.2	101	1	85.4	1862	316.1	0	0	0
OliveGIS	30set19	17:41:32	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_208_ESP.txt	-6.875	38.125	1	731	12	31	1981	2633.2	1.5	6476.3	6873.2	115	1	140.2	2310.1	495.6	0	0	0
OliveGIS	30set19	17:41:37	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_209_ESP.txt	-6.875	37.875	1	731	12	31	1981	2627.5	0.6	7367.2	7804.7	105	1	102.2	2163.3	485	0	0	0
OliveGIS	30set19	17:41:41	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_210_ESP.txt	-6.875	37.625	1	731	12	31	1981	2643.8	0.3	8095.9	8672.2	97	1	80.4	1836.6	500.8	0	0	0
OliveGIS	30set19	17:41:50	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_211_ESP.txt	-6.875	37.375	1	731	12	31	1981	2637.3	0.1	8005.5	8473.7	98	1	76.9	1735.5	359.9	0	0	0
OliveGIS	30set19	17:41:57	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_209_ESP.txt	-6.625	37.875	1	731	12	31	1981	2630.1	0.9	2746.2	2860.8	109	1	115.8	2266.1	500.2	0	0	0
OliveGIS	30set19	17:42:02	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_210_ESP.txt	-6.625	37.625	1	731	12	31	1981	2632.6	0.4	7767.4	8289.8	99	1	87.5	1881.6	506.7	0	0	0
OliveGIS	30set19	17:42:06	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_211_ESP.txt	-6.625	37.375	1	731	12	31	1981	2638.9	0.3	7931.1	8455.3	99	1	85.8	1687	364.9	0	0	0
OliveGIS	30set19	17:42:11	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_212_ESP.txt	-6.625	37.125	1	731	12	31	1981	2635.2	0	8254.9	8695.5	90	1	31.4	1716.5	304.7	0	0	0
OliveGIS	30set19	17:42:17	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_209_ESP.txt	-6.375	37.875	1	731	12	31	1981	2637.4	1.7	6872.4	7223	113	1	138.9	2215.9	407.3	0	0	0
OliveGIS	30set19	17:42:21	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_210_ESP.txt	-6.375	37.625	1	731	12	31	1981	2637.7	1	7337.2	7870.4	101	1	104.8	1855.8	404.6	0	0	0
OliveGIS	30set19	17:42:26	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_211_ESP.txt	-6.375	37.375	1	731	12	31	1981	2636.6	0.1	8349.2	9312.2	94	1	71.6	1372.3	331.4	0	0	0
OliveGIS	30set19	17:42:32	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_212_ESP.txt	-6.375	37.125	1	731	12	31	1981	2644.4	0	7975.5	8739.6	86	1	34.6	1312.1	292.2	0	0	0
OliveGIS	30set19	17:42:37	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_213_ESP.txt	-6.375	36.875	1	731	12	31	1981	2634.7	0	8969.1	9432.4	95	1	41.8	1631.7	336.4	0	0	0
OliveGIS	30set19	17:42:43	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_209_ESP.txt	-6.125	37.875	1	731	12	31	1981	2636.2	1.8	6895.7	7252.8	114	1	144.6	2179.7	405.4	0	0	0
OliveGIS	30set19	17:42:47	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_210_ESP.txt	-6.125	37.625	1	731	12	31	1981	2637	1.1	7486.9	8065.8	100	1	108	1825.4	390.3	0	0	0
OliveGIS	30set19	17:42:52	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_211_ESP.txt	-6.125	37.375	1	731	12	31	1981	2643.2	0.5	8371.4	9422.1	94	1	82.5	1329.8	324.8	0	0	0
OliveGIS	30set19	17:42:58	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_212_ESP.txt	-6.125	37.125	1	731	12	31	1981	2640.6	0.1	8028.3	8925.4	87	1	56.7	1250.4	300.6	0	0	0
OliveGIS	30set19	17:43:04	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_213_ESP.txt	-6.125	36.875	1	731	12	31	1981	2640	0.4	8945.4	9575.4	95	1	74.5	1450.5	354.9	0	0	0
OliveGIS	30set19	17:43:09	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_214_ESP.txt	-6.125	36.625	1	731	12	31	1981	2623.7	0.1	9580.1	9911.4	95	1	47.2	1788.3	341.1	0	0	0
OliveGIS	30set19	17:43:15	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_215_ESP.txt	-6.125	36.375	1	731	12	31	1981	2628.5	0.6	8824.1	9288.2	99	1	77.3	1591.2	343.5	0	0	0
OliveGIS	30set19	17:43:20	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1417_208_ESP.txt	-5.875	38.125	1	731	12	31	1981	2629.6	3	6697.3	7055.9	124	1	189.9	2214.3	374	0	0	0
OliveGIS	30set19	17:43:24	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1417_209_ESP.txt	-5.875	37.875	1	731	12	31	1981	2628.5	2.3	6823.1	7238.8	110	1	156.7	2046.7	347.3	0	0	0
