Model	Date	Time	WxFile	Long	Lat	GisOutSeq	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	PlantddBSum	BloomChillHr	TempIncr	ddbMinus10	ddbMinus85	OfEgDays	OfLaDays	OfPuDays	OfAdDays	OfPupSum	DamFrSum	PrcntAtkd	Mite01	GWSS01	Olivscal01	Amacul01	Cutil01	OleanScl01	Achilen01	Ed	Cocc01	OlvFly01	PrcpYrSum
OliveGIS	30set19	19:09:54	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	1	1	365	12	30	1980	2644	0.0	4908.32	5024.33	102	104.5	2136.8	0.000	0.0	0.0	20233.83	92621.78	167428.267	44315.87	4930.05	4506.06	81.50	0	0	0	0	0	0	0	0	0	1	421.8
OliveGIS	30set19	19:09:54	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	2	1	731	12	31	1981	2643	0.1	7543.91	8050.53	98	89.2	1933.4	0.000	0.0	0.0	18998.98	92166.61	38380.271	11627.24	4895.28	5743.23	68.14	0	0	0	0	0	0	0	0	0	1	372.8
OliveGIS	30set19	19:09:54	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	3	1	1096	12	31	1982	2661	0.0	8703.42	8926.08	102	74.9	2179.4	0.000	0.0	0.0	25488.07	127416.20	54258.693	17130.71	6629.22	6777.67	72.77	0	0	0	0	0	0	0	0	0	1	436.2
OliveGIS	30set19	19:09:54	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	4	1	1461	12	31	1983	2635	0.3	9054.73	9338.53	98	91.5	2034.6	0.000	0.0	0.0	30317.34	139737.35	60956.401	34531.32	7224.83	7442.36	75.77	0	0	0	0	0	0	0	0	0	1	535.2
OliveGIS	30set19	19:09:55	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	5	1	1826	12	30	1984	2626	0.0	8374.05	8646.89	114	105.8	2568.4	0.000	0.0	0.0	29411.96	153583.60	70289.485	18527.05	6897.52	6653.13	73.26	0	0	0	0	0	0	0	0	0	1	486.2
OliveGIS	30set19	19:09:55	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	6	1	2192	12	31	1985	2626	1.6	8020.79	8306.16	107	111.5	2113.0	0.000	0.0	0.0	23412.95	111919.03	49310.972	49467.04	6075.33	6496.79	73.85	0	0	0	0	0	0	0	0	0	1	536.4
OliveGIS	30set19	19:09:55	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	7	1	2557	12	31	1986	2634	0.0	7712.58	7858.94	127	118.6	2267.6	0.000	0.0	0.0	20573.25	115221.23	56188.449	12181.60	5879.57	5548.34	67.84	0	0	0	0	0	0	0	0	0	1	467.3
OliveGIS	30set19	19:09:56	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	8	1	2922	12	31	1987	2630	0.2	9009.79	9261.44	105	91.0	1836.0	0.000	0.0	0.0	26233.97	128966.78	57528.337	37798.93	7069.23	7205.93	74.10	0	0	0	0	0	0	0	0	0	1	745.2
OliveGIS	30set19	19:09:56	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	9	1	3287	12	30	1988	2622	0.0	8117.11	8666.68	108	89.4	2326.7	0.000	0.0	0.0	26918.74	128797.50	57418.806	20070.20	6920.83	6919.47	76.45	0	0	0	0	0	0	0	0	0	1	549.0
OliveGIS	30set19	19:09:56	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	10	1	3653	12	31	1989	2645	0.0	6697.62	7166.29	107	59.0	1920.1	0.000	0.0	0.0	21363.21	109426.76	50378.640	19096.44	5717.58	5614.74	74.59	0	0	0	0	0	0	0	0	0	1	960.3
OliveGIS	30set19	19:09:56	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	11	1	4018	12	31	1990	2626	0.0	7050.11	7447.51	99	79.1	1860.8	0.000	0.0	0.0	17173.51	84542.49	36157.411	11384.68	4720.31	5407.30	69.43	0	0	0	0	0	0	0	0	0	1	444.3
OliveGIS	30set19	19:09:58	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	12	1	4383	12	31	1991	2636	0.0	7337.07	8172.98	118	101.9	1954.0	0.000	0.0	0.0	12274.10	62037.55	23849.138	6913.50	3427.38	4703.92	55.15	0	0	0	0	0	0	0	0	0	1	459.2
OliveGIS	30set19	19:09:59	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	13	1	4748	12	30	1992	2634	0.0	8221.10	8706.33	104	88.8	1881.9	0.000	0.0	0.0	21668.04	109222.74	49819.152	16053.51	6209.61	6489.95	71.30	0	0	0	0	0	0	0	0	0	1	392.6
OliveGIS	30set19	19:09:59	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	14	1	5114	12	31	1993	2635	0.0	8934.24	9309.97	103	91.3	2469.5	0.000	0.0	0.0	39358.10	212721.54	113319.967	37917.70	9678.06	7749.09	79.47	0	0	0	0	0	0	0	0	0	1	516.9
OliveGIS	30set19	19:09:59	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	15	1	5479	12	31	1994	2640	0.2	8959.50	9208.28	102	96.3	2128.5	0.000	0.0	0.0	29147.99	141075.96	62889.265	64228.53	7132.14	7307.30	75.44	0	0	0	0	0	0	0	0	0	1	399.6
OliveGIS	30set19	19:09:59	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	16	1	5844	12	31	1995	2643	0.0	174.96	182.61	95	74.0	1705.7	0.000	0.0	0.0	782.92	3574.17	1725.167	9963.82	186.70	161.82	82.46	0	0	0	0	0	0	0	0	0	1	568.7
OliveGIS	30set19	19:10:00	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	17	1	6209	12	30	1996	2668	0.1	9176.25	9541.89	112	74.6	2283.2	0.000	0.0	0.0	25017.91	137835.27	62091.291	12039.64	6421.58	6439.60	64.51	0	0	0	0	0	0	0	0	0	1	910.0
OliveGIS	30set19	19:10:00	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	18	1	6575	12	31	1997	2637	0.0	8940.88	9218.60	88	39.5	1698.6	0.000	0.0	0.0	38713.02	180544.93	88389.403	41267.78	9553.67	7992.44	82.24	0	0	0	0	0	0	0	0	0	1	811.8
OliveGIS	30set19	19:10:00	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	19	1	6940	12	31	1998	2655	0.0	7846.10	8249.90	92	72.5	2037.1	0.000	0.0	0.0	19422.17	95658.41	41011.414	12099.40	5448.50	6077.41	70.04	0	0	0	0	0	0	0	0	0	1	356.5
OliveGIS	30set19	19:10:00	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	20	1	7305	12	31	1999	2634	0.0	9166.83	9517.19	99	99.8	1890.4	0.000	0.0	0.0	24968.92	122937.19	52837.591	15118.36	6298.96	7016.07	70.58	0	0	0	0	0	0	0	0	0	1	488.1
OliveGIS	30set19	19:10:00	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	21	1	7670	12	30	2000	2630	0.0	7788.20	8078.02	93	77.8	2011.3	0.000	0.0	0.0	19610.98	95540.60	40332.847	15197.96	5167.15	5905.23	69.58	0	0	0	0	0	0	0	0	0	1	648.6
OliveGIS	30set19	19:10:01	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	22	1	8036	12	31	2001	2645	0.0	1354.10	1407.95	98	75.7	2097.1	0.000	0.0	0.0	4602.21	21648.89	9876.807	4226.46	1166.11	1146.48	77.41	0	0	0	0	0	0	0	0	0	1	679.5
OliveGIS	30set19	19:10:01	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	23	1	8401	12	31	2002	2649	0.0	9905.05	10130.60	103	42.2	2359.2	0.000	0.0	0.0	31361.35	168078.63	72918.900	17212.10	7669.55	7389.98	70.15	0	0	0	0	0	0	0	0	0	1	602.1
OliveGIS	30set19	19:10:01	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	24	1	8766	12	31	2003	2648	0.1	8042.67	8420.96	106	86.2	1689.2	0.000	0.0	0.0	17344.83	85970.48	35820.349	31245.01	4627.88	5716.66	64.59	0	0	0	0	0	0	0	0	0	1	653.2
OliveGIS	30set19	19:10:01	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	25	1	9131	12	30	2004	2658	0.0	8363.34	9027.19	110	83.7	1992.2	0.000	0.0	0.0	17445.56	87819.72	33244.714	8278.71	4269.66	5563.62	59.12	0	0	0	0	0	0	0	0	0	1	393.0
OliveGIS	30set19	19:10:02	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	26	1	9497	12	31	2005	2642	1.5	9812.36	10136.89	107	170.5	1535.5	0.000	0.0	0.0	16421.41	80441.74	29937.453	7465.65	4044.37	5831.33	55.15	0	0	0	0	0	0	0	0	0	1	368.4
OliveGIS	30set19	19:10:02	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	27	1	9862	12	31	2006	2635	0.1	8111.60	8447.35	110	111.6	1707.3	0.000	0.0	0.0	12660.72	64612.78	25490.134	7988.78	3746.14	5008.10	56.73	0	0	0	0	0	0	0	0	0	1	640.5
OliveGIS	30set19	19:10:02	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	28	1	10227	12	31	2007	2644	0.2	8283.01	8599.92	108	82.0	2268.3	0.000	0.0	0.0	25955.61	135372.89	64180.694	17114.00	6966.00	6637.13	73.94	0	0	0	0	0	0	0	0	0	1	398.8
OliveGIS	30set19	19:10:02	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	29	1	10592	12	30	2008	2649	0.0	8481.55	8937.86	93	64.9	2124.1	0.000	0.0	0.0	28178.04	136164.65	60390.327	21286.43	6933.27	7135.72	75.60	0	0	0	0	0	0	0	0	0	1	515.9
OliveGIS	30set19	19:10:02	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	30	1	10958	12	31	2009	2642	0.5	9090.24	9470.46	97	74.9	1665.2	0.000	0.0	0.0	18595.37	94028.88	39680.662	15241.51	5358.42	6434.11	64.85	0	0	0	0	0	0	0	0	0	1	581.2
OliveGIS	30set19	19:10:03	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	31	1	11323	12	31	2010	2646	0.1	8833.23	9674.10	112	83.7	1937.9	0.000	0.0	0.0	11226.12	59432.35	22485.733	5889.30	3531.42	5025.26	49.52	0	0	0	0	0	0	0	0	0	1	851.6
OliveGIS	30set19	19:10:03	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	1	1	365	12	30	1980	2634	0.0	4902.19	4972.30	104	108.1	2166.1	0.000	0.0	0.0	21005.27	97134.02	176465.520	41974.99	5160.30	4502.84	82.58	0	0	0	0	0	0	0	0	0	1	448.3
OliveGIS	30set19	19:10:03	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	2	1	731	12	31	1981	2631	0.0	7440.71	7740.41	101	91.1	1906.4	0.000	0.0	0.0	19725.21	94470.71	38970.093	13324.75	4827.67	5635.16	69.70	0	0	0	0	0	0	0	0	0	1	309.3
OliveGIS	30set19	19:10:03	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	3	1	1096	12	31	1982	2656	0.0	9186.77	9351.69	101	71.9	2060.9	0.000	0.0	0.0	25152.09	124228.97	54090.825	16269.86	6662.40	6978.95	71.62	0	0	0	0	0	0	0	0	0	1	404.8
OliveGIS	30set19	19:10:04	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	4	1	1461	12	31	1983	2649	0.1	10220.76	10503.99	96	82.9	1935.5	0.000	0.0	0.0	34359.78	159272.03	68504.159	32320.01	8207.94	8402.65	75.76	0	0	0	0	0	0	0	0	0	1	566.8
OliveGIS	30set19	19:10:04	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	5	1	1826	12	30	1984	2620	0.0	8724.51	9006.90	113	101.0	2450.6	0.000	0.0	0.0	29973.69	154387.28	67259.135	18712.59	7029.19	6936.20	73.51	0	0	0	0	0	0	0	0	0	1	421.7
OliveGIS	30set19	19:10:04	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	6	1	2192	12	31	1985	2626	1.0	8771.35	9050.29	105	100.9	1942.2	0.000	0.0	0.0	26698.78	127181.38	56304.288	46415.67	7018.88	7264.97	75.43	0	0	0	0	0	0	0	0	0	1	490.3
