Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	30set19	19:10:01	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	1	8036	12	31	2001	2644.9	0.0	1354.1	1408.0	    98.0	     1.0	29.9	2097.1	679.5	0.000	0.0	0.0	4602.21	21648.89	9876.807	4226.46	1166.11	1146.48	77.41
OliveGIS	30set19	19:10:11	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	1	8036	12	31	2001	2651.9	0.0	8774.0	8982.0	    98.0	     1.0	27.9	2123.6	623.6	0.000	0.0	0.0	21909.15	106747.17	44022.327	12810.48	5428.47	6381.95	67.86
OliveGIS	30set19	19:10:18	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.1250	37.8750	1	8036	12	31	2001	2641.6	0.0	1876.4	1928.7	   104.0	     1.0	42.4	2390.0	717.3	0.000	0.0	0.0	7735.65	36791.66	16998.340	11058.02	1822.25	1641.89	80.45
OliveGIS	30set19	19:10:25	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_210_ESP.txt	-7.1250	37.6250	1	8036	12	31	2001	2641.5	0.0	1691.0	1754.1	   100.0	     1.0	34.2	2113.8	739.4	0.000	0.0	0.0	5563.96	26316.59	11995.259	4748.58	1427.95	1415.87	76.83
OliveGIS	30set19	19:10:33	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_211_ESP.txt	-7.1250	37.3750	1	8036	12	31	2001	2651.7	0.0	8662.2	8888.7	    98.0	     1.0	31.5	2093.0	641.4	0.000	0.0	0.0	22276.88	109048.74	46048.324	12906.49	5677.49	6465.36	69.25
OliveGIS	30set19	19:10:40	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_208_ESP.txt	-6.8750	38.1250	1	8036	12	31	2001	2626.7	0.0	6804.6	7087.2	   109.0	     1.0	60.5	2436.5	762.2	0.000	0.0	0.0	22090.78	106334.81	43827.715	17992.03	4944.58	5391.48	72.58
OliveGIS	30set19	19:10:48	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_209_ESP.txt	-6.8750	37.8750	1	8036	12	31	2001	2637.0	0.0	2042.1	2115.6	   102.0	     1.0	40.7	2272.3	835.7	0.000	0.0	0.0	6722.09	31283.47	13805.488	6874.56	1609.45	1683.90	75.70
OliveGIS	30set19	19:10:55	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_210_ESP.txt	-6.8750	37.6250	1	8036	12	31	2001	2647.5	0.0	8816.7	9253.8	    96.0	     1.0	30.0	1926.1	888.7	0.000	0.0	0.0	17243.85	84514.02	33572.220	8854.56	4514.65	5898.56	60.96
OliveGIS	30set19	19:11:06	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_211_ESP.txt	-6.8750	37.3750	1	8036	12	31	2001	2649.2	0.0	9194.4	9510.7	    96.0	     1.0	26.5	1915.0	704.5	0.000	0.0	0.0	19489.42	94957.44	38236.481	10136.42	5074.91	6366.32	64.10
OliveGIS	30set19	19:11:14	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_209_ESP.txt	-6.6250	37.8750	1	8036	12	31	2001	2630.6	0.0	1879.3	1938.7	   105.0	     1.0	49.2	2356.1	873.8	0.000	0.0	0.0	6853.65	32115.15	14184.058	8614.40	1578.53	1586.10	77.61
