Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	30set19	19:09:54	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.375	37.625	1	731	12	31	1981	2643.2	0.1	7543.9	8050.5	98	1	73.5	1933.4	372.8	0	0	0	18998.98	92166.61	38380.271	11627.24	4895.28	5743.23	68.14
OliveGIS	30set19	19:10:03	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.375	37.375	1	731	12	31	1981	2630.9	0	7440.7	7740.4	101	1	79.4	1906.4	309.3	0	0	0	19725.21	94470.71	38970.093	13324.75	4827.67	5635.16	69.7
OliveGIS	30set19	19:10:14	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.125	37.875	1	731	12	31	1981	2634.3	0.3	7197.4	7623.5	106	1	96.9	2213.4	397.2	0	0	0	23303.83	117468.5	49283.804	22449.17	5421.52	5696.94	71.64
OliveGIS	30set19	19:10:21	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_210_ESP.txt	-7.125	37.625	1	731	12	31	1981	2633.6	0.2	7568	8037.9	99	1	79.1	1957.8	409.8	0	0	0	20210.71	98684.58	42076.754	13949.85	5236.78	5890.47	70.04
OliveGIS	30set19	19:10:28	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_211_ESP.txt	-7.125	37.375	1	731	12	31	1981	2636.8	0.1	7568.9	7912.7	101	1	85.4	1862	316.1	0	0	0	20225.74	98032.79	41435.462	13870.26	5200.83	5859.45	70.62
OliveGIS	30set19	19:10:36	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_208_ESP.txt	-6.875	38.125	1	731	12	31	1981	2633.2	1.5	6451.5	6846.3	115	1	140.2	2310.1	495.6	0	0	0	21635.99	111605.62	48860.997	29304.71	4946.15	5119.97	71.68
OliveGIS	30set19	19:10:43	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_209_ESP.txt	-6.875	37.875	1	731	12	31	1981	2627.5	0.6	7358.7	7795.4	105	1	102.2	2163.3	485	0	0	0	19746.86	97482.06	38690.726	17414.91	4597.1	5449.01	67.17
OliveGIS	30set19	19:10:51	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_210_ESP.txt	-6.875	37.625	1	731	12	31	1981	2643.8	0.3	8076.1	8650	97	1	80.4	1836.6	500.8	0	0	0	18255.26	90362.34	37334.82	10375.97	4980.02	5959.07	65.65
OliveGIS	30set19	19:10:59	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_211_ESP.txt	-6.875	37.375	1	731	12	31	1981	2637.3	0.1	7982.1	8448	98	1	76.9	1735.5	359.9	0	0	0	18781.25	92318.53	38542.659	10664	5079.62	5972.97	67.48
OliveGIS	30set19	19:11:09	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_209_ESP.txt	-6.625	37.875	1	731	12	31	1981	2630.1	0.9	2730.7	2844.4	109	1	115.8	2266.1	500.2	0	0	0	9831.17	48503.45	21982.808	15411.8	2347.81	2287.28	76.82
OliveGIS	30set19	19:11:17	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_210_ESP.txt	-6.625	37.625	1	731	12	31	1981	2632.6	0.4	7748.9	8269.1	99	1	87.5	1881.6	506.7	0	0	0	16472.67	81392.35	33045.652	8964.95	4491.24	5518.5	63.78
OliveGIS	30set19	19:11:25	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_211_ESP.txt	-6.625	37.375	1	731	12	31	1981	2638.9	0.3	7909.8	8431.7	99	1	85.8	1687	364.9	0	0	0	18166.78	89741.06	37585.897	10438.19	4974.63	5895.7	66.8
OliveGIS	30set19	19:11:33	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_212_ESP.txt	-6.625	37.125	1	731	12	31	1981	2635.2	0	8218	8655.5	90	1	31.4	1716.5	304.7	0	0	0	26894.7	134176.43	64666.419	20372.46	7604.17	6967.11	77.02
OliveGIS	30set19	19:11:41	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_209_ESP.txt	-6.375	37.875	1	731	12	31	1981	2637.4	1.7	6852.6	7201.7	113	1	138.9	2215.9	407.3	0	0	0	19436.08	99087.25	40465.859	17600.02	4439.71	5078.04	67.35
