Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	30set19	19:09:54	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.375	37.625	1	731	12	31	Std	10.8786218701223	0.393335281506962	2084.63252225124	2159.78264278884	8.36282139048751	30	23.5074996592552	253.333726920444	164.945725974459	0	0	0	8617.56137358779	43783.4079505435	22561.5925922271	14210.4493432159	2047.98079041764	1681.64470232205	8.14183379750575
OliveGIS	30set19	19:10:03	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.375	37.375	1	731	12	31	Std	12.8615371527293	0.384528372120338	725.022806181129	702.758343907089	8.02295557085754	30	26.8239719516773	251.424332530695	178.903364398503	0	0	0	6315.81120555426	31843.2324913373	18612.3989371467	10882.7156556845	1440.91606072852	810.425453019131	6.25547687387143
OliveGIS	30set19	19:10:14	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.125	37.875	1	731	12	31	Std	9.85143025965872	0.577798039727242	1952.52104524841	2029.91546526892	9.34153990603754	30	28.0010829018837	269.226936898454	172.974199956452	0	0	0	9980.49082461626	56289.1865925644	40149.5814438752	25749.5999182513	2434.05697792366	1654.20669447672	6.99291187930494
OliveGIS	30set19	19:10:21	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_210_ESP.txt	-7.125	37.625	1	731	12	31	Std	10.8971265853018	0.430196426667216	1951.31378319986	2020.83553847776	8.66098399018038	30	24.6296496864686	258.009452758312	183.47947240251	0	0	0	8269.7152623692	42950.380463769	22843.1001106926	14975.6572160776	1977.87995782736	1579.70360714681	7.84766927841944
OliveGIS	30set19	19:10:28	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_211_ESP.txt	-7.125	37.375	1	731	12	31	Std	12.6323048742809	0.480373417967372	662.099940749303	632.316065845584	8.21996448240222	30	27.8283426594617	254.865414765672	182.102628794296	0	0	0	5970.48931810779	29652.4898804744	16415.766973692	10888.9227066181	1322.3845379735	748.885907311808	6.36806504472066
OliveGIS	30set19	19:10:36	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_208_ESP.txt	-6.875	38.125	1	731	12	31	Std	8.26963424673137	1.25469692269332	683.754770258003	733.191901115983	8.70730965220086	30	34.9942517447139	262.440804140974	167.98255943955	0	0	0	6980.81104276311	42135.6234122312	42527.5723235115	20755.9394750029	1612.473929247	729.995758884232	7.43221466506358
OliveGIS	30set19	19:10:43	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_209_ESP.txt	-6.875	37.875	1	731	12	31	Std	10.6171846171856	0.601425509666959	1894.29532583564	1981.57344691466	8.7355134595683	30	28.4389422584879	268.150328077882	184.209951588854	0	0	0	8217.08740956531	44030.2353771235	25408.6460314373	15750.8232985331	1973.28861115535	1520.18801898552	8.70088834148758
OliveGIS	30set19	19:10:51	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_210_ESP.txt	-6.875	37.625	1	731	12	31	Std	12.6834383822133	0.392808923746282	1688.33301423446	1758.3704125872	8.03269182348199	30	24.4079316296318	252.052042359254	200.950629866338	0	0	0	6925.92922167991	33216.7453091639	15705.4292489765	7704.06781340337	1662.15039369234	1417.77404247774	8.30146745786689
OliveGIS	30set19	19:10:59	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_211_ESP.txt	-6.875	37.375	1	731	12	31	Std	12.7333217488062	0.432700687609196	630.549092777318	627.718053966797	8.05790823089164	30	26.1082723491515	252.466726725421	199.532525191246	0	0	0	5442.54596090082	26214.3456287653	13539.4407098858	6181.16811451926	1413.52773158148	916.546178633579	7.3100849013105
OliveGIS	30set19	19:11:09	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_209_ESP.txt	-6.625	37.875	1	731	12	31	Std	9.6896105042534	0.755820327734106	1649.36060889437	1725.5086393999	9.01983765177444	30	31.0304716756577	274.598443792628	196.436450605372	0	0	0	8343.97280796051	46878.386946747	32133.7846627781	22280.0570148639	1996.25800915109	1369.07103200695	7.52236233987793
OliveGIS	30set19	19:11:17	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_210_ESP.txt	-6.625	37.625	1	731	12	31	Std	12.3251210620992	0.457077170978693	1647.03399808582	1706.37173726803	8.4831814678275	30	25.7139132248153	255.768239110979	198.273084319373	0	0	0	6891.19354754304	33701.2155608	16185.6507712997	8786.28055565106	1625.69310792987	1350.16513574805	8.38578836107742
OliveGIS	30set19	19:11:25	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_211_ESP.txt	-6.625	37.375	1	731	12	31	Std	12.4714552239223	0.59716764430292	739.72272705355	733.498413172405	8.23198136789554	30	27.7456791707047	255.567610237093	195.034755788596	0	0	0	4959.00068581462	23898.1703041118	12245.4077936128	5248.60997819734	1318.6527502818	903.257136210106	7.08531390295788
