Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:06:18-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	1	5113	12	30	1984	2457.7	6.4	4331.7	4752.2	   143.0	     1.0	342.2	2624.2	339.7	0.000	0.0	0.0	17570.33	119634.73	126070.145	18395.48	3728.96	3272.02	67.03
OliveGIS	08Feb21	4:06:24-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.1500	1	5113	12	30	1984	2595.0	5.1	6984.4	7788.5	   130.0	     1.0	221.7	2109.4	241.6	0.000	0.0	0.0	17055.25	83776.27	34675.260	12393.39	4011.01	5144.19	63.24
OliveGIS	08Feb21	4:06:30-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_883_883_ESP-AN.txt	-2.0501	37.8500	1	5113	12	30	1984	2060.2	17.1	4970.8	5724.9	   165.0	     1.0	490.0	3052.0	278.1	0.000	0.0	0.0	23405.41	163916.18	201677.932	25133.19	4481.02	3639.74	60.56
OliveGIS	08Feb21	4:06:36-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_847_847_ESP-AN.txt	-2.3501	37.7500	1	5113	12	30	1984	1955.4	17.2	4581.9	5104.8	   169.0	     1.0	547.5	3057.8	261.3	0.000	0.0	0.0	18065.20	136698.52	174641.819	20595.55	3391.27	2835.30	53.60
OliveGIS	08Feb21	4:06:41-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_30_30_ESP-AN.txt	-7.0501	37.6500	1	5113	12	30	1984	2609.9	0.0	7326.8	7583.8	   121.0	     1.0	115.8	2441.7	424.6	0.000	0.0	0.0	30105.67	147937.75	69741.360	51469.88	7020.69	6391.06	79.70
OliveGIS	08Feb21	4:06:48-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_685_685_ESP-AN.txt	-3.3501	38.3500	1	5113	12	30	1984	2549.1	12.1	6234.1	6579.1	   144.0	     1.0	400.6	2438.1	240.7	0.000	0.0	0.0	20181.99	140295.87	150595.177	19976.68	4405.06	4262.36	62.41
OliveGIS	08Feb21	4:06:54-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_289_289_ESP-AN.txt	-5.3501	36.3500	1	5113	12	30	1984	2627.0	0.0	7521.4	7462.2	   111.0	     1.0	31.1	2629.8	398.7	0.000	0.0	0.0	42244.05	218031.54	134083.544	118513.86	10917.72	7018.15	87.24
OliveGIS	08Feb21	4:07:01-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_667_667_ESP-AN.txt	-3.4501	38.2500	1	5113	12	30	1984	2595.7	8.2	6391.6	6998.3	   136.0	     1.0	279.2	2238.2	241.8	0.000	0.0	0.0	19499.59	109666.07	61490.178	18446.35	4608.27	4928.50	67.02
OliveGIS	08Feb21	4:07:08-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_865_865_ESP-AN.txt	-2.1501	37.1500	1	5113	12	30	1984	2545.7	0.3	6751.3	6775.7	   142.0	     1.0	167.1	2979.9	185.4	0.000	0.0	0.0	38066.73	234964.37	275318.306	111180.78	9091.70	5758.54	81.43
OliveGIS	08Feb21	4:07:15-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_469_469_ESP-AN.txt	-4.5501	37.1500	1	5113	12	30	1984	2605.6	2.5	6172.9	6227.0	   137.0	     1.0	273.6	2533.8	354.1	0.000	0.0	0.0	26843.06	172764.41	177114.674	48493.15	6149.09	4963.28	75.02
OliveGIS	08Feb21	4:07:22-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_102_102_ESP-AN.txt	-6.3501	37.1500	1	5113	12	30	1984	2627.4	0.0	7474.0	7994.3	   106.0	     1.0	100.9	1987.4	389.0	0.000	0.0	0.0	20638.52	103494.96	44593.181	16433.44	5447.79	5968.89	70.80
OliveGIS	08Feb21	4:07:28-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_496_496_ESP-AN.txt	-4.4501	38.0500	1	5113	12	30	1984	2617.6	2.7	8007.6	8910.8	   125.0	     1.0	191.4	1995.2	293.5	0.000	0.0	0.0	15531.50	78114.22	30753.985	9740.18	3925.88	5322.91	57.01
