Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:06:15-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.15	1	730	12	30	1972	2520.2	9	8785.6	8890	143	1	312.8	2755	419.6	0	0	0	23428.56	165089.11	194684.735	17200.56	5166.73	4617.06	51.13
OliveGIS	08Feb21	4:06:22-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.15	1	730	12	30	1972	2617.8	0.8	6308.7	6926.7	121	1	144.9	2113.2	264.8	0	0	0	14718.98	73470.12	30317.803	10676.69	3817.07	4694.1	64.71
OliveGIS	08Feb21	4:06:28-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_883_883_ESP-AN.txt	-2.0501	37.85	1	730	12	30	1972	2236.9	18.8	8730.9	8967.5	155	1	412.5	3012.1	225.8	0	0	0	29380.44	184007.6	204140.587	23434.69	6008.09	5383.07	59.49
OliveGIS	08Feb21	4:06:34-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_847_847_ESP-AN.txt	-2.3501	37.75	1	730	12	30	1972	2092.2	20	9902.7	10408.4	160	1	479.7	3083.4	252.4	0	0	0	20311.91	139579.3	137941.827	6973.34	3594.15	3829.26	36.43
OliveGIS	08Feb21	4:06:39-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_30_30_ESP-AN.txt	-7.0501	37.65	1	730	12	30	1972	2624.6	0.3	5392.9	5515.8	115	1	98	2502.4	389.9	0	0	0	21626.05	103321.7	51408.107	44933.96	5046.05	4676.17	79.98
OliveGIS	08Feb21	4:06:45-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_685_685_ESP-AN.txt	-3.3501	38.35	1	730	12	30	1972	2601	13.9	9540	9900.7	145	1	357.4	2581	287.6	0	0	0	19202.05	141679.83	165907.48	10467.84	4688.66	4608.11	44.69
OliveGIS	08Feb21	4:06:52-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_289_289_ESP-AN.txt	-5.3501	36.35	1	730	12	30	1972	2649.9	0	7351.1	7283.7	101	1	19	2655.4	429.4	0	0	0	42435.18	225569.76	145252.68	97445.54	12034.47	6898.84	87.96
OliveGIS	08Feb21	4:06:58-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_667_667_ESP-AN.txt	-3.4501	38.25	1	730	12	30	1972	2609.7	2.2	7374.9	7911.4	130	1	179.9	2324.1	274.5	0	0	0	19887.71	99978.58	39202.934	11651.72	4255.37	5283.54	64.21
OliveGIS	08Feb21	4:07:05-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_865_865_ESP-AN.txt	-2.1501	37.15	1	730	12	30	1972	2632.9	0	5836.1	5880.7	130	1	111	2716.3	170.4	0	0	0	30586.37	161722.73	124766.123	56682.29	7418.85	5257.86	84.3
OliveGIS	08Feb21	4:07:12-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_469_469_ESP-AN.txt	-4.5501	37.15	1	730	12	30	1972	2616.7	1.7	7430.8	7517.3	132	1	189.7	2625.7	392.2	0	0	0	26431.64	172453.56	148809.421	21945.75	6534.48	5328.97	67.89
OliveGIS	08Feb21	4:07:19-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_102_102_ESP-AN.txt	-6.3501	37.15	1	730	12	30	1972	2631.7	0	6690.5	7216.7	97	1	79.4	1867.3	358.2	0	0	0	16717.63	84754.13	35061.046	15733.18	4587.44	5200.17	68.75
OliveGIS	08Feb21	4:07:26-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_496_496_ESP-AN.txt	-4.4501	38.05	1	730	12	30	1972	2625.1	1.3	5845.2	6455.6	113	1	142.5	1950.1	342.4	0	0	0	11824.96	59905.68	23917.3	14185.95	3177.82	4125.26	60.91
OliveGIS	08Feb21	4:07:32-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_577_577_ESP-AN.txt	-3.9501	37.65	1	730	12	30	1972	2612.1	7.1	9600.4	10190.5	145	1	246.3	2508	386.3	0	0	0	20872.84	161288.65	136215.125	9989.69	5156.58	4715.11	44.45
OliveGIS	08Feb21	4:07:38-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_892_892_ESP-AN.txt	-1.8501	37.25	1	730	12	30	1972	2652.8	0	8535.1	8855.9	100	1	55.1	1812.7	156	0	0	0	26142.55	134881.63	65733.718	20295.24	7520.1	7053.34	75.81
OliveGIS	08Feb21	4:07:45-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_300_300_ESP-AN.txt	-5.3501	37.45	1	730	12	30	1972	2637.3	0.5	6642.6	7163.3	108	1	132.8	1957.8	400.8	0	0	0	12654.58	63480.11	25067.081	7839.37	3406.19	4480.48	59.41
OliveGIS	08Feb21	4:07:52-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_856_856_ESP-AN.txt	-2.2501	37.45	1	730	12	30	1972	2362.6	6.9	7046.9	7143.3	149	1	320.2	2961.8	190.3	0	0	0	34513	197960.61	206257.166	51818.3	7338.59	5570.06	76.62
OliveGIS	08Feb21	4:07:57-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_775_775_ESP-AN.txt	-2.7501	36.95	1	730	12	30	1972	1891.5	21.2	8376.4	9871.7	167	1	533.5	3304.7	254.4	0	0	0	26507.13	202071.62	168493.875	12164.47	4251.37	4220.34	42.08
OliveGIS	08Feb21	4:08:01-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_379_379_ESP-AN.txt	-5.0501	38.65	1	730	12	30	1972	2603.9	2.3	6865.8	7329.4	133	1	208.1	2325.2	400.9	0	0	0	22461.41	119563.35	61866.468	20006.54	5285.42	5380.37	70.45
OliveGIS	08Feb21	4:08:07-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_298_298_ESP-AN.txt	-5.3501	37.25	1	730	12	30	1972	2636.6	0.5	6695.9	7103.7	111	1	134.7	2105.2	420.8	0	0	0	16575.73	79647.26	32327.773	12325.59	4042.46	4991.8	66.89
OliveGIS	08Feb21	4:08:14-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_838_838_ESP-AN.txt	-2.3501	36.85	1	730	12	30	1972	2658	0	7798	8130.6	98	1	26.4	1843	185.6	0	0	0	24878.04	128428.2	62789.927	23460.13	7315.66	6578.27	76.98
OliveGIS	08Feb21	4:08:21-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_595_595_ESP-AN.txt	-3.8501	37.85	1	730	12	30	1972	2606.4	1.7	5945.3	6662.9	120	1	138.6	2027.7	345.6	0	0	0	14092.31	70799.94	29395.362	11541.02	3787.26	4518.35	64.96
OliveGIS	08Feb21	4:08:27-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_201_201_ESP-AN.txt	-5.7501	36.35	1	730	12	30	1972	2634.8	0	6590.3	6592.4	98	1	15.3	2747	404	0	0	0	39924.87	214558.3	145253.637	130880.69	11591.9	6327.53	88.41
OliveGIS	08Feb21	4:08:33-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_3_3_ESP-AN.txt	-7.4501	37.65	1	730	12	30	1972	2623.3	0	5635.9	5750.9	111	1	75.7	2552	398.6	0	0	0	23879.33	115079	55952.984	57238.78	5710.11	4956.57	81.21
OliveGIS	08Feb21	4:08:39-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_21_21_ESP-AN.txt	-7.1501	37.55	1	730	12	30	1972	2624	0	5295.7	5377.8	118	1	93.2	2595.1	366.1	0	0	0	23286.67	115670	71420.63	55295.88	5583.69	4658.23	81.69
OliveGIS	08Feb21	4:08:46-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_199_199_ESP-AN.txt	-5.7501	36.15	1	730	12	30	1972	2636.5	0	6491.7	6505.6	99	1	6.8	3150.3	441	0	0	0	48021.26	273102.02	224156.285	262372.8	14059.77	6337.01	89.98
OliveGIS	08Feb21	4:08:52-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_874_874_ESP-AN.txt	-2.0501	36.95	1	730	12	30	1972	2651.7	0	7163.4	7269.2	110	1	54.9	2224.4	177.1	0	0	0	29662.49	150431.23	75409.901	41382.44	7915.91	6319.29	82.09
OliveGIS	08Feb21	4:08:59-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_793_793_ESP-AN.txt	-2.6501	36.95	1	730	12	30	1972	2169.9	7.5	7195.8	7477.6	158	1	359.3	3203.6	214.8	0	0	0	39995.05	249544.32	271527.654	51804.53	8153.63	5791.72	75.4
OliveGIS	08Feb21	4:09:04-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_559_559_ESP-AN.txt	-4.0501	37.55	1	730	12	30	1972	2602.3	13.5	9544.4	9930.4	144	1	329.2	2569.3	408.4	0	0	0	18860.08	143530.73	162620.841	8956.18	4509.29	4309.86	41.78
OliveGIS	08Feb21	4:09:09-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_397_397_ESP-AN.txt	-4.9501	38.25	1	730	12	30	1972	2576	18.3	9284.6	9668.5	147	1	406	2577.5	429.7	0	0	0	26338.39	194602.47	204638.029	17361.65	5834.79	5336.54	53.51
OliveGIS	08Feb21	4:09:15-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_478_478_ESP-AN.txt	-4.5501	38.05	1	730	12	30	1972	2618.3	2.3	5497.2	5985.3	121	1	168.7	2121.6	364.1	0	0	0	15305.29	74867.45	32402.373	21819.09	3840.97	4411.62	70.07
OliveGIS	08Feb21	4:09:22-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_416_416_ESP-AN.txt	-4.8501	37.95	1	730	12	30	1972	2608.6	4.6	6066.1	6478.8	130	1	208.9	2287.7	385.5	0	0	0	17820.4	87821.25	39077.349	13907.75	3845.69	4607.35	68.3
OliveGIS	08Feb21	4:09:28-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_731_731_ESP-AN.txt	-3.0501	37.85	1	730	12	30	1972	2325.2	14.1	9210.4	9455.2	153	1	430.3	2807.4	347.7	0	0	0	11800.04	90179.74	76288.573	6172.15	2182.27	2498.27	26.3
OliveGIS	08Feb21	4:09:33-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_650_650_ESP-AN.txt	-3.5501	38.25	1	730	12	30	1972	2603.6	3.1	7196.1	7742.5	134	1	202	2325.6	279.9	0	0	0	20549.89	106334.34	46439.178	14110.12	4429.87	5221.57	65.01
OliveGIS	08Feb21	4:09:39-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_812_812_ESP-AN.txt	-2.5501	37.15	1	730	12	30	1972	2070.7	11	8362.8	8978.2	162	1	423.2	3210.7	229.8	0	0	0	36880.02	241050.53	249203.062	26742.49	6718.24	5548.02	60.8
OliveGIS	08Feb21	4:09:44-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_533_533_ESP-AN.txt	-4.2501	38.35	1	730	12	30	1972	2599.2	7.9	9829	10343.2	146	1	318.2	2512.2	374.3	0	0	0	25611.28	191741.81	156049.134	15875.05	5488.77	5261.53	48.87
OliveGIS	08Feb21	4:09:50-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_371_371_ESP-AN.txt	-5.0501	37.85	1	730	12	30	1972	2632.8	2.5	6148.2	6699.6	110	1	148.8	1913.7	390.2	0	0	0	12716.19	64573.71	25931.333	11379.29	3461.22	4397.06	62.21
OliveGIS	08Feb21	4:09:56-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_290_290_ESP-AN.txt	-5.3501	36.45	1	730	12	30	1972	2642.5	0	6320.3	6258.2	106	1	27.1	2731.7	393.6	0	0	0	36318	187686.13	114424.878	123718.61	9394.09	5911.15	87.57
OliveGIS	08Feb21	4:10:03-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_614_614_ESP-AN.txt	-3.7501	38.05	1	730	12	30	1972	2614.1	0.5	5795.8	6499.6	115	1	125.3	1984.6	315	0	0	0	11945.89	61236.31	24591.148	9583.31	3258.8	4129.49	60.74
OliveGIS	08Feb21	4:10:10-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_452_452_ESP-AN.txt	-4.6501	37.35	1	730	12	30	1972	2620.8	0.7	6654.8	6907.2	118	1	144	2273.3	447.1	0	0	0	18310.28	87306.36	35643.54	15536.99	4086.65	4960.22	68.59
OliveGIS	08Feb21	4:10:16-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_515_515_ESP-AN.txt	-4.3501	38.25	1	730	12	30	1972	2525.6	21.7	9956.9	10412.3	148	1	424.5	2577	363.3	0	0	0	21875.01	156693.51	166330.112	10343.46	4511.1	4423.71	41.68
OliveGIS	08Feb21	4:10:22-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_434_434_ESP-AN.txt	-4.7501	37.65	1	730	12	30	1972	2621.6	1.5	6614.1	6972.7	117	1	158	2152.6	381.7	0	0	0	15591.28	74681.61	29660.499	10163.61	3655.08	4720.62	64.7
OliveGIS	08Feb21	4:10:29-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_272_272_ESP-AN.txt	-5.4501	36.95	1	730	12	30	1972	2618	1.1	6695.8	6803.2	128	1	157.1	2609.3	445.9	0	0	0	27630.02	167736.53	125512.087	40300.38	6953.42	5435.5	76.21
OliveGIS	08Feb21	4:10:35-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_56_56_ESP-AN.txt	-6.7501	37.25	1	730	12	30	1972	2634.3	0	5770	6072	101	1	80.5	2208.5	326.5	0	0	0	23091.1	109350.48	48652.957	36849.61	5657.93	5195.54	80.46
OliveGIS	08Feb21	4:10:41-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_830_830_ESP-AN.txt	-2.4501	37.35	1	730	12	30	1972	2336.5	5.5	7395.8	7519.8	151	1	328.1	2981.1	184.3	0	0	0	35780.04	215417.51	225597.732	44354.89	7579.38	5697.29	74.65
