Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:31:33-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_100_100_ESP-AN.txt	-6.3501	36.95	1	730	12	30	Std	15.4640573254731	0.347723065167183	847.056289459157	947.136033152348	5.91836916692927	29	16.9573334470803	248.904099828287	142.651903825447	0	0	0	5710.36115138822	28000.0016136705	15605.5646594437	8992.16800696825	1395.51286530765	897.360444647923	4.24639806797763
OliveGIS	08Feb21	5:00:44-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_101_101_ESP-AN.txt	-6.3501	37.05	1	730	12	30	Std	14.4895375877697	0.431345700454395	831.936310618853	927.798610183866	6.36047679224054	29	17.3732290801092	252.982160482054	143.195419454357	0	0	0	6062.70510496706	29691.7598106017	16150.725804965	8615.35938011403	1478.5371353049	944.768185917541	5.10228305413685
OliveGIS	08Feb21	4:07:19-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_102_102_ESP-AN.txt	-6.3501	37.15	1	730	12	30	Std	14.9674046504544	0.467015468989906	906.045580824728	1010.633954323	6.47865004487362	29	17.7516876322535	265.937717763133	152.019028171175	0	0	0	5904.45645093306	28309.1202096836	14975.2971141505	6979.88277225934	1395.62574533941	978.675564253671	5.33059408051593
OliveGIS	08Feb21	4:35:56-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_103_103_ESP-AN.txt	-6.3501	37.25	1	730	12	30	Std	15.9427632331221	0.510529523229235	737.86809865304	845.733532272924	6.4773192776511	29	18.1952999669338	243.896588711736	147.631577949576	0	0	0	5338.83725027793	26124.5958920488	13913.6913464582	6571.18815627136	1310.98632799325	864.480657944467	5.53751431405149
OliveGIS	08Feb21	4:21:41-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_104_104_ESP-AN.txt	-6.3501	37.35	1	730	12	30	Std	13.8279051410955	0.728940793070984	770.032807934549	871.42431070387	6.94063497045504	29	19.2144092328515	274.341284254312	147.875861098309	0	0	0	5384.65065096387	27435.1257315862	15332.3797133905	9365.82507693315	1293.01823488317	820.588789382716	5.41121857377818
OliveGIS	08Feb21	4:48:36-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_105_105_ESP-AN.txt	-6.3501	37.45	1	730	12	30	Std	12.8886611487344	0.689398967188515	810.080260087389	904.9010510504	6.93513223473789	29	18.828114786243	272.11080146856	135.372872852849	0	0	0	5232.49455653148	26473.7217858301	14133.102177363	8238.12754888841	1247.97308056594	844.460515372916	6.13254184316162
OliveGIS	08Feb21	4:56:55-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_11_11_ESP-AN.txt	-7.2501	37.35	1	730	12	30	Std	13.6307515993272	0.0603764871207686	867.615563518263	959.097442757739	5.56710075689658	29	14.1153499229837	270.369560712011	155.821405047368	0	0	0	5740.03270117296	34368.5522311289	27863.7602624312	24197.1633100801	1367.73066652681	720.422976534595	3.04063842304613
OliveGIS	08Feb21	4:20:28-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_113_113_ESP-AN.txt	-6.2501	36.85	1	730	12	30	Std	16.0296093022954	0.460669891319666	860.05798422637	970.634243411368	6.13878889228481	29	16.9790475052988	247.970202554016	155.038840596787	0	0	0	5601.42380013644	27408.8585780824	15468.805047309	8479.59688140593	1309.9360270124	872.007973052282	3.75921128138976
OliveGIS	08Feb21	4:49:53-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_114_114_ESP-AN.txt	-6.2501	36.95	1	730	12	30	Std	16.5444311467769	0.496142757145542	897.935481954964	1005.07510358299	6.3598959002541	29	17.890609722873	263.458403302943	149.77350181955	0	0	0	5609.9646367447	27471.5125020297	15007.3224908507	6046.61638779911	1336.52572620872	927.160897756463	4.27569269587475
OliveGIS	08Feb21	4:14:30-PM	/filesystem/49598e61-cc05-4de6-888a-a0cbe892e143/output/eurocordex-noa_115_115_ESP-AN.txt	-6.2501	37.05	1	730	12	30	Std	15.4797269295297	0.577790934968713	878.222801185535	984.53263149968	6.46647283578618	29	18.1921571365462	263.475427949183	153.183232709234	0	0	0	5884.53842226956	28461.395722773	15032.3740624347	7278.61173698702	1389.80620528131	970.883139313355	5.28086064600852
