Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:06:28-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	1	4383	12	31	1982	2646.8	0.1	6962.7	7013.2	   105.0	     1.0	74.6	2121.9	120.7	0.000	0.0	0.0	26783.89	127746.48	60656.732	81746.60	6648.64	6096.67	80.63
OliveGIS	08Feb21	4:06:34-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.1500	1	4383	12	31	1982	2629.3	5.6	8135.9	8481.2	   113.0	     1.0	142.4	2120.7	179.2	0.000	0.0	0.0	29177.45	150187.50	71797.429	32720.97	7281.62	6775.37	75.42
OliveGIS	08Feb21	4:06:41-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_883_883_ESP-AN.txt	-2.0501	37.8500	1	4383	12	31	1982	2196.0	7.5	6172.5	6441.3	   146.0	     1.0	374.8	3162.0	187.7	0.000	0.0	0.0	39316.14	276022.20	295071.746	57178.28	7568.32	5086.36	76.10
OliveGIS	08Feb21	4:06:47-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_210_210_ESP-AN.txt	-5.7501	37.2500	1	4383	12	31	1982	2666.7	0.8	8240.4	8480.6	    98.0	     1.0	86.7	1892.0	246.9	0.000	0.0	0.0	30075.91	156232.30	79867.699	30817.10	7899.87	6841.15	76.84
OliveGIS	08Feb21	4:06:53-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_847_847_ESP-AN.txt	-2.3501	37.7500	1	4383	12	31	1982	2057.9	10.3	3314.3	4318.1	   151.0	     1.0	425.6	3319.5	144.7	0.000	0.0	0.0	19090.77	136386.13	173008.367	23633.78	3850.99	2939.31	65.38
OliveGIS	08Feb21	4:06:59-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_30_30_ESP-AN.txt	-7.0501	37.6500	1	4383	12	31	1982	2636.6	0.1	7743.2	7995.4	   108.0	     1.0	86.6	2577.0	253.1	0.000	0.0	0.0	48970.18	265640.92	168300.718	102068.54	11743.46	7313.78	85.79
OliveGIS	08Feb21	4:07:06-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_289_289_ESP-AN.txt	-5.3501	36.3500	1	4383	12	31	1982	2658.9	0.0	7535.3	7515.0	   101.0	     1.0	13.9	2543.6	237.0	0.000	0.0	0.0	46626.51	249253.46	168299.032	144827.87	12711.78	7134.69	88.32
OliveGIS	08Feb21	4:07:12-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_12_12_ESP-AN.txt	-7.2501	37.4500	1	4383	12	31	1982	2646.3	0.0	7676.9	7960.7	   107.0	     1.0	69.9	2723.3	264.8	0.000	0.0	0.0	53436.60	288412.70	192122.300	128755.18	12848.92	7424.74	87.30
OliveGIS	08Feb21	4:07:18-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_667_667_ESP-AN.txt	-3.4501	38.2500	1	4383	12	31	1982	2619.3	6.3	6938.0	7170.5	   118.0	     1.0	178.0	2346.4	216.5	0.000	0.0	0.0	25988.54	153359.29	95012.352	31615.23	6701.02	5735.58	75.20
OliveGIS	08Feb21	4:07:25-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_111_111_ESP-AN.txt	-6.2501	36.6500	1	4383	12	31	1982	2671.6	0.0	7895.1	8036.1	    98.0	     1.0	31.1	2404.2	306.1	0.000	0.0	0.0	47409.30	252033.79	172122.387	101606.20	12772.76	7396.10	87.33
OliveGIS	08Feb21	4:07:32-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_865_865_ESP-AN.txt	-2.1501	37.1500	1	4383	12	31	1982	2618.8	0.7	6312.3	6306.9	   124.0	     1.0	103.2	2705.3	70.0	0.000	0.0	0.0	39213.87	207866.50	155036.750	89817.67	9363.08	5861.18	86.84
OliveGIS	08Feb21	4:07:38-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_469_469_ESP-AN.txt	-4.5501	37.1500	1	4383	12	31	1982	2627.1	2.8	6536.0	6606.4	   117.0	     1.0	151.1	2673.5	198.7	0.000	0.0	0.0	41286.87	221040.00	137599.920	94780.42	8538.88	5926.98	83.83
OliveGIS	08Feb21	4:07:45-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_388_388_ESP-AN.txt	-4.9501	37.3500	1	4383	12	31	1982	2641.5	0.2	7355.1	7476.5	   106.0	     1.0	94.3	2232.6	201.8	0.000	0.0	0.0	32214.68	163492.72	79561.542	47260.40	7242.70	6379.06	79.93
OliveGIS	08Feb21	4:07:52-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_102_102_ESP-AN.txt	-6.3501	37.1500	1	4383	12	31	1982	2658.1	0.2	8445.3	8669.5	    95.0	     1.0	49.2	1944.0	229.0	0.000	0.0	0.0	37413.30	191563.59	106601.245	41241.46	9634.84	7392.08	81.69
OliveGIS	08Feb21	4:07:59-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_496_496_ESP-AN.txt	-4.4501	38.0500	1	4383	12	31	1982	2633.6	4.0	7944.9	8254.1	   108.0	     1.0	127.7	1938.3	209.5	0.000	0.0	0.0	24232.05	125587.41	56603.120	18544.67	5983.42	6022.02	69.58
OliveGIS	08Feb21	4:08:06-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_739_739_ESP-AN.txt	-2.9501	36.9500	1	4383	12	31	1982	2164.0	3.8	2561.7	4016.0	   146.0	     1.0	310.4	3394.3	120.3	0.000	0.0	0.0	23582.91	155843.27	186120.114	42663.30	4721.45	3186.18	76.61
OliveGIS	08Feb21	4:08:11-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_577_577_ESP-AN.txt	-3.9501	37.6500	1	4383	12	31	1982	2606.7	8.2	4062.9	5262.6	   122.0	     1.0	292.2	2691.6	220.8	0.000	0.0	0.0	29292.36	186144.55	120984.326	47595.94	5833.07	4509.59	79.51
OliveGIS	08Feb21	4:08:17-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_892_892_ESP-AN.txt	-1.8501	37.2500	1	4383	12	31	1982	2658.6	0.0	8702.2	8748.0	    97.0	     1.0	42.2	1487.6	67.6	0.000	0.0	0.0	25245.25	127289.67	59259.733	38409.78	7211.68	6969.66	75.53
OliveGIS	08Feb21	4:08:24-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_300_300_ESP-AN.txt	-5.3501	37.4500	1	4383	12	31	1982	2642.0	0.9	7511.7	7695.1	   101.0	     1.0	90.2	2029.2	207.8	0.000	0.0	0.0	28621.46	142281.46	67624.577	32782.37	6815.02	6247.09	77.12
OliveGIS	08Feb21	4:08:31-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_694_694_ESP-AN.txt	-3.2501	37.5500	1	4383	12	31	1982	2155.8	12.5	4037.2	4726.4	   139.0	     1.0	438.2	3146.5	161.6	0.000	0.0	0.0	19993.29	154323.86	155598.427	18794.14	3893.58	3358.41	67.10
OliveGIS	08Feb21	4:08:37-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_856_856_ESP-AN.txt	-2.2501	37.4500	1	4383	12	31	1982	2384.4	2.9	2609.9	4292.0	   138.0	     1.0	295.5	2995.4	109.0	0.000	0.0	0.0	25653.07	153386.90	193070.163	51591.45	5757.26	3671.17	82.17
OliveGIS	08Feb21	4:08:42-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_775_775_ESP-AN.txt	-2.7501	36.9500	1	4383	12	31	1982	1827.8	11.8	2799.2	3945.9	   164.0	     1.0	461.0	3673.5	217.2	0.000	0.0	0.0	16624.74	119092.80	189742.214	18954.01	3122.94	2435.50	59.13
OliveGIS	08Feb21	4:08:47-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_379_379_ESP-AN.txt	-5.0501	38.6500	1	4383	12	31	1982	2624.5	1.7	7056.0	7185.7	   120.0	     1.0	189.3	2410.2	274.0	0.000	0.0	0.0	27478.67	157429.86	107974.507	34204.90	6133.95	5626.52	73.91
OliveGIS	08Feb21	4:08:54-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_838_838_ESP-AN.txt	-2.3501	36.8500	1	4383	12	31	1982	2668.2	0.0	9110.7	9195.5	    91.0	     1.0	14.1	1728.9	33.9	0.000	0.0	0.0	41246.15	211418.16	125428.072	78239.65	11871.60	8255.16	84.67
OliveGIS	08Feb21	4:09:01-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_120_120_ESP-AN.txt	-6.2501	37.5500	1	4383	12	31	1982	2642.3	1.2	7773.8	8044.7	   101.0	     1.0	79.6	2084.4	202.0	0.000	0.0	0.0	33409.92	167502.59	85218.127	40525.80	8111.75	6779.68	80.14
OliveGIS	08Feb21	4:09:07-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_676_676_ESP-AN.txt	-3.3501	37.4500	1	4383	12	31	1982	2109.9	18.0	6193.5	6518.2	   141.0	     1.0	460.6	3211.3	188.1	0.000	0.0	0.0	28819.94	238182.70	215209.892	19777.84	5268.77	4433.15	64.70
OliveGIS	08Feb21	4:09:12-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_595_595_ESP-AN.txt	-3.8501	37.8500	1	4383	12	31	1982	2639.0	0.9	7220.6	7560.1	   110.0	     1.0	103.5	2054.7	185.5	0.000	0.0	0.0	28606.89	149126.33	79043.760	41595.47	7518.26	6338.05	78.60
OliveGIS	08Feb21	4:09:19-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_201_201_ESP-AN.txt	-5.7501	36.3500	1	4383	12	31	1982	2660.1	0.0	7469.2	7561.6	   101.0	     1.0	15.3	3023.7	306.1	0.000	0.0	0.0	56278.26	310492.38	239123.156	220725.34	15448.07	7341.21	89.79
OliveGIS	08Feb21	4:09:26-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_21_21_ESP-AN.txt	-7.1501	37.5500	1	4383	12	31	1982	2646.9	0.0	8071.9	8361.8	   109.0	     1.0	82.3	2716.0	255.4	0.000	0.0	0.0	55311.11	299692.28	198341.901	128630.49	13134.00	7773.00	86.83
OliveGIS	08Feb21	4:09:32-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_199_199_ESP-AN.txt	-5.7501	36.1500	1	4383	12	31	1982	2665.6	0.0	7228.7	7380.5	   101.0	     1.0	9.2	3467.1	305.4	0.000	0.0	0.0	61512.11	351501.79	298022.475	350236.75	17480.58	7261.01	90.77
OliveGIS	08Feb21	4:09:39-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_874_874_ESP-AN.txt	-2.0501	36.9500	1	4383	12	31	1982	2644.1	0.0	7516.0	7513.1	   102.0	     1.0	37.5	2067.3	57.2	0.000	0.0	0.0	33457.40	170811.24	95071.032	66962.05	9195.17	6737.56	83.81
OliveGIS	08Feb21	4:09:45-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_793_793_ESP-AN.txt	-2.6501	36.9500	1	4383	12	31	1982	2125.6	5.6	6003.4	6333.1	   149.0	     1.0	311.7	3461.6	141.6	0.000	0.0	0.0	36671.46	257532.46	270806.698	70923.18	7238.78	4901.32	75.32
OliveGIS	08Feb21	4:09:51-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_559_559_ESP-AN.txt	-4.0501	37.5500	1	4383	12	31	1982	2586.5	8.8	4336.8	5679.8	   122.0	     1.0	298.3	2722.5	165.8	0.000	0.0	0.0	30296.51	193422.89	121157.184	42928.68	5959.99	4728.20	78.22
OliveGIS	08Feb21	4:09:56-PM	/filesystem/bddff1c3-321f-4905-aa2c-1bea027d759c/output/eurocordex-noa_397_397_ESP-AN.txt	-4.9501	38.2500	1	4383	12	31	1982	2442.1	11.1	5167.8	6958.8	   128.0	     1.0	369.3	2749.2	288.3	0.000	0.0	0.0	34272.50	223510.72	165310.472	38504.23	6576.39	5315.92	74.01
