Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:06:34-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	1	6209	12	31	1987	2555.1	9.3	7676.7	7665.6	   138.0	     1.0	309.4	2581.2	480.7	0.000	0.0	0.0	36249.63	224628.95	233915.576	47404.76	7438.06	5811.71	72.41
OliveGIS	08Feb21	4:06:41-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.1500	1	6209	12	31	1987	2609.1	6.6	7572.4	8259.6	   128.0	     1.0	194.5	1837.4	286.3	0.000	0.0	0.0	14685.37	73162.85	27810.559	10660.22	3642.58	5007.95	58.09
OliveGIS	08Feb21	4:06:47-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_883_883_ESP-AN.txt	-2.0501	37.8500	1	6209	12	31	1987	2278.2	19.0	8709.6	8817.8	   151.0	     1.0	424.4	2805.8	238.8	0.000	0.0	0.0	10205.41	66584.74	79633.687	7785.84	2047.54	2191.68	24.57
OliveGIS	08Feb21	4:06:53-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_210_210_ESP-AN.txt	-5.7501	37.2500	1	6209	12	31	1987	2651.4	1.9	7476.5	7906.9	   115.0	     1.0	119.9	1716.3	467.8	0.000	0.0	0.0	10099.39	51261.15	21038.859	10320.80	3020.89	4306.36	52.01
OliveGIS	08Feb21	4:06:59-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_847_847_ESP-AN.txt	-2.3501	37.7500	1	6209	12	31	1987	2166.3	26.3	984.3	1012.3	   156.0	     1.0	479.1	2867.9	296.3	0.000	0.0	0.0	2670.98	16741.41	19107.128	2098.82	500.10	502.30	48.53
OliveGIS	08Feb21	4:07:05-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_289_289_ESP-AN.txt	-5.3501	36.3500	1	6209	12	31	1987	2661.3	0.0	6661.9	6564.5	   114.0	     1.0	28.6	2463.4	580.7	0.000	0.0	0.0	34846.41	178470.18	108198.101	79739.50	9213.90	6096.80	86.57
OliveGIS	08Feb21	4:07:12-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_12_12_ESP-AN.txt	-7.2501	37.4500	1	6209	12	31	1987	2634.9	0.2	7864.8	7957.6	   120.0	     1.0	97.4	2370.9	520.4	0.000	0.0	0.0	35299.27	174085.39	85816.943	62432.96	8167.18	6869.35	81.66
OliveGIS	08Feb21	4:07:18-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_667_667_ESP-AN.txt	-3.4501	38.2500	1	6209	12	31	1987	2603.0	10.4	7418.0	7982.5	   131.0	     1.0	236.4	1971.7	281.3	0.000	0.0	0.0	17253.77	86923.80	34806.780	11253.26	4108.61	5177.61	62.02
OliveGIS	08Feb21	4:07:25-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_111_111_ESP-AN.txt	-6.2501	36.6500	1	6209	12	31	1987	2650.6	0.0	7691.5	7784.3	   110.0	     1.0	60.6	2044.2	426.3	0.000	0.0	0.0	31616.45	155908.90	82008.950	55423.93	8698.77	6748.49	82.55
OliveGIS	08Feb21	4:07:32-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_865_865_ESP-AN.txt	-2.1501	37.1500	1	6209	12	31	1987	2626.1	0.3	2793.7	2818.7	   133.0	     1.0	150.0	2543.3	194.7	0.000	0.0	0.0	16149.94	88521.51	87322.951	48118.26	3880.30	2579.05	85.16
