Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:33:38-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_1_1_ESP-AN.txt	-7.4501	37.45	1	730	12	30	Avg	2641.54827586207	0.0275862068965517	7003.62413793103	7119.8275862069	110.551724137931	29	58.7793103448276	2491.16896551724	460.7	0	0	0	31375.065862069	158200.261034483	83731.5456896552	55384.1303448276	7497.36034482759	6109.07689655172	81.1475862068965
OliveGIS	08Feb21	4:34:02-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_100_100_ESP-AN.txt	-6.3501	36.95	1	730	12	30	Avg	2653.44827586207	0.141379310344828	7682.36551724138	7982.82068965517	102.103448275862	29	61.4448275862069	2002.58620689655	464.351724137931	0	0	0	24733.1310344828	122544.486551724	57082.9550344828	21764.7831034483	6547.91551724138	6291.77068965517	75.3248275862069
OliveGIS	08Feb21	4:07:49-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_102_102_ESP-AN.txt	-6.3501	37.15	1	730	12	30	Avg	2650.30344827586	0.196551724137931	7487.71034482759	7845.62068965517	102.344827586207	29	67.9551724137931	1931.58965517241	467.558620689655	0	0	0	20502.4293103448	101864.157586207	44819.8795172414	15867.5655172414	5440.45137931035	5798.42068965517	71.2458620689655
OliveGIS	08Feb21	4:38:42-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_103_103_ESP-AN.txt	-6.3501	37.25	1	730	12	30	Avg	2647.45172413793	0.272413793103448	7333.15862068966	7698.28620689655	104.206896551724	29	74.1862068965517	1963.36551724138	468.148275862069	0	0	0	19593.66	97465.6927586207	42390.0892758621	15532.7555172414	5156.85379310345	5610.24379310345	70.2737931034483
OliveGIS	08Feb21	4:23:58-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_104_104_ESP-AN.txt	-6.3501	37.35	1	730	12	30	Avg	2644.70689655172	0.368965517241379	7159.91034482759	7519.7724137931	107.51724137931	29	83.5724137931035	2036.69655172414	470.803448275862	0	0	0	19883.9975862069	99102.8493103448	43200.6001724138	17244.3627586207	5113.60413793103	5510.43379310345	70.3086206896552
OliveGIS	08Feb21	4:52:20-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_105_105_ESP-AN.txt	-6.3501	37.45	1	730	12	30	Avg	2642.54482758621	0.355172413793103	6973.90689655172	7355.85517241379	106.827586206897	29	83.4	1981.26896551724	464.851724137931	0	0	0	17814.0834482759	89009.1882758621	38123.0515517241	14363.6310344828	4642.02482758621	5202.01379310345	68.0106896551724
OliveGIS	08Feb21	4:16:40-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_106_106_ESP-AN.txt	-6.3501	37.55	1	730	12	30	Avg	2631.53448275862	0.724137931034483	6650.29655172414	6938.9275862069	115.724137931034	29	109.303448275862	2265.17931034483	479.472413793103	0	0	0	21843.075862069	110359.615172414	52168.196862069	26325.225862069	5289.33	5279.78689655172	72.8551724137931
OliveGIS	08Feb21	4:44:40-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_107_107_ESP-AN.txt	-6.3501	37.65	1	730	12	30	Avg	2625.71724137931	1.20344827586207	6302.07586206897	6521.02068965517	122.758620689655	29	136.641379310345	2449.95517241379	496.227586206897	0	0	0	25162.7575862069	134106.038965517	76307.4236896552	44196.0434482759	5849.60379310345	5213.4575862069	76.2724137931035
OliveGIS	08Feb21	4:32:23-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_108_108_ESP-AN.txt	-6.3501	37.75	1	730	12	30	Avg	2617.56206896552	1.56551724137931	6139.32413793103	6329.96206896552	126.896551724138	29	155.851724137931	2541.21379310345	507.303448275862	0	0	0	25999.8679310345	142060.312758621	92919.1848965517	50166.7	5991.14551724138	5107.63206896552	76.8748275862069
OliveGIS	08Feb21	5:00:55-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_11_11_ESP-AN.txt	-7.2501	37.35	1	730	12	30	Avg	2643.58275862069	0.0241379310344828	6960.76206896552	7094.48965517241	109.793103448276	29	59.9068965517241	2441.25862068966	456.451724137931	0	0	0	30628.1093103448	153885.267931034	80759.4752068965	52183.5575862069	7433.24413793103	6068.45724137931	81.0386206896552
OliveGIS	08Feb21	4:07:22-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_111_111_ESP-AN.txt	-6.2501	36.65	1	730	12	30	Avg	2651.87931034483	0.0413793103448276	7555.21724137931	7755.62068965517	102.448275862069	29	42.9931034482759	2195.12413793103	492.279310344828	0	0	0	32976.215862069	166484.659655172	90710.9198965517	45165.0806896552	9021.14344827586	6757.89	82.8248275862069
OliveGIS	08Feb21	4:39:55-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_112_112_ESP-AN.txt	-6.2501	36.75	1	730	12	30	Avg	2650.97931034483	0.131034482758621	7512.32413793103	7749.45517241379	103.827586206897	29	58.2413793103448	2156.51724137931	489.344827586207	0	0	0	28922.6231034483	144319.123448276	72480.7158965517	33704.3634482759	7649.74793103448	6479.85655172414	79.7051724137931
OliveGIS	08Feb21	4:46:24-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_116_116_ESP-AN.txt	-6.2501	37.15	1	730	12	30	Avg	2651.14827586207	0.275862068965517	7528.38965517241	7918.36551724138	102.034482758621	29	70.848275862069	1885.85862068966	469.872413793103	0	0	0	19256.8820689655	95961.1865517241	41503.7277931034	13907.9793103448	5167.72551724138	5704.4975862069	69.4972413793103
OliveGIS	08Feb21	4:28:47-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_117_117_ESP-AN.txt	-6.2501	37.25	1	730	12	30	Avg	2648.08965517241	0.306896551724138	7467	7880.77586206897	102.724137931034	29	74.0344827586207	1873.8724137931	468.013793103448	0	0	0	18065.1310344828	90259.2510344828	38568.5245862069	12555.1720689655	4861.96448275862	5526.74137931035	67.7489655172414
OliveGIS	08Feb21	5:01:13-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_118_118_ESP-AN.txt	-6.2501	37.35	1	730	12	30	Avg	2644.2724137931	0.368965517241379	7438.23103448276	7860.6	104.793103448276	29	79.8448275862069	1907.64482758621	466.693103448276	0	0	0	17930.6106896552	89698.3131034483	38206.8663793103	13148.7224137931	4783.35206896552	5466.38448275862	66.8255172413793
OliveGIS	08Feb21	4:12:16-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_119_119_ESP-AN.txt	-6.2501	37.45	1	730	12	30	Avg	2644.05517241379	0.348275862068966	7509.28275862069	7958.64482758621	104.551724137931	29	79.9413793103448	1863.49655172414	459.779310344828	0	0	0	17136.7072413793	85896.8462068965	36254.8684482759	12015.8327586207	4631.06896551724	5413.28517241379	65.3462068965517
OliveGIS	08Feb21	4:07:08-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_12_12_ESP-AN.txt	-7.2501	37.45	1	730	12	30	Avg	2638.48620689655	0.0482758620689655	6749.29310344828	6866.92068965517	113.689655172414	29	71.3862068965517	2535.5724137931	461.513793103448	0	0	0	31169.2931034483	160005.272758621	88059.8804827586	60903.3365517241	7410.3875862069	5899.33827586207	81.3434482758621
OliveGIS	08Feb21	4:08:58-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_120_120_ESP-AN.txt	-6.2501	37.55	1	730	12	30	Avg	2637.9724137931	0.586206896551724	6851.53793103448	7235.0275862069	110.827586206897	29	96.8413793103448	2050.02413793103	471.244827586207	0	0	0	17899.0879310345	89948.1179310345	38590.1973448276	16081.8468965517	4577.87482758621	5102.99379310345	67.7620689655172
OliveGIS	08Feb21	4:37:06-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_121_121_ESP-AN.txt	-6.2501	37.65	1	730	12	30	Avg	2629.31034482759	1.01724137931034	6715.18620689655	7021.2724137931	118.344827586207	29	121.98275862069	2282.12068965517	487.044827586207	0	0	0	22104.16	113154.22	54680.4973448276	29104.3413793103	5295.06172413793	5301.92551724138	72.1289655172414
OliveGIS	08Feb21	4:44:22-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_125_125_ESP-AN.txt	-6.1501	36.35	1	730	12	30	Avg	2655.65172413793	0	7443.95172413793	7573.57586206897	101.51724137931	29	16.7310344827586	2480.82068965517	496.462068965517	0	0	0	41333.835862069	219534.256896552	144896.799793103	95583.0803448276	12044.6403448276	7003.1524137931	86.9972413793103
OliveGIS	08Feb21	4:30:40-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_126_126_ESP-AN.txt	-6.1501	36.45	1	730	12	30	Avg	2654.18620689655	0	7556.83448275862	7705.5724137931	101.068965517241	29	19.9862068965517	2341.87586206897	502.496551724138	0	0	0	39057.4706896552	204739.083103448	128631.024827586	75871.5589655172	11382.474137931	7022.05344827586	86.1031034482759
OliveGIS	08Feb21	5:00:30-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_127_127_ESP-AN.txt	-6.1501	36.55	1	730	12	30	Avg	2652.26206896552	0	7583.53448275862	7756.06551724138	101.827586206897	29	28.851724137931	2249.20344827586	505.248275862069	0	0	0	35800.7937931034	183251.831724138	105956.560758621	57215.75	10092.585862069	6924.70965517241	84.5668965517241
OliveGIS	08Feb21	4:39:01-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_130_130_ESP-AN.txt	-6.1501	36.85	1	730	12	30	Avg	2650.24482758621	0.293103448275862	7440.54137931034	7749.8	104.172413793103	29	73.4310344827586	2065.88965517241	502.641379310345	0	0	0	23300.8889655172	115453.944137931	52768.0247931034	20733.8324137931	6050.34517241379	5994.99172413793	73.9913793103448
OliveGIS	08Feb21	4:22:48-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_131_131_ESP-AN.txt	-6.1501	36.95	1	730	12	30	Avg	2653.04137931034	0.327586206896552	7589.32068965517	7942.5	102.896551724138	29	73.0586206896552	1967.53103448276	487.934482758621	0	0	0	21285.4479310345	105396.732413793	46474.8534137931	16505.5934482759	5592.11137931035	5913.55172413793	71.358275862069
OliveGIS	08Feb21	4:54:09-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_132_132_ESP-AN.txt	-6.1501	37.05	1	730	12	30	Avg	2650.4	0.348275862068965	7687.10689655172	8068.93793103448	102.620689655172	29	74.8068965517241	1917.99655172414	480.468965517241	0	0	0	20341.3368965517	101057.244482759	44139.2335172414	15251.565862069	5409.56724137931	5869.35896551724	69.728275862069
