Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:33:38-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_1_1_ESP-AN.txt	-7.4501	37.45	1	730	12	30	CV	0.481164529819262	272.246769625332	18.3564529057948	18.2323223045915	6.99239272043484	29	35.0259102912035	9.54386716668049	22.2608178238149	0	0	0	26.8641676133788	28.6136083766498	39.7399895867847	49.5380055616235	26.7989554230712	18.903289732203	4.20201292452245
OliveGIS	08Feb21	4:34:02-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_100_100_ESP-AN.txt	-6.3501	36.95	1	730	12	30	CV	0.597914049820463	265.67618664824	19.6227660457085	19.434414704657	7.78846369544024	29	40.024020438309	12.9882306694168	24.4164105274632	0	0	0	29.3737696199042	29.2102733002141	35.5842404727174	46.2968774378131	29.3195755545337	20.8977805629717	6.5250548047
OliveGIS	08Feb21	4:07:49-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_102_102_ESP-AN.txt	-6.3501	37.15	1	730	12	30	CV	0.547623156206778	218.189175466444	24.4314699172282	24.4628553320704	7.35499197663943	29	37.6700165048859	13.6097131359891	23.321532371934	0	0	0	30.5638105438892	30.7951865714379	35.5915044674885	49.1496732405165	30.3894757355724	24.6152643226234	9.13726613442919
OliveGIS	08Feb21	4:38:42-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_103_103_ESP-AN.txt	-6.3501	37.25	1	730	12	30	CV	0.523337508614086	211.080863218217	23.6733972779086	23.790784057053	7.34593142088836	29	34.8039846479631	12.7056405168036	23.9842733375538	0	0	0	29.7607048240021	30.0489633476436	34.8766331241143	50.9413626534187	29.6101157514364	23.8073916080374	9.5976526904318
OliveGIS	08Feb21	4:23:58-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_104_104_ESP-AN.txt	-6.3501	37.35	1	730	12	30	CV	0.538598267323163	190.424021363133	19.6941722576173	19.5357247211868	7.81183315210629	29	31.7179911473855	12.8511475757781	23.9051697305259	0	0	0	29.2661199145527	29.5324294082042	35.1249607467357	58.284437811424	28.0949725934873	20.5127814222103	9.7336066972223
OliveGIS	08Feb21	4:52:20-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_105_105_ESP-AN.txt	-6.3501	37.45	1	730	12	30	CV	0.544905408357804	197.601864641081	23.9717388904033	23.9347609098178	7.65022816917914	29	32.1141211303198	13.0829837425086	24.1705686544656	0	0	0	34.6343852064014	34.8122825443231	40.1073252988473	60.1836898403192	33.4005058730186	25.6231876170267	10.9847919697865
OliveGIS	08Feb21	4:16:40-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_106_106_ESP-AN.txt	-6.3501	37.55	1	730	12	30	CV	0.436365239261586	179.700331843484	21.9874397255517	21.7011728520313	7.51871750143325	29	28.3543636731993	10.8944454562785	24.7520677196482	0	0	0	33.5926688849245	36.0883646244457	48.5860063484991	63.45233087951	33.2782969261987	23.2784057413067	9.65905096152888
OliveGIS	08Feb21	4:44:40-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_107_107_ESP-AN.txt	-6.3501	37.65	1	730	12	30	CV	0.446704939908901	160.382068392961	19.088339705198	18.9692405578779	7.6468201180865	29	28.0904213083431	9.80743082228445	24.2634150225692	0	0	0	28.4815993911874	33.0501472555267	53.1833249966881	55.273223407913	28.0472286901725	19.6337079848744	7.19201433106284
OliveGIS	08Feb21	4:32:23-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_108_108_ESP-AN.txt	-6.3501	37.75	1	730	12	30	CV	0.828914704143316	148.360076888524	17.9916597061246	17.7320243247986	7.65006844468365	29	26.9566702852997	9.53589040612996	24.0199710453587	0	0	0	24.9350863699305	28.7900495481696	49.6175914318244	57.0421029276188	24.821261612594	18.6910483104997	6.38791883955066
OliveGIS	08Feb21	5:00:55-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_11_11_ESP-AN.txt	-7.2501	37.35	1	730	12	30	CV	0.449720826939716	393.885481573962	22.2527120767299	22.0897257706448	6.95515664826344	29	35.5336679242606	9.40282078696731	23.8606960920621	0	0	0	29.9250002675348	31.2071871199661	40.5154518870232	53.7014476461993	30.1047320832981	22.7951499890225	4.6709725961252
