Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:33:38-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_1_1_ESP-AN.txt	-7.4501	37.45	1	730	12	30	Std	12.7101933415006	0.0751025571380226	1285.61696657819	1298.10991304846	7.73021071093589	29	20.5879885111674	237.753856966534	102.555587714315	0	0	0	8428.6502819942	45266.8031432447	33274.9075379229	27436.1935704775	2009.21425671736	1154.81650571825	3.40983206035179
OliveGIS	08Feb21	4:34:02-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_100_100_ESP-AN.txt	-6.3501	36.95	1	730	12	30	Std	15.8653400460981	0.375611160433718	1507.49261222446	1551.41447795674	7.95229000075812	29	24.5926903513872	260.100515905648	113.37802325687	0	0	0	7265.05292985799	35795.5794361027	20312.5359884035	10076.4149580093	1919.82103732462	1314.84043224951	4.91498628154578
OliveGIS	08Feb21	4:07:49-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_102_102_ESP-AN.txt	-6.3501	37.15	1	730	12	30	Std	14.5136753925054	0.428854586261632	1829.35770038574	1919.26283921333	7.52745385747098	29	25.5987246641995	262.883811033407	109.041835081906	0	0	0	6266.3236513086	31369.2573780959	15952.0694207019	7798.85660294901	1653.32465182113	1427.29657929631	6.50992402700972
OliveGIS	08Feb21	4:38:42-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_103_103_ESP-AN.txt	-6.3501	37.25	1	730	12	30	Std	13.8551078948641	0.575013386008248	1736.00777329506	1831.48264757665	7.65496715652573	29	25.819756059182	249.458164651571	112.281962107804	0	0	0	5831.21131681856	29287.4302935649	14784.2359177269	7912.59731810682	1526.95037727027	1335.65270998975	6.74463459446158
OliveGIS	08Feb21	4:23:58-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_104_104_ESP-AN.txt	-6.3501	37.35	1	730	12	30	Std	14.2443455206038	0.70259897537432	1410.0850768013	1469.04203841837	8.3990675062991	29	26.5074908085529	261.738879532853	112.546363407514	0	0	0	5819.27457738607	29267.4790140966	15174.1938529146	10050.7798880246	1436.66568109116	1130.34323939493	6.8435646121729
OliveGIS	08Feb21	4:52:20-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_105_105_ESP-AN.txt	-6.3501	37.45	1	730	12	30	Std	14.3993696837966	0.701827312345907	1671.7667517012	1760.60634838971	8.17255409245413	29	26.7831770226867	259.20909665399	112.357305124226	0	0	0	6169.79828246566	30986.1301130016	15290.1362996972	8644.56315160094	1550.45977516491	1332.9217540705	7.47083277583778
OliveGIS	08Feb21	4:16:40-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_106_106_ESP-AN.txt	-6.3501	37.55	1	730	12	30	Std	11.4831017419408	1.3012782650735	1462.22994588079	1505.82866956004	8.70097101200344	29	30.9922972314853	246.778724452422	118.679336559101	0	0	0	7337.67214862769	39826.9803215558	25346.4434393023	16703.9694187783	1760.19894280651	1229.05021605566	7.03711823155801
OliveGIS	08Feb21	4:44:40-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_107_107_ESP-AN.txt	-6.3501	37.65	1	730	12	30	Std	11.7292086252811	1.93011523686701	1202.96164903101	1236.98810144968	9.38713090358205	29	38.3831391298071	240.277658711463	120.401758697857	0	0	0	7166.75581147907	44322.2433566575	40582.8251374691	24428.5778326238	1640.65175332073	1023.59503839114	5.48552293064755
OliveGIS	08Feb21	4:32:23-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_108_108_ESP-AN.txt	-6.3501	37.75	1	730	12	30	Std	21.6973568797332	2.32260258301344	1104.56630715252	1122.43041381949	9.70767306083995	29	42.0124354098169	242.327362295803	121.854141387968	0	0	0	6483.0895246713	40899.2344314916	46104.2615237526	28616.1406493898	1487.07790242568	954.669977532922	4.9107015942514
OliveGIS	08Feb21	5:00:55-PM	/filesystem/b6ffb3b9-1bbb-4426-bdec-1cfb19c60c01/output/eurocordex-noa_11_11_ESP-AN.txt	-7.2501	37.35	1	730	12	30	Std	11.8887422429047	0.0950758058971633	1548.95834155312	1567.15330965435	7.63628233381751	29	21.28711768442	229.547173049838	108.912558703529	0	0	0	9165.46179306154	48023.2635132991	32720.0663216626	28023.3258570812	2237.7582328216	1383.31393019211	3.78529176469164
