Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	04Feb21	4:57:11-PM	/filesystem/b0678222-2e4d-4a20-85dd-ff999e4b686d/output/eurocordex-noa_1_1_ESP-AN.txt	-7.4501	37.45	1	730	12	30	Avg	2651.71379310345	0.113793103448276	8746.71724137931	9163.2	100.51724137931	29	49.1379310344828	1703.63103448276	487.010344827586	0	0	0	21751.8131034483	109030.978965517	46981.7555172414	15688.3613793103	5980.41793103448	6586.30931034483	68.7165517241379
OliveGIS	04Feb21	4:57:38-PM	/filesystem/b0678222-2e4d-4a20-85dd-ff999e4b686d/output/eurocordex-noa_100_100_ESP-AN.txt	-6.3501	36.95	1	730	12	30	Avg	2663.72068965517	0.227586206896552	9370.92413793104	9876.67586206897	93.8965517241379	29	50.4620689655172	1186.76551724138	501.527586206897	0	0	0	19988.7217241379	103224.941034483	45468.0046551724	13802.4848275862	6119.48517241379	6792.14	65.9786206896552
OliveGIS	04Feb21	5:29:13-PM	/filesystem/b0678222-2e4d-4a20-85dd-ff999e4b686d/output/eurocordex-noa_101_101_ESP-AN.txt	-6.3501	37.05	1	730	12	30	Avg	2662.5724137931	0.244827586206897	9306.41724137931	9886.46896551724	94.0689655172414	29	54.5379310344828	1140.73448275862	497.568965517241	0	0	0	18227.5672413793	94511.3620689655	40983.0566551724	12408.395862069	5632.88413793103	6489.77862068966	62.9831034482759
OliveGIS	04Feb21	4:29:10-PM	/filesystem/b0678222-2e4d-4a20-85dd-ff999e4b686d/output/eurocordex-noa_102_102_ESP-AN.txt	-6.3501	37.15	1	730	12	30	Avg	2660.64482758621	0.248275862068966	9134.13103448276	9812.56551724138	94.2068965517241	29	56.8827586206897	1129.43448275862	506.793103448276	0	0	0	15835.4444827586	82687.6931034483	35328.9987931034	10634.6848275862	4975.36275862069	5999.36413793103	58.6062068965517
OliveGIS	04Feb21	5:01:41-PM	/filesystem/b0678222-2e4d-4a20-85dd-ff999e4b686d/output/eurocordex-noa_103_103_ESP-AN.txt	-6.3501	37.25	1	730	12	30	Avg	2656.94482758621	0.413793103448276	9117.69655172414	9818.95862068965	95.4137931034483	29	62.3172413793103	1188.67931034483	501.003448275862	0	0	0	14904.6389655172	78556.1613793103	33077.3881034483	9723.2024137931	4716.69827586207	5835.1324137931	57.08
OliveGIS	04Feb21	4:46:37-PM	/filesystem/b0678222-2e4d-4a20-85dd-ff999e4b686d/output/eurocordex-noa_104_104_ESP-AN.txt	-6.3501	37.35	1	730	12	30	Avg	2654.83103448276	0.489655172413793	8988.50689655172	9735.33103448276	97.5172413793103	29	68.2310344827586	1266.41724137931	505.686206896552	0	0	0	13727.4862068966	71807.3965517241	29547.3037931034	8479.67862068966	4252.92413793103	5471.72310344828	53.9703448275862
OliveGIS	04Feb21	5:15:29-PM	/filesystem/b0678222-2e4d-4a20-85dd-ff999e4b686d/output/eurocordex-noa_105_105_ESP-AN.txt	-6.3501	37.45	1	730	12	30	Avg	2655.60344827586	0.43448275862069	9059.68275862069	9844.30344827586	96.9655172413793	29	66.7172413793104	1222.93448275862	492.610344827586	0	0	0	12635.675862069	66354.965862069	26898.1358965517	7659.98896551724	3935.71655172414	5247.24827586207	51.0793103448276
OliveGIS	04Feb21	4:38:04-PM	/filesystem/b0678222-2e4d-4a20-85dd-ff999e4b686d/output/eurocordex-noa_106_106_ESP-AN.txt	-6.3501	37.55	1	730	12	30	Avg	2644.39310344828	0.713793103448276	8292.69310344828	8985.7724137931	103.931034482759	29	86.0689655172414	1530.58275862069	512.2	0	0	0	13342.4455172414	69009.7279310345	27968.0401034483	7964.01931034483	3946.92206896552	5183.17965517241	55.1068965517241
OliveGIS	04Feb21	5:08:29-PM	/filesystem/b0678222-2e4d-4a20-85dd-ff999e4b686d/output/eurocordex-noa_107_107_ESP-AN.txt	-6.3501	37.65	1	730	12	30	Avg	2636.26551724138	1.07586206896552	7803.39655172414	8411.85172413793	109.448275862069	29	104.672413793103	1727.97586206897	524.665517241379	0	0	0	14198.45	72154.8482758621	28669.3853793103	9262.40206896552	3904.51137931034	5063.90344827586	58.5189655172414
OliveGIS	04Feb21	4:56:26-PM	/filesystem/b0678222-2e4d-4a20-85dd-ff999e4b686d/output/eurocordex-noa_108_108_ESP-AN.txt	-6.3501	37.75	1	730	12	30	Avg	2631.77586206897	1.52758620689655	7771.35862068966	8378.90344827586	113.172413793103	29	119.327586206897	1818.61034482759	535.420689655172	0	0	0	15524.2255172414	79251.3044827586	32063.7633448276	12425.8079310345	4221.80379310345	5241.87172413793	59.7724137931034
