Model	Date	Time	WxFile	Long	Lat	GisOutSeq	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	PlantddBSum	BloomChillHr	TempIncr	ddbMinus10	ddbMinus85	OfEgDays	OfLaDays	OfPuDays	OfAdDays	OfPupSum	DamFrSum	PrcntAtkd	Mite01	GWSS01	Olivscal01	Amacul01	Cutil01	OleanScl01	Achilen01	Ed	Cocc01	OlvFly01	PrcpYrSum
OliveGIS	08Feb21	4:07:21-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.1500	1	1	365	12	31	2031	2615	4.7	3771.68	4461.01	117	207.4	1368.8	0.000	0.0	0.0	8870.56	46748.21	143478.870	31353.83	3014.05	3314.26	68.77	0	0	0	0	0	0	0	0	0	1	468.2
OliveGIS	08Feb21	4:07:21-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.1500	2	1	730	12	30	2032	2618	0.2	7555.90	9215.51	121	224.5	1525.7	0.000	0.0	0.0	5510.10	28918.80	10476.602	3084.94	1737.51	3166.08	32.73	0	0	0	0	0	0	0	0	0	1	343.0
OliveGIS	08Feb21	4:07:22-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.1500	3	1	1096	12	31	2033	2601	20.1	4567.56	5823.44	123	257.3	1484.3	0.000	0.0	0.0	3830.65	20511.05	8220.212	2457.08	1258.51	2085.25	33.46	0	0	0	0	0	0	0	0	0	1	433.3
OliveGIS	08Feb21	4:07:22-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.1500	4	1	1461	12	31	2034	2619	0.5	6752.50	7741.81	100	188.2	1443.7	0.000	0.0	0.0	11094.00	59738.18	24435.231	7822.46	3765.41	4745.35	58.95	0	0	0	0	0	0	0	0	0	1	404.6
OliveGIS	08Feb21	4:07:22-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.1500	5	1	1826	12	31	2035	2621	1.2	8272.63	9728.40	117	223.5	848.0	0.000	0.0	0.0	1814.12	11316.89	4544.795	1533.62	819.01	1420.24	13.15	0	0	0	0	0	0	0	0	0	1	282.6
OliveGIS	08Feb21	4:07:22-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.1500	6	1	2191	12	30	2036	2642	2.5	8229.91	10452.76	101	152.4	857.6	0.000	0.0	0.0	2974.31	17101.36	7588.569	2104.49	1229.68	1983.09	17.11	0	0	0	0	0	0	0	0	0	1	252.9
OliveGIS	08Feb21	4:07:23-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.1500	7	1	2557	12	31	2037	2640	4.1	8231.31	9369.03	118	171.0	1888.9	0.000	0.0	0.0	8139.51	41469.05	14766.524	4560.31	2462.45	4030.88	40.90	0	0	0	0	0	0	0	0	0	1	413.2
OliveGIS	08Feb21	4:07:23-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.1500	8	1	2922	12	31	2038	2633	0.3	7276.94	9477.69	103	146.5	793.9	0.000	0.0	0.0	1333.32	7074.50	2748.533	2239.76	535.88	926.78	8.26	0	0	0	0	0	0	0	0	0	1	251.9
OliveGIS	08Feb21	4:07:23-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.1500	9	1	3287	12	31	2039	2649	0.2	6329.66	7914.15	100	79.8	1120.6	0.000	0.0	0.0	1280.71	7354.29	3014.772	1025.85	585.71	944.01	10.44	0	0	0	0	0	0	0	0	0	1	921.6
OliveGIS	08Feb21	4:07:24-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.1500	10	1	3652	12	30	2040	2643	0.0	6022.46	7707.93	99	116.6	1268.9	0.000	0.0	0.0	3071.17	15723.50	6018.097	2173.08	968.58	1987.05	24.04	0	0	0	0	0	0	0	0	0	1	218.5
