Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:07:26-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.1500	1	5844	12	31	2046	2625.8	8.4	6893.6	8731.5	   117.0	     1.0	181.0	1212.7	119.3	0.000	0.0	0.0	3272.21	18528.57	5665.956	1309.28	1114.83	1992.86	21.31
OliveGIS	08Feb21	4:07:36-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_30_30_ESP-AN.txt	-7.0501	37.6500	1	5844	12	31	2046	2642.9	0.7	7940.6	8673.6	   104.0	     1.0	90.0	1666.0	176.4	0.000	0.0	0.0	10127.67	49836.81	18324.299	4021.19	2689.78	4220.31	46.30
OliveGIS	08Feb21	4:07:43-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_289_289_ESP-AN.txt	-5.3501	36.3500	1	5844	12	31	2046	2675.2	0.0	9991.2	10044.5	    99.0	     1.0	23.5	1866.8	88.4	0.000	0.0	0.0	35147.50	168061.43	78442.779	24938.04	9132.79	8407.95	79.72
OliveGIS	08Feb21	4:07:50-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_12_12_ESP-AN.txt	-7.2501	37.4500	1	5844	12	31	2046	2643.7	0.4	8232.2	8925.3	   103.0	     1.0	77.8	1677.6	188.3	0.000	0.0	0.0	12674.43	61370.53	22377.124	5224.36	3154.41	4779.32	51.15
OliveGIS	08Feb21	4:07:58-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_667_667_ESP-AN.txt	-3.4501	38.2500	1	5844	12	31	2046	2626.6	13.4	7665.5	9456.6	   126.0	     1.0	217.0	1360.6	132.0	0.000	0.0	0.1	3843.19	21124.90	7906.831	1563.16	1338.93	2265.84	22.29
OliveGIS	08Feb21	4:08:07-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_111_111_ESP-AN.txt	-6.2501	36.6500	1	5844	12	31	2046	2669.0	0.3	9769.3	10183.8	    99.0	     1.0	52.8	1682.9	135.4	0.000	0.0	0.0	32290.77	172056.15	87050.931	26385.42	9423.90	8125.28	76.23
OliveGIS	08Feb21	4:08:14-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_469_469_ESP-AN.txt	-4.5501	37.1500	1	5844	12	31	2046	2630.5	10.6	9071.1	9738.3	   127.0	     1.0	213.5	1906.3	153.7	0.000	0.0	0.0	10343.62	49122.89	17238.941	3873.05	2527.94	4285.87	41.72
OliveGIS	08Feb21	4:08:22-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_388_388_ESP-AN.txt	-4.9501	37.3500	1	5844	12	31	2046	2649.4	5.3	8333.7	9398.2	   108.0	     1.0	167.1	1442.0	194.4	0.000	0.0	0.0	6972.60	36430.02	13724.765	2805.65	2156.57	3468.32	34.74
OliveGIS	08Feb21	4:08:33-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_102_102_ESP-AN.txt	-6.3501	37.1500	1	5844	12	31	2046	2672.3	0.4	8956.1	10124.0	    98.0	     1.0	71.1	1302.8	128.2	0.000	0.0	0.0	10993.59	54960.85	19275.402	4475.52	3015.13	4732.12	44.34
OliveGIS	08Feb21	4:08:43-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_892_892_ESP-AN.txt	-1.8501	37.2500	1	5844	12	31	2046	2655.6	0.0	10311.6	10740.5	    98.0	     1.0	39.6	879.6	101.9	0.000	0.0	0.0	16590.86	87954.82	36963.152	11168.87	5423.01	6784.77	60.45
OliveGIS	08Feb21	4:08:53-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_300_300_ESP-AN.txt	-5.3501	37.4500	1	5844	12	31	2046	2644.0	4.2	8252.9	9711.1	   103.0	     1.0	143.4	1297.3	157.2	0.000	0.0	0.0	6676.24	35470.92	11165.343	2650.83	2056.74	3393.98	33.05
OliveGIS	08Feb21	4:09:02-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_694_694_ESP-AN.txt	-3.2501	37.5500	1	5844	12	31	2046	2607.0	27.4	4430.0	4946.5	   147.0	     1.0	371.6	1894.7	173.5	0.000	0.0	0.0	9073.80	57594.53	21643.026	10398.38	2410.01	2869.40	55.53
OliveGIS	08Feb21	4:09:09-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_379_379_ESP-AN.txt	-5.0501	38.6500	1	5844	12	31	2046	2625.6	8.1	7534.5	9010.5	   126.0	     1.0	231.9	1446.9	177.5	0.000	0.0	0.0	4404.29	23681.15	8999.432	1769.65	1475.53	2453.61	25.52
OliveGIS	08Feb21	4:09:17-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_298_298_ESP-AN.txt	-5.3501	37.2500	1	5844	12	31	2046	2639.5	4.2	8557.5	9745.5	   104.0	     1.0	144.8	1470.9	157.4	0.000	0.0	0.0	7968.76	40960.60	14692.121	3081.90	2346.89	3839.82	37.34
OliveGIS	08Feb21	4:09:28-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_595_595_ESP-AN.txt	-3.8501	37.8500	1	5844	12	31	2046	2633.5	8.3	6712.6	8938.9	   114.0	     1.0	174.4	926.0	110.9	0.000	0.0	0.0	2066.65	10822.36	3062.145	892.31	620.04	1375.98	14.05
OliveGIS	08Feb21	4:09:38-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_201_201_ESP-AN.txt	-5.7501	36.3500	1	5844	12	31	2046	2662.1	0.0	10190.1	10268.1	   100.0	     1.0	24.5	2078.6	157.9	0.000	0.0	0.0	42666.72	214431.97	113023.557	37957.75	11415.57	8870.64	82.51
OliveGIS	08Feb21	4:09:45-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_21_21_ESP-AN.txt	-7.1501	37.5500	1	5844	12	31	2046	2647.8	0.5	7815.7	8472.5	   105.0	     1.0	87.6	1726.3	190.8	0.000	0.0	0.0	11555.83	55932.32	19313.284	4507.45	2724.62	4302.33	48.49
OliveGIS	08Feb21	4:09:52-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_199_199_ESP-AN.txt	-5.7501	36.1500	1	5844	12	31	2046	2677.0	0.0	9430.5	9422.5	   101.0	     1.0	14.4	2540.9	182.4	0.000	0.0	0.0	52520.24	282509.62	187107.020	78135.01	15310.50	8629.54	87.44
OliveGIS	08Feb21	4:09:59-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_874_874_ESP-AN.txt	-2.0501	36.9500	1	5844	12	31	2046	2668.0	0.0	9969.0	10441.6	   103.0	     1.0	46.5	1273.6	78.5	0.000	0.0	0.0	14440.17	75501.50	29931.208	7456.08	4434.34	6045.69	55.16
OliveGIS	08Feb21	4:10:07-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_397_397_ESP-AN.txt	-4.9501	38.2500	1	5844	12	31	2046	2623.1	14.9	7506.6	8616.8	   133.0	     1.0	272.7	1775.6	168.1	0.000	0.0	0.0	8003.26	38746.90	12813.146	2931.06	1978.67	3467.47	38.13
OliveGIS	08Feb21	4:10:22-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_173_173_ESP-AN.txt	-5.9501	37.5500	1	5844	12	31	2046	2662.4	0.8	8461.8	10152.8	    96.0	     1.0	80.0	985.1	132.1	0.000	0.0	0.0	3799.79	20074.90	8227.757	1908.60	1241.89	2269.32	20.71
OliveGIS	08Feb21	4:10:37-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_335_335_ESP-AN.txt	-5.1501	36.4500	1	5844	12	31	2046	2660.7	0.0	9069.0	9185.3	   107.0	     1.0	39.4	2085.1	100.9	0.000	0.0	0.0	29504.29	141575.24	62140.042	19743.03	7405.21	7414.76	76.88
OliveGIS	08Feb21	4:10:47-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_254_254_ESP-AN.txt	-5.5501	37.3500	1	5844	12	31	2046	2645.6	3.4	8318.4	9921.6	   101.0	     1.0	131.6	1237.0	172.6	0.000	0.0	0.0	7400.54	38331.95	11853.323	3005.57	2041.42	3664.00	35.07
