Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:07:21-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.15	1	730	12	30	2032	2618.3	0.2	7555.9	9215.5	121	1	126.1	1525.7	343	0	0	0	5510.1	28918.8	10476.602	3084.94	1737.51	3166.08	32.73
OliveGIS	08Feb21	4:07:32-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_30_30_ESP-AN.txt	-7.0501	37.65	1	730	12	30	2032	2639.8	0.1	7214.9	7456	105	1	89.6	1814.4	266.6	0	0	0	12896.03	64515.36	25837.17	6480.89	3611.2	4716.75	60.37
OliveGIS	08Feb21	4:07:40-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_289_289_ESP-AN.txt	-5.3501	36.35	1	730	12	30	2032	2650.9	0	8106.9	8247.6	98	1	8.5	1983	357.7	0	0	0	35026.19	179606.98	104816.892	39825.74	10479.42	7291.29	84.01
OliveGIS	08Feb21	4:07:47-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_12_12_ESP-AN.txt	-7.2501	37.45	1	730	12	30	2032	2629.5	0.1	7641.1	7817.5	104	1	74.4	1891.5	277.2	0	0	0	16974.84	83421.61	34258.291	9047	4478.5	5410.18	66.32
OliveGIS	08Feb21	4:07:54-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_667_667_ESP-AN.txt	-3.4501	38.25	1	730	12	30	2032	2615.7	0.8	7820.7	9391.5	127	1	162.5	1695	370.1	0	0	0	5438.36	28746.18	9680.367	2497.03	1685.08	2993	30.2
OliveGIS	08Feb21	4:08:03-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_111_111_ESP-AN.txt	-6.2501	36.65	1	730	12	30	2032	2643.4	0	8203.1	8321.1	97	1	39.9	1538.1	357.2	0	0	0	26979.74	133576.49	65779.785	21871.77	7763.87	6826.12	78.43
OliveGIS	08Feb21	4:08:11-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_469_469_ESP-AN.txt	-4.5501	37.15	1	730	12	30	2032	2622.7	0.5	7311.5	7529.1	128	1	170.1	2170.3	341.8	0	0	0	17767.15	92065.13	36157.877	18412.26	4363.74	5150.43	65.48
OliveGIS	08Feb21	4:08:18-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_388_388_ESP-AN.txt	-4.9501	37.35	1	730	12	30	2032	2622.6	1	7531.8	8155.8	112	1	139.9	1672.2	326	0	0	0	9231.93	47857.45	17619.93	4515.35	2749.38	4117.84	48.38
OliveGIS	08Feb21	4:08:26-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_102_102_ESP-AN.txt	-6.3501	37.15	1	730	12	30	2032	2639.2	0	8514.6	8884.1	98	1	67.9	1309.8	288.1	0	0	0	15512.63	78523.25	31948.807	8649.68	4477.98	5706.24	61.54
OliveGIS	08Feb21	4:08:39-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_892_892_ESP-AN.txt	-1.8501	37.25	1	730	12	30	2032	2655.8	0	9048.8	9441.2	101	1	27.1	1115.4	241.4	0	0	0	16391.87	86206.59	35759.573	9948.82	5118.05	6232.42	63.17
OliveGIS	08Feb21	4:08:48-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_300_300_ESP-AN.txt	-5.3501	37.45	1	730	12	30	2032	2631.1	0.6	7187.4	7934.7	105	1	123.1	1412.7	341.8	0	0	0	8123.31	42911.68	16783.327	4541.23	2557.92	3888.13	46.81
OliveGIS	08Feb21	4:08:59-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_694_694_ESP-AN.txt	-3.2501	37.55	1	730	12	30	2032	2488	6.7	8839.6	9572.9	155	1	426.7	2443.8	370.9	0	0	0	27406.62	242183.52	273044.136	16563.24	6250.6	5212.93	53.83
OliveGIS	08Feb21	4:09:06-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_379_379_ESP-AN.txt	-5.0501	38.65	1	730	12	30	2032	2608.8	5.1	9085	10568.6	127	1	216.3	1613.2	357.3	0	0	0	6387.34	32400.48	11142.912	2738.22	1877.18	3416.25	30.7
OliveGIS	08Feb21	4:09:13-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_298_298_ESP-AN.txt	-5.3501	37.25	1	730	12	30	2032	2638.2	0.5	6991	7575.8	107	1	128	1583	321	0	0	0	9392.64	49002.58	18773.813	4962.75	2856.26	4113.65	51.83
OliveGIS	08Feb21	4:09:22-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_595_595_ESP-AN.txt	-3.8501	37.85	1	730	12	30	2032	2631.5	1.2	8752	11005.5	120	1	121.8	1298.9	409.4	0	0	0	2830.3	15068.57	6858.875	2073.95	1127.78	1976.51	16.38
OliveGIS	08Feb21	4:09:35-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_201_201_ESP-AN.txt	-5.7501	36.35	1	730	12	30	2032	2652.4	0	7727.7	7766.8	100	1	9.3	2110.2	373	0	0	0	35333.86	181447.94	109188.817	46607.76	10449.49	6970.87	84.92
OliveGIS	08Feb21	4:09:42-PM	/filesystem/ea95e7c5-1b85-4191-98fa-273f2a1421c1/output/eurocordex-noa_21_21_ESP-AN.txt	-7.1501	37.55	1	730	12	30	2032	2635.1	0.2	7363.1	7551.2	106	1	85.9	1917.6	282.4	0	0	0	15925.37	79292.15	32346.069	8472.63	4279.91	5188.77	65.63
