Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:55:58-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_1_1_ESP-AN.txt	-7.4501	37.45	1	730	12	30	Avg	2667.58965517241	0	9478.23448275862	9999.07931034483	91.0344827586207	29	25.8862068965517	1293.37586206897	364.320689655172	0	0	0	19902.3465517241	100815.847931034	42475.0665172414	12183.9165517241	5713.99896551724	6721.17896551724	64.2658620689655
OliveGIS	08Feb21	4:53:53-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_10_10_ESP-AN.txt	-7.2501	37.25	1	730	12	30	Avg	2675.72413793103	0	9416.66206896552	9900.11379310345	87.5862068965517	29	20.6103448275862	1208.15517241379	365.648275862069	0	0	0	24713.9031034483	123656.962068966	55469.0232413793	16973.6627586207	7086.21862068965	7370.88689655172	71.181724137931
OliveGIS	08Feb21	4:56:19-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_100_100_ESP-AN.txt	-6.3501	36.95	1	730	12	30	Avg	2673.13448275862	0.00344827586206897	9880.09655172414	10437.6655172414	83.3448275862069	29	21.6758620689655	878.103448275862	371.986206896552	0	0	0	21962.6006896552	110827.733103448	48654.8217241379	15038.874137931	6543.6724137931	7219.52655172414	66.2506896551724
OliveGIS	08Feb21	5:57:02-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_101_101_ESP-AN.txt	-6.3501	37.05	1	730	12	30	Avg	2675.58620689655	0.00344827586206897	9818.61724137931	10453.6413793103	83.1724137931034	29	24.1758620689655	808.524137931034	365.424137931034	0	0	0	19623.5989655172	99134.5006896552	42805.4086206897	12797.87	5860.9724137931	6827.93413793103	62.4079310344828
OliveGIS	08Feb21	4:09:34-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_102_102_ESP-AN.txt	-6.3501	37.15	1	730	12	30	Avg	2676.14827586207	0.00344827586206897	9604.8275862069	10394.8655172414	83.3448275862069	29	25.6379310344828	793.179310344828	367.444827586207	0	0	0	16072.5879310345	81907.8751724138	34803.4244137931	10009.7051724138	4896.69793103448	6087.12965517241	55.8779310344828
OliveGIS	08Feb21	5:03:41-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_103_103_ESP-AN.txt	-6.3501	37.25	1	730	12	30	Avg	2672.52413793103	0.00689655172413793	9394.55172413793	10244.6344827586	85.551724137931	29	32.1724137931034	863.127586206897	367.665517241379	0	0	0	13924.1827586207	71701.3844827586	29936.3211034483	8570.8124137931	4299.09344827586	5628.82965517241	52.2948275862069
OliveGIS	08Feb21	4:37:16-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_104_104_ESP-AN.txt	-6.3501	37.35	1	730	12	30	Avg	2671.45862068966	0.00344827586206897	9104.35517241379	10039.4655172414	86.8620689655172	29	34.248275862069	921.779310344828	376.468965517241	0	0	0	11886.3403448276	61486.7420689655	25582.2483793103	7102.46620689655	3736.41034482759	5024.22379310345	47.4306896551724
OliveGIS	08Feb21	5:30:29-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_105_105_ESP-AN.txt	-6.3501	37.45	1	730	12	30	Avg	2671.32068965517	0	9201.61379310345	10208.0827586207	86.2413793103448	29	33.4034482758621	876.541379310345	374.858620689655	0	0	0	10554.4296551724	54734.4168965517	22566.045862069	6151.12586206897	3372.89172413793	4665.72586206897	43.0524137931034
OliveGIS	08Feb21	5:47:49-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_11_11_ESP-AN.txt	-7.2501	37.35	1	730	12	30	Avg	2670.86896551724	0	9175.57931034483	9703.36206896552	90.1034482758621	29	25.3172413793103	1256.15862068966	368.575862068966	0	0	0	20961.3682758621	105775.617586207	45575.5505862069	13413.9475862069	6020.69103448276	6775.89344827586	66.73
OliveGIS	08Feb21	5:52:48-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_110_110_ESP-AN.txt	-6.3501	37.95	1	730	12	30	Avg	2632.32068965517	0.431034482758621	7492.19310344828	8394.51724137931	113	29	107.455172413793	1743.53103448276	427.393103448276	0	0	0	10560.3465517241	54823.564137931	21652.8446206897	7456.67793103448	3011.83310344828	4178.27379310345	47.7751724137931
