Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:55:58-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_1_1_ESP-AN.txt	-7.4501	37.45	1	730	12	30	Std	20.2193391305662	0	1201.73703395064	1293.08328186639	6.61968254860722	29	10.200900665345	394.391539186968	97.3762635322766	0	0	0	4994.82576742335	23161.2784722972	10988.8438601567	3759.16981059294	1217.51421083037	1024.48973196885	6.12417896377103
OliveGIS	08Feb21	4:53:53-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_10_10_ESP-AN.txt	-7.2501	37.25	1	730	12	30	Std	24.3937587915495	0	1040.57564749167	1068.99158313008	6.17319806779569	29	9.58772819909411	383.955778318849	115.004737854856	0	0	0	4590.87063995888	21623.8157083275	11152.1127487728	3773.69309311363	1130.36043756824	828.170977460501	4.02816252772324
OliveGIS	08Feb21	4:56:19-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_100_100_ESP-AN.txt	-6.3501	36.95	1	730	12	30	Std	20.529252228085	0.0185695338177052	1153.20498657399	1193.34901890073	6.66695401679575	29	10.4247526579912	374.125918912297	108.714076904702	0	0	0	5877.05422756949	27133.9962836448	12970.0748540965	4375.357304592	1495.5458319496	1155.81901370622	7.81046318867677
OliveGIS	08Feb21	5:57:02-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_101_101_ESP-AN.txt	-6.3501	37.05	1	730	12	30	Std	24.4091570074185	0.0185695338177052	1121.55407329962	1186.72400375308	7.12174219012877	29	11.484357534503	386.873260582448	107.854725888816	0	0	0	5622.89745006354	26712.4979356445	11923.9018392911	3982.52766748079	1471.41180961312	1258.28615030955	8.95197200114922
OliveGIS	08Feb21	4:09:34-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_102_102_ESP-AN.txt	-6.3501	37.15	1	730	12	30	Std	22.2638980781773	0.0185695338177052	1208.01637876093	1277.84241407031	7.85255127817416	29	12.3106636061443	382.657941601812	111.548921318364	0	0	0	5334.72379139082	26358.4393941918	11518.5251564054	3580.39484576235	1473.03796002241	1373.87347843991	10.3106690164364
OliveGIS	08Feb21	5:03:41-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_103_103_ESP-AN.txt	-6.3501	37.25	1	730	12	30	Std	23.8535959429363	0.0371390676354104	1336.47975737454	1436.29109397281	7.35617431091806	29	13.5778679304575	373.587141198631	110.32368699119	0	0	0	4916.90981426989	24806.1127846818	10842.8966564034	3311.88581011921	1424.82053154643	1467.42836260651	10.4285283925153
OliveGIS	08Feb21	4:37:16-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_104_104_ESP-AN.txt	-6.3501	37.35	1	730	12	30	Std	23.2394141375838	0.0185695338177052	1365.29175416471	1440.84082551917	8.35687970618492	29	14.7221072998995	382.882075634737	116.149685146392	0	0	0	4670.66526341995	23725.8394712098	10300.7336364362	3080.90639652106	1385.65966397258	1489.595228981	11.1897558159986
OliveGIS	08Feb21	5:30:29-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_105_105_ESP-AN.txt	-6.3501	37.45	1	730	12	30	Std	24.1430761933689	0	1369.70672349025	1441.86700597052	8.40771402774939	29	14.5530920317549	384.412269869994	113.247234331545	0	0	0	4563.04354399442	23920.2366325186	10406.3240391487	3073.27393017785	1432.71896764526	1572.5166201609	11.6938245775807
OliveGIS	08Feb21	5:47:49-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_11_11_ESP-AN.txt	-7.2501	37.35	1	730	12	30	Std	22.7639298554326	0	1316.5471567647	1379.78236389807	6.61893834595747	29	10.3853285581672	400.558972399144	115.095353807095	0	0	0	5256.58292675009	24880.5563335056	12005.3320748152	4125.43505353129	1326.19198454863	1080.35824717437	5.49005594559056
OliveGIS	08Feb21	5:52:48-PM	/filesystem/01942b1a-01fa-4813-8f12-5e609695beee/output/eurocordex-noa_110_110_ESP-AN.txt	-6.3501	37.95	1	730	12	30	Std	10.7913450542005	0.603030115497596	705.250286337631	780.332789844438	12.3230330218312	29	24.4971803947034	351.037170501774	118.199458939523	0	0	0	4555.84081903838	23755.7017486432	10850.1022777789	6953.24805067458	1158.3134463493	999.393633968739	12.5260079778862
