Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:07:53-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	1	4383	12	31	2082	2647.8	0.0	9397.4	9622.5	   111.0	     1.0	56.1	1774.0	338.0	0.000	0.0	0.0	15143.18	75490.27	28273.022	7196.06	4017.62	5693.20	56.28
OliveGIS	08Feb21	4:07:59-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	1	4383	12	31	2082	2610.7	4.3	8342.9	8337.1	   143.0	     1.0	260.2	2535.1	344.8	0.000	0.0	0.0	24322.67	205355.76	169673.931	41424.17	5867.92	5109.93	58.66
OliveGIS	08Feb21	4:08:06-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.1500	1	4383	12	31	2082	2634.8	1.0	7578.4	8632.5	   127.0	     1.0	153.9	1762.1	375.4	0.000	0.0	0.0	7152.49	37240.24	12265.859	2723.76	2046.96	3395.14	37.33
OliveGIS	08Feb21	4:08:13-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_883_883_ESP-AN.txt	-2.0501	37.8500	1	4383	12	31	2082	2230.2	7.6	6255.3	7298.3	   153.0	     1.0	402.3	2890.2	532.7	0.000	0.0	0.0	26695.03	199518.41	274631.637	33802.54	6054.74	4399.82	59.38
OliveGIS	08Feb21	4:08:20-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_30_30_ESP-AN.txt	-7.0501	37.6500	1	4383	12	31	2082	2632.3	0.2	8444.3	8859.8	   115.0	     1.0	79.0	1883.0	350.6	0.000	0.0	0.0	8886.96	45249.25	16190.670	3343.23	2506.13	3989.43	42.76
OliveGIS	08Feb21	4:08:27-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_289_289_ESP-AN.txt	-5.3501	36.3500	1	4383	12	31	2082	2649.4	0.0	9431.3	9462.1	    97.0	     1.0	8.5	1855.9	416.1	0.000	0.0	0.0	39630.70	203294.49	113000.642	42785.95	11681.96	8291.35	83.60
OliveGIS	08Feb21	4:08:34-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_12_12_ESP-AN.txt	-7.2501	37.4500	1	4383	12	31	2082	2628.0	0.0	7761.6	8050.0	   113.0	     1.0	67.3	1896.6	354.3	0.000	0.0	0.0	11890.14	60904.52	22739.264	5110.30	3274.66	4591.48	54.41
OliveGIS	08Feb21	4:08:41-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_667_667_ESP-AN.txt	-3.4501	38.2500	1	4383	12	31	2082	2623.5	1.7	7522.4	8494.5	   135.0	     1.0	193.6	1949.1	388.1	0.000	0.0	0.0	8641.01	45834.30	16173.391	3253.81	2151.41	3437.11	38.52
OliveGIS	08Feb21	4:08:49-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_111_111_ESP-AN.txt	-6.2501	36.6500	1	4383	12	31	2082	2644.1	0.1	9135.8	9333.0	   102.0	     1.0	44.2	1650.8	485.1	0.000	0.0	0.0	23038.57	118010.50	54274.856	17072.38	7143.68	7105.02	72.97
OliveGIS	08Feb21	4:08:57-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_865_865_ESP-AN.txt	-2.1501	37.1500	1	4383	12	31	2082	2615.0	0.1	8151.5	8101.5	   136.0	     1.0	108.2	2471.4	397.0	0.000	0.0	0.0	42717.74	256257.99	213003.333	116978.05	11458.21	7000.43	82.15
OliveGIS	08Feb21	4:09:04-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_388_388_ESP-AN.txt	-4.9501	37.3500	1	4383	12	31	2082	2634.7	0.9	8260.6	8666.3	   122.0	     1.0	153.4	1894.3	359.2	0.000	0.0	0.0	10427.28	54056.34	19389.189	4263.71	2834.29	4309.45	47.38
OliveGIS	08Feb21	4:09:12-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_102_102_ESP-AN.txt	-6.3501	37.1500	1	4383	12	31	2082	2636.4	0.2	9626.7	10156.1	   101.0	     1.0	65.4	1382.6	377.8	0.000	0.0	0.0	8188.82	44231.49	15950.440	4652.11	2620.24	4335.53	40.82
OliveGIS	08Feb21	4:09:22-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_496_496_ESP-AN.txt	-4.4501	38.0500	1	4383	12	31	2082	2625.7	1.7	7856.1	8794.9	   118.0	     1.0	121.3	1670.5	372.6	0.000	0.0	0.0	5557.30	29181.28	9511.497	2712.00	1707.16	3070.92	33.15
OliveGIS	08Feb21	4:09:30-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_739_739_ESP-AN.txt	-2.9501	36.9500	1	4383	12	31	2082	2293.3	2.1	7994.5	8098.9	   153.0	     1.0	310.0	2958.5	322.1	0.000	0.0	0.0	35699.01	246116.13	345201.412	64457.85	8325.58	5639.20	68.53
OliveGIS	08Feb21	4:09:37-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_892_892_ESP-AN.txt	-1.8501	37.2500	1	4383	12	31	2082	2650.1	0.0	9811.9	10113.9	   105.0	     1.0	31.3	1279.9	420.5	0.000	0.0	0.0	20989.80	109279.53	47988.027	14502.51	6613.30	7295.39	68.84
