Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:07:50-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.75	1	730	12	30	2072	2653.1	0	8066.6	8398	108	1	57	1668	331.4	0	0	0	13834.92	69137.13	26650.899	6347.72	3670.09	5093.75	58.06
OliveGIS	08Feb21	4:07:58-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.15	1	730	12	30	2072	2625.7	8.2	7618.8	8040.7	130	1	223.8	2219.8	389.8	0	0	0	25388.92	145159.86	75142.1	19221.46	5938.52	5687.73	67.83
OliveGIS	08Feb21	4:08:04-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.15	1	730	12	30	2072	2648.6	1.6	7936.5	9258	116	1	147.5	1397.6	284.7	0	0	0	1648.35	8668.17	3537.115	899.7	596.14	1027.99	9.57
OliveGIS	08Feb21	4:08:11-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_883_883_ESP-AN.txt	-2.0501	37.85	1	730	12	30	2072	2531.4	2.7	8386.1	8691	147	1	324.4	2606.9	402.4	0	0	0	42570.38	262184.3	281134.568	102366.19	9044.43	6488.18	72.77
OliveGIS	08Feb21	4:08:18-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_30_30_ESP-AN.txt	-7.0501	37.65	1	730	12	30	2072	2673.6	0	7616.9	8462.8	105	1	70.5	1812.9	534.8	0	0	0	14557.63	75177.44	27627.896	7891.73	3993.92	5246.1	59
OliveGIS	08Feb21	4:08:25-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_289_289_ESP-AN.txt	-5.3501	36.35	1	730	12	30	2072	2692.4	0	7612.7	7673.8	103	1	10.5	1880.4	434.3	0	0	0	30218.79	153289.89	85972.961	30675.36	8774.71	6672.65	82.64
OliveGIS	08Feb21	4:08:32-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_12_12_ESP-AN.txt	-7.2501	37.45	1	730	12	30	2072	2667.6	0	7662.7	8398.6	105	1	52.6	1905.9	598.8	0	0	0	18194.71	93307.6	38387.237	11832.07	5158.51	5860.94	66.77
OliveGIS	08Feb21	4:08:39-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_667_667_ESP-AN.txt	-3.4501	38.25	1	730	12	30	2072	2630.9	2.8	7724.2	9037.5	125	1	185.2	1556.1	305.5	0	0	0	4098.6	19546.92	6008.609	1669.6	1019.44	2201.8	22.72
OliveGIS	08Feb21	4:08:46-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_111_111_ESP-AN.txt	-6.2501	36.65	1	730	12	30	2072	2697.4	0	8679.9	9211.8	98	1	32.8	1500.9	496.7	0	0	0	28273.49	147511.52	76516.939	28022.72	9041.84	7472.77	77.45
OliveGIS	08Feb21	4:08:54-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_865_865_ESP-AN.txt	-2.1501	37.15	1	730	12	30	2072	2619.7	0	7895.9	8388.7	128	1	84.7	2098.9	231.3	0	0	0	23059.74	132867.81	71804.724	20560.38	7198.66	6241.46	71.23
