Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:36:16-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_100_100_ESP-AN.txt	-6.3501	36.95	1	730	12	30	Std	25.2803633953117	0.484513874498224	826.475188938564	850.979760588367	7.02686610735116	29	22.1978935449405	280.033372923191	137.00736846892	0	0	0	5668.70084661678	25743.0839146641	13716.7576458986	5168.63247898339	1542.98570486157	981.773288292506	8.92125207972237
OliveGIS	08Feb21	4:09:09-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_102_102_ESP-AN.txt	-6.3501	37.15	1	730	12	30	Std	25.4597102750726	0.615501717732794	780.471794774432	822.833539361113	7.23752536430891	29	24.271569555139	284.478861967641	142.079162004363	0	0	0	5270.97046656472	24623.4647539409	11923.5294361247	4303.50668376029	1475.46533585071	1149.52377951414	11.4890099660502
OliveGIS	08Feb21	4:40:36-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_103_103_ESP-AN.txt	-6.3501	37.25	1	730	12	30	Std	24.4356518993016	0.887058014552749	776.283056124891	824.885267809567	7.36821826455275	29	25.3631894546081	276.497337260805	141.194464037642	0	0	0	4600.1255144652	22101.1286131906	10754.4194119574	3808.66620189556	1355.72561224971	1100.89187286464	11.5227954518264
OliveGIS	08Feb21	4:25:30-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_104_104_ESP-AN.txt	-6.3501	37.35	1	730	12	30	Std	22.0727971581364	1.01732528667888	746.721184686827	863.388062862579	7.92110108283766	29	26.4794036514041	282.263886942558	135.016870867011	0	0	0	4458.03624042334	21860.21746887	10332.2956927721	3670.36427185502	1347.61995841985	1225.16868602451	13.1209153906904
OliveGIS	08Feb21	4:55:19-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_105_105_ESP-AN.txt	-6.3501	37.45	1	730	12	30	Std	17.6518241706551	1.16974377220434	718.326603252926	822.397998915786	7.8313504110775	29	25.2563785046949	284.480473024107	131.729866802794	0	0	0	4159.09489517843	20782.3503303101	9558.71237209503	3310.20941043405	1266.50082954704	1246.20194091138	12.9757858898075
OliveGIS	08Feb21	4:17:43-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_106_106_ESP-AN.txt	-6.3501	37.55	1	730	12	30	Std	16.8600863673728	1.51008922190978	1198.97664506808	1183.75001870049	8.24830181059233	29	27.3824253262703	273.423993455301	130.109508537319	0	0	0	4292.1263439479	21228.483052408	9753.52717460958	3312.66769097986	1268.20694585176	1224.55230155619	11.4340807548906
OliveGIS	08Feb21	4:47:40-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_107_107_ESP-AN.txt	-6.3501	37.65	1	730	12	30	Std	17.5356519317062	1.84074037364119	855.52715522368	846.369318690541	9.27162629678268	29	30.4835447817844	270.884124427762	132.619437663962	0	0	0	4336.91324800206	21493.6039827319	9766.59791083299	4383.93456871556	1233.38276627177	1170.95049481674	11.645585412761
OliveGIS	08Feb21	5:07:49-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_110_110_ESP-AN.txt	-6.3501	37.95	1	730	12	30	Std	12.4701476046112	3.15368265456661	943.722885859809	936.966632421313	10.1034062441332	29	37.1514143231035	273.573743941893	135.835540232105	0	0	0	4871.09114080643	25766.6207676888	12484.3935774714	12921.60244813	1280.82602303282	1023.80919403755	10.0659612120827
OliveGIS	08Feb21	4:08:46-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_111_111_ESP-AN.txt	-6.2501	36.65	1	730	12	30	Std	24.6451251187375	0.259926097871452	857.035392811767	850.549844674527	7.43493948348961	29	19.0765311157156	277.824629405734	156.638666592643	0	0	0	5367.89627059025	24030.1928774245	13964.0134144568	5896.21527825528	1332.92491582316	755.540485736174	4.29429909063202
OliveGIS	08Feb21	4:42:02-PM	/filesystem/5c5190cf-4606-43f2-99f2-1684a1a5a539/output/eurocordex-noa_112_112_ESP-AN.txt	-6.2501	36.75	1	730	12	30	Std	24.1333783532045	0.597078272133719	857.915050208577	856.797641941464	7.88073038049452	29	22.5384417092177	276.850853971642	154.082385039012	0	0	0	5543.83503394414	24650.0613401983	13473.8198053838	5350.62623614456	1427.14418813192	878.159393844051	7.23615618985252
