Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	5:18:31-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_100_100_ESP-AN.txt	-6.3501	36.95	1	730	12	30	CV	0.689484296372625	538.51648071345	13.4800835896962	13.0869253925359	9.03148098713312	29	41.4666422173259	47.4190724293396	33.8819791982486	0	0	0	25.4630837569321	24.8112535863902	29.4648618102331	33.4556309337261	24.2203021973722	15.608432944031	12.6412388262623
OliveGIS	08Feb21	6:32:42-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_101_101_ESP-AN.txt	-6.3501	37.05	1	730	12	30	CV	0.795359941422238	538.51648071345	14.2765239071427	13.9184716731057	9.18931893147404	29	41.1721887950976	53.1784605402253	34.4153311522143	0	0	0	25.4403010748623	24.752019798293	28.7444538358017	31.0831870735759	23.6937799192853	15.9663506660881	14.1120600197831
OliveGIS	08Feb21	4:10:51-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_102_102_ESP-AN.txt	-6.3501	37.15	1	730	12	30	CV	0.72490768313326	538.51648071345	10.4237374340677	10.1905541590355	9.90418136707887	29	44.8359215680311	59.4722306115179	35.4457530185863	0	0	0	30.7151530506706	31.0781881902701	34.5986305048963	36.248221031673	29.3721985981414	19.633134478605	21.038447400363
OliveGIS	08Feb21	4:51:50-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_104_104_ESP-AN.txt	-6.3501	37.35	1	730	12	30	CV	0.650302953622058	421.148514693536	9.82963203166477	10.1815133064848	10.3391728213385	29	42.353043788408	50.4914438971958	38.7083998000023	0	0	0	35.4643464038583	36.6580310631379	37.4931421254107	35.5777729174224	33.4473525396771	25.3676759222261	29.0319655709515
OliveGIS	08Feb21	5:59:16-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_105_105_ESP-AN.txt	-6.3501	37.45	1	730	12	30	CV	0.708298999146795	319.807419729883	9.86640444015341	9.48165832052912	10.2587705405343	29	46.2314544463765	53.2222993590738	36.9775942245623	0	0	0	36.1770466538528	36.7551721476457	37.7082166119533	36.1362642130543	33.0794398560114	26.8444628192248	29.713656943378
OliveGIS	08Feb21	5:41:37-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_107_107_ESP-AN.txt	-6.3501	37.65	1	730	12	30	CV	0.501823529498799	235.544354330862	10.9481841824422	10.1737226693819	10.5905379093255	29	33.5277098888781	31.0788302318276	34.6616576392039	0	0	0	34.7557913311607	34.5182042165635	35.5401523324627	35.92406498126	31.928295170706	26.5943335686364	28.2607537154362
OliveGIS	08Feb21	6:16:53-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_109_109_ESP-AN.txt	-6.3501	37.85	1	730	12	30	CV	0.431227311925982	216.846033301643	11.8915050371112	10.8830452656262	10.0793613904236	29	28.2352563284982	29.5514655515997	32.0486017494258	0	0	0	36.4544865582101	35.0830129174799	35.4735603628785	35.4705061682831	31.9764684421763	28.0233354190562	28.8609302427612
OliveGIS	08Feb21	6:21:48-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_11_11_ESP-AN.txt	-7.2501	37.35	1	730	12	30	CV	0.619814131942672	0	8.20518616098232	8.61320303132995	8.25050989534868	29	39.6060007395791	34.9714167011729	36.7767311356111	0	0	0	23.0621485969771	20.7479211120088	24.4894956854543	30.1199746219224	20.4247596017011	12.3764033525715	10.7824997064998
OliveGIS	08Feb21	6:28:32-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_110_110_ESP-AN.txt	-6.3501	37.95	1	730	12	30	CV	0.53911812553686	185.685086024214	12.9761425097974	12.699825185366	10.4001307357243	29	23.0551012115894	24.5927168359171	31.4600632761885	0	0	0	36.2722491266477	34.9447249279573	36.3051804507732	41.4233876022907	31.8114754681554	25.7830865718036	26.4978848215287
OliveGIS	08Feb21	4:47:09-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_113_113_ESP-AN.txt	-6.2501	36.85	1	730	12	30	CV	0.698016842363603	538.51648071345	10.7258724997377	10.7709268014088	9.77768291701599	29	41.815359725458	38.5643647716895	34.5431410330132	0	0	0	24.6364557265353	24.1997840226653	29.1461340602768	33.6912481522702	23.1684543334039	13.2498976582179	12.0471984690409
OliveGIS	08Feb21	6:02:31-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_114_114_ESP-AN.txt	-6.2501	36.95	1	730	12	30	CV	0.665713110854298	538.51648071345	15.7696593386908	15.0945732230397	9.56744406136167	29	41.3059591759956	51.3204929374451	33.6289463655045	0	0	0	29.3631469582949	29.1603748414296	33.6763574138024	35.9049594707721	28.1120678996204	19.4954306486144	15.8786633211686
OliveGIS	08Feb21	4:32:12-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_115_115_ESP-AN.txt	-6.2501	37.05	1	730	12	30	CV	0.77940295234164	538.51648071345	10.3761695338868	10.1859003927233	9.62355834232628	29	41.2481148520643	58.055823807421	34.4220502040511	0	0	0	29.4233191709044	29.0864319309181	33.6409262546991	35.9569510062786	28.0406906994507	18.0699505625838	18.3634373711691
OliveGIS	08Feb21	5:45:48-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_116_116_ESP-AN.txt	-6.2501	37.15	1	730	12	30	CV	0.793511472891308	538.51648071345	10.4250918070412	9.98229762742869	9.88944858858529	29	44.4375601999739	63.4494554195594	35.6335117174095	0	0	0	31.5355578248122	32.2126622206685	35.4503242568269	38.0560049495346	30.9261453661486	21.1472934692239	22.6075763502315
OliveGIS	08Feb21	5:05:29-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_117_117_ESP-AN.txt	-6.2501	37.25	1	730	12	30	CV	0.694075465194598	440.324555624274	11.1576976597116	10.2854175396072	10.1383934782682	29	44.3647523695278	63.6043226141882	37.6797304853841	0	0	0	33.3538030396784	34.2867087675713	34.6368160139959	33.1570481009931	30.80983932067	24.4395208980799	26.18682259449
OliveGIS	08Feb21	6:22:59-PM	/filesystem/7158eea0-b95e-43db-880e-fa487a394b91/output/eurocordex-noa_118_118_ESP-AN.txt	-6.2501	37.35	1	730	12	30	CV	0.700747439586084	440.324555624274	11.0162870159524	10.1570622655184	10.4988994105876	29	43.4904985107576	59.474363108117	37.3629935359951	0	0	0	37.6526538725324	38.0466057899705	38.2147952721956	36.1777767595371	33.5029105605679	27.9024112135051	30.344260145645
