Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:08:12-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.75	1	730	12	30	2072	2647.8	0	8665.2	8857.8	100	1	59.2	1695	343.4	0	0	0	13936.86	69118.48	25611.927	6217.94	3704.2	5261.31	56.39
OliveGIS	08Feb21	4:08:21-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.15	1	730	12	30	2072	2618.9	1.1	7907.2	9089	109	1	105	1727.1	354	0	0	0	9784.41	51984.98	19115.187	4363.67	2944.61	4376.6	46.03
OliveGIS	08Feb21	4:08:31-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_30_30_ESP-AN.txt	-7.0501	37.65	1	730	12	30	2072	2635.9	0	7643.1	8322.6	101	1	48	2040	389	0	0	0	20000.18	100635.78	41968.504	11504.92	5355.42	6038.41	69.64
OliveGIS	08Feb21	4:08:38-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_685_685_ESP-AN.txt	-3.3501	38.35	1	730	12	30	2072	2608.6	3.9	6586.5	7162.8	126	1	183.2	2230.9	369.7	0	0	0	17121.4	86781.49	34939.995	8029.09	3789.96	4628.48	62.36
OliveGIS	08Feb21	4:08:47-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_289_289_ESP-AN.txt	-5.3501	36.35	1	730	12	30	2072	2657.4	0	8271.1	8354.6	93	1	7.9	1984.5	409.5	0	0	0	36793.64	182909.96	99660.693	35568.35	10345.89	7435.42	84.38
OliveGIS	08Feb21	4:08:54-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_12_12_ESP-AN.txt	-7.2501	37.45	1	730	12	30	2072	2645.3	0	8022	8639.3	99	1	39	2073.7	375.3	0	0	0	24540.88	125050.23	56164.961	16041.01	6752.06	6708.29	74.19
OliveGIS	08Feb21	4:09:01-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_667_667_ESP-AN.txt	-3.4501	38.25	1	730	12	30	2072	2611	1.7	6812.3	7696.3	116	1	131.6	1929.4	354.6	0	0	0	10925.02	56268.28	21351.262	4814.14	2974.25	4240.57	52.71
OliveGIS	08Feb21	4:09:11-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_111_111_ESP-AN.txt	-6.2501	36.65	1	730	12	30	2072	2655.4	0	8127	8580.6	90	1	26.9	1641.4	477.1	0	0	0	28841.15	141972.86	69290.532	23735.67	8324.92	7160.85	79.54
OliveGIS	08Feb21	4:09:19-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_865_865_ESP-AN.txt	-2.1501	37.15	1	730	12	30	2072	2612.7	0.2	6486.1	6535.2	117	1	78.7	2469.2	213.5	0	0	0	26360.61	140168.36	72779.516	27639.16	6858.89	5464.89	79.79
OliveGIS	08Feb21	4:09:27-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_469_469_ESP-AN.txt	-4.5501	37.15	1	730	12	30	2072	2623.8	1.8	6782.3	6953.9	118	1	135.8	2306.4	551.8	0	0	0	18986.09	101890.94	44544.844	11184.66	4530.71	4848.99	66.99
