Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:41:34-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_1_1_ESP-AN.txt	-7.4501	37.45	1	730	12	30	Avg	2662.9	0.00689655172413793	8250.59655172414	8652.89655172414	96.1724137931034	29	26.4862068965517	1540.06206896552	438.01724137931	0	0	0	19559.3372413793	98304.2810344828	42820.0133793103	12522.4455172414	5525.68379310345	6096.71551724138	67.6410344827586
OliveGIS	08Feb21	5:16:49-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_101_101_ESP-AN.txt	-6.3501	37.05	1	730	12	30	Avg	2676.13793103448	0.0137931034482759	8211.82413793103	8751.3	90.0344827586207	29	27.7275862068966	1032.36896551724	413.203448275862	0	0	0	16669.8924137931	85925.8686206897	37941.8749655172	11790.7431034483	5181.42379310345	5772.13379310345	64.6158620689655
OliveGIS	08Feb21	4:09:43-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_102_102_ESP-AN.txt	-6.3501	37.15	1	730	12	30	Avg	2674.49310344828	0.0103448275862069	8153.26896551724	8780.34137931034	89.8275862068966	29	29.3379310344828	977.986206896552	424.262068965517	0	0	0	14381.7213793103	74492.1217241379	32307.977137931	9977.30793103448	4539.54689655172	5321.53517241379	59.69
OliveGIS	08Feb21	4:46:12-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_103_103_ESP-AN.txt	-6.3501	37.25	1	730	12	30	Avg	2673.71034482759	0.0172413793103448	8186.81034482759	8825.08965517241	91.448275862069	29	33.6448275862069	1058.56896551724	419.875862068965	0	0	0	13766.2382758621	71490.4282758621	30365.5604137931	9213.53103448276	4335.04896551724	5236.64448275862	58.4748275862069
OliveGIS	08Feb21	4:28:52-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_104_104_ESP-AN.txt	-6.3501	37.35	1	730	12	30	Avg	2667.1724137931	0.0379310344827586	7924.80689655172	8621.16896551724	93.7241379310345	29	39.0344827586207	1135.65862068966	426.413793103448	0	0	0	12453.3210344828	64451.7024137931	26879.4910344828	8010.89689655172	3880.67413793103	4867.56103448276	55.5951724137931
OliveGIS	08Feb21	5:01:50-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_105_105_ESP-AN.txt	-6.3501	37.45	1	730	12	30	Avg	2664.1275862069	0.0482758620689655	7770.21724137931	8476.60344827586	93.3793103448276	29	39.4344827586207	1086.11034482759	428.796551724138	0	0	0	11089.9027586207	58075.6127586207	24039.5227586207	7092.57965517241	3523.5375862069	4544.88517241379	52.7562068965517
OliveGIS	08Feb21	4:21:01-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_106_106_ESP-AN.txt	-6.3501	37.55	1	730	12	30	Avg	2653.04482758621	0.120689655172414	7514.24137931035	8246.85172413793	100.51724137931	29	54.3413793103448	1409.72413793103	446.78275862069	0	0	0	11233.2696551724	58803.554137931	23877.1493448276	6715.2024137931	3486.52724137931	4544.16655172414	53.5796551724138
OliveGIS	08Feb21	4:54:22-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_107_107_ESP-AN.txt	-6.3501	37.65	1	730	12	30	Avg	2645.53793103448	0.213793103448276	7582.40689655172	8292.83448275862	106.068965517241	29	68.8344827586207	1622.2275862069	462.624137931035	0	0	0	12219.5555172414	63174.0513793103	25388.958	7230.44344827586	3600.52689655172	4703.05793103448	54.8237931034483
OliveGIS	08Feb21	4:40:00-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_108_108_ESP-AN.txt	-6.3501	37.75	1	730	12	30	Avg	2639.43103448276	0.348275862068966	7558.38965517241	8252.19310344828	109.51724137931	29	79.8689655172414	1731.61379310345	476.786206896552	0	0	0	13044.4231034483	66767.1193103448	26839.7705172414	7799.41275862069	3724.97931034483	4841.60931034483	56.1631034482759
OliveGIS	08Feb21	5:09:50-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_109_109_ESP-AN.txt	-6.3501	37.85	1	730	12	30	Avg	2639.91724137931	0.344827586206897	7519.15862068966	8245.16551724138	108.310344827586	29	78.6172413793103	1668.97586206897	473.051724137931	0	0	0	11775.2286206897	60942.9244827586	24161.5086551724	6883.57896551724	3464.38827586207	4645.75896551724	53.821724137931
OliveGIS	08Feb21	5:11:30-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_11_11_ESP-AN.txt	-7.2501	37.35	1	730	12	30	Avg	2665.85862068966	0.0206896551724138	8137.14482758621	8531.93103448276	95.2758620689655	29	26.5	1466.18965517241	431.831034482759	0	0	0	20050.5848275862	101368.243793103	45052.2283793103	13480.4510344828	5778.57310344828	6159.9424137931	69.4093103448276
OliveGIS	08Feb21	4:09:11-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_111_111_ESP-AN.txt	-6.2501	36.65	1	730	12	30	Avg	2674.73793103448	0	8179.95172413793	8565.95172413793	90.2068965517241	29	16.8724137931034	1183.17586206897	445.462068965517	0	0	0	24746.2131034483	127088.092413793	63737.7580689655	22104.4551724138	7686.58	6772.42482758621	76.2303448275862
