Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:41:34-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_1_1_ESP-AN.txt	-7.4501	37.45	1	730	12	30	CV	0.664409212241444	538.51648071345	19.7506665134558	19.6978388212019	6.98662927537282	29	47.5654797754395	17.9233646742267	30.0433679352729	0	0	0	34.151254518878	32.8125785386253	37.0916897955132	43.9229374037276	31.9106088301479	23.3511746332602	11.1282823380589
OliveGIS	08Feb21	5:16:49-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_101_101_ESP-AN.txt	-6.3501	37.05	1	730	12	30	CV	0.689737970695688	254.425122299554	30.8940265939939	30.7678916063615	7.40612046295123	29	51.6846578818001	27.5370080951308	32.1566902623431	0	0	0	42.6294132920181	40.9148319132709	45.3124797014547	51.0507470248615	40.2749745008421	33.1595494804932	16.7187887928133
OliveGIS	08Feb21	4:09:43-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_102_102_ESP-AN.txt	-6.3501	37.15	1	730	12	30	CV	0.651593573926781	395.610839725021	30.788251801153	30.5007964278762	7.35480844828971	29	47.8814617011835	29.0145199068827	31.8150457745872	0	0	0	48.7189054109831	47.0743757489593	52.0960037630253	57.2782148699838	46.3715402621711	36.7427141655442	23.0939975088101
OliveGIS	08Feb21	4:46:12-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_103_103_ESP-AN.txt	-6.3501	37.25	1	730	12	30	CV	0.65727644507679	312.684231408347	31.4382321132477	31.0898326642045	7.42570311504069	29	44.7398217548173	25.3422339422911	31.8494584477869	0	0	0	49.2787195102631	47.2966413890797	52.2839717235914	57.3577321303295	46.5539530486124	37.3533963059395	22.9295130981165
OliveGIS	08Feb21	4:28:52-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_104_104_ESP-AN.txt	-6.3501	37.35	1	730	12	30	CV	0.646764291540836	267.504096339554	30.9195575778621	30.4529446451255	7.6403888356391	29	42.8095378012522	24.9308339326213	32.2833089549081	0	0	0	51.7662375240456	49.519415419895	54.7815979654973	59.5662495855852	48.1668884005853	38.8149242216327	25.1739932545927
OliveGIS	08Feb21	5:01:50-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_105_105_ESP-AN.txt	-6.3501	37.45	1	730	12	30	CV	0.637833015830953	225.699431182605	29.7835909455921	29.1606387434039	7.54756688331743	29	43.8952651229507	25.3094990284553	31.7350559468834	0	0	0	52.8147731737982	50.5075927362949	55.6368235342189	59.8312726150405	49.4645331313286	39.314731719672	27.2132401278782
OliveGIS	08Feb21	4:21:01-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_106_106_ESP-AN.txt	-6.3501	37.55	1	730	12	30	CV	0.573865139266179	210.523434842955	24.2662418062009	24.4994612651043	7.64911324132871	29	39.8671279687641	19.4935861578789	31.8228320000048	0	0	0	43.39036515145	42.0565339796169	45.6624949285021	50.4793737024813	40.3389213258421	32.9554038866971	23.8660006727775
OliveGIS	08Feb21	4:54:22-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_107_107_ESP-AN.txt	-6.3501	37.65	1	730	12	30	CV	0.536472707109905	205.686496252422	21.4984771965849	21.4107895090881	7.89967405910751	29	36.2331976153433	16.9868428113555	31.2607780385323	0	0	0	40.0921724114835	39.7775422413029	42.8409142746529	49.200989032635	38.7036442008499	30.6926273497543	22.8164259240948
OliveGIS	08Feb21	4:40:00-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_108_108_ESP-AN.txt	-6.3501	37.75	1	730	12	30	CV	0.489356084754388	207.423801525521	13.954196574206	13.1485360052871	8.0109947439844	29	34.5921146144993	16.0219973774255	30.8526723255417	0	0	0	32.8439043945285	32.9434352306782	37.8628492372838	45.3796202209915	33.2333793769101	22.6039983339134	18.2364984090091
OliveGIS	08Feb21	5:09:50-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_109_109_ESP-AN.txt	-6.3501	37.85	1	730	12	30	CV	0.502992392379564	206.314773378655	13.7696212238579	13.6810881728236	7.90426727746119	29	34.8091405436051	16.1604496678887	30.8168291315123	0	0	0	32.1882156072594	32.091920277509	35.6741100154938	43.0094078508248	31.8027220046772	22.8717937862752	17.1456651842844
