Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:41:34-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_1_1_ESP-AN.txt	-7.4501	37.45	1	730	12	30	Std	17.6925529127774	0.0371390676354104	1629.54781030171	1704.43361612396	6.71921001690165	29	12.5982913846604	276.03094083013	131.595131447518	0	0	0	6679.75904350914	32256.1694212706	15882.666533051	5500.22590595383	1763.27934040812	1423.65468732411	7.52728529362516
OliveGIS	08Feb21	5:16:49-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_101_101_ESP-AN.txt	-6.3501	37.05	1	730	12	30	Std	18.4583394585348	0.0350931203171798	2536.96313302443	2692.59049814752	6.66806225129851	29	14.3309080699157	284.283525606101	132.87255301539	0	0	0	7106.27733241064	35156.4247161731	17192.4043921013	6019.26243409268	2086.81711145298	1914.01356120441	10.8029895059659
OliveGIS	08Feb21	4:09:43-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_102_102_ESP-AN.txt	-6.3501	37.15	1	730	12	30	Std	17.4268251971839	0.0409252592818988	2510.24897912871	2678.07404977602	6.60664689923955	29	14.0474302121955	283.758002686567	134.97917144559	0	0	0	7006.61723525734	35066.7012837928	16831.1649855339	5714.82387497786	2105.05781685462	1955.2764576189	13.7848071130088
OliveGIS	08Feb21	4:46:12-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_103_103_ESP-AN.txt	-6.3501	37.25	1	730	12	30	Std	17.5736683061331	0.0539110743807494	2573.78843887827	2743.70560625912	6.79067746934066	29	15.0526358917845	268.26502368187	133.728188221942	0	0	0	6783.82594707655	33812.5714891517	15876.3210204576	5284.6724505034	2018.13666004125	1956.06456677794	13.4079932504803
OliveGIS	08Feb21	4:28:52-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_104_104_ESP-AN.txt	-6.3501	37.35	1	730	12	30	Std	17.2503187662416	0.101467071025348	2450.31523131369	2625.3998128317	7.16088857078175	29	16.710481652075	283.129164765636	137.660482253929	0	0	0	6446.61574634228	31916.1062634807	14725.0147136822	4771.7908394439	1869.19998120762	1889.34012697621	13.9955249533275
OliveGIS	08Feb21	5:01:50-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_105_105_ESP-AN.txt	-6.3501	37.45	1	730	12	30	Std	16.9926853286878	0.108958346088154	2314.24971875629	2471.83170926264	7.04786590345641	29	17.3098707567608	274.889087172091	136.078825587962	0	0	0	5857.10698716031	29332.5939712319	13374.8268556822	4243.58066892511	1742.90141672413	1786.80941250163	14.3566732651189
OliveGIS	08Feb21	4:21:01-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_106_106_ESP-AN.txt	-6.3501	37.55	1	730	12	30	Std	15.2248993946218	0.254080007569083	1823.42398300506	2020.43424374576	7.68867762016317	29	21.6643472296467	274.805789416001	142.178926680849	0	0	0	4874.15672182634	24730.7367272414	10902.9021086528	3389.79212133666	1406.42748090405	1497.54844040489	12.7873208639201
OliveGIS	08Feb21	4:54:22-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_107_107_ESP-AN.txt	-6.3501	37.65	1	730	12	30	Std	14.1925889562401	0.439743543712075	1630.10201760745	1775.56133544052	8.37910255372921	29	24.9409341654304	275.565250111413	144.619904911294	0	0	0	4899.08526588936	25129.0849729476	10876.8617320076	3557.44968799708	1393.53511939728	1443.49204481548	12.5088301422273
OliveGIS	08Feb21	4:40:00-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_108_108_ESP-AN.txt	-6.3501	37.75	1	730	12	30	Std	12.9162163701371	0.722407032899228	1054.71255032721	1085.04258143271	8.77342045065326	29	27.628364093139	277.439116518173	147.101286107173	0	0	0	4284.29785291434	21995.3827053931	10162.3018465761	3539.34388932963	1237.93650591831	1094.39728784494	10.2421834667949
OliveGIS	08Feb21	5:09:50-PM	/filesystem/26b40584-7586-4e38-b42b-90dbe609c556/output/eurocordex-noa_109_109_ESP-AN.txt	-6.3501	37.85	1	730	12	30	Std	13.2785828892544	0.711430253029844	1035.35966129003	1128.02836440904	8.56113914431227	29	27.3659860432294	269.714004158866	145.779541531259	0	0	0	3790.2359766753	19557.7547397894	8619.40317904927	2960.5865520129	1101.76977253504	1062.56841040049	9.22809261709882
