Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	08Feb21	4:08:28-PM	/filesystem/4abbfe2e-5abb-4bd7-9674-9946ad20f728/output/eurocordex-noa_568_568_ESP-AN.txt	-3.9501	36.7500	1	4383	12	31	2082	2680.8	0.0	11151.6	11767.8	    82.0	     1.0	10.9	122.6	129.5	0.000	0.0	0.0	11021.52	66637.68	28482.557	9940.36	4459.72	6010.09	48.93
OliveGIS	08Feb21	4:08:59-PM	/filesystem/4abbfe2e-5abb-4bd7-9674-9946ad20f728/output/eurocordex-noa_487_487_ESP-AN.txt	-4.4501	37.1500	1	4383	12	31	2082	2630.1	0.0	7497.5	8372.6	    99.0	     1.0	70.9	1126.1	189.7	0.000	0.0	0.0	10115.68	53684.98	21870.763	5724.37	3191.33	4510.49	51.74
OliveGIS	08Feb21	4:09:13-PM	/filesystem/4abbfe2e-5abb-4bd7-9674-9946ad20f728/output/eurocordex-noa_649_649_ESP-AN.txt	-3.5501	38.1500	1	4383	12	31	2082	2650.5	0.0	7502.9	9963.6	    89.0	     1.0	50.0	146.4	163.8	0.000	0.0	0.0	948.60	4669.69	2277.020	672.16	369.89	606.89	5.31
OliveGIS	08Feb21	4:10:08-PM	/filesystem/4abbfe2e-5abb-4bd7-9674-9946ad20f728/output/eurocordex-noa_210_210_ESP-AN.txt	-5.7501	37.2500	1	4383	12	31	2082	2676.0	0.0	9157.4	10792.2	    78.0	     1.0	20.7	-212.7	240.5	0.000	0.0	0.0	4343.90	23082.06	11206.345	2931.75	1710.76	2448.48	21.73
OliveGIS	08Feb21	4:10:59-PM	/filesystem/4abbfe2e-5abb-4bd7-9674-9946ad20f728/output/eurocordex-noa_30_30_ESP-AN.txt	-7.0501	37.6500	1	4383	12	31	2082	2673.3	0.0	9596.5	10631.1	    82.0	     1.0	22.2	191.1	164.8	0.000	0.0	0.0	7790.89	42750.18	17745.688	6872.97	2847.87	4214.67	37.55
OliveGIS	08Feb21	4:11:25-PM	/filesystem/4abbfe2e-5abb-4bd7-9674-9946ad20f728/output/eurocordex-noa_289_289_ESP-AN.txt	-5.3501	36.3500	1	4383	12	31	2082	2682.2	0.0	9820.7	10032.9	    79.0	     1.0	0.7	613.4	240.4	0.000	0.0	0.0	33715.06	166157.46	84465.298	31090.49	10157.86	8426.81	80.38
OliveGIS	08Feb21	4:11:40-PM	/filesystem/4abbfe2e-5abb-4bd7-9674-9946ad20f728/output/eurocordex-noa_12_12_ESP-AN.txt	-7.2501	37.4500	1	4383	12	31	2082	2677.3	0.0	9960.9	10823.1	    82.0	     1.0	17.9	216.7	154.0	0.000	0.0	0.0	9498.64	53218.93	22269.537	7160.27	3673.53	4936.82	43.29
OliveGIS	08Feb21	4:12:02-PM	/filesystem/4abbfe2e-5abb-4bd7-9674-9946ad20f728/output/eurocordex-noa_829_829_ESP-AN.txt	-2.4501	37.2500	1	4383	12	31	2082	2343.9	19.4	8728.3	9068.4	   145.0	     1.0	361.1	2964.0	467.8	0.000	0.0	0.0	54075.25	368455.17	364995.494	98442.40	11089.98	7056.75	76.68
OliveGIS	08Feb21	4:12:12-PM	/filesystem/4abbfe2e-5abb-4bd7-9674-9946ad20f728/output/eurocordex-noa_111_111_ESP-AN.txt	-6.2501	36.6500	1	4383	12	31	2082	2683.1	0.0	10102.0	10806.2	    79.0	     1.0	7.1	12.1	199.7	0.000	0.0	0.0	17843.08	91541.41	45524.896	17376.08	6150.22	6750.46	59.94
OliveGIS	08Feb21	4:12:41-PM	/filesystem/4abbfe2e-5abb-4bd7-9674-9946ad20f728/output/eurocordex-noa_865_865_ESP-AN.txt	-2.1501	37.1500	1	4383	12	31	2082	2654.5	0.0	6925.6	7556.0	   102.0	     1.0	33.3	1287.8	406.4	0.000	0.0	0.0	15552.02	81550.45	36036.602	10026.60	4775.65	5337.87	67.40
OliveGIS	08Feb21	4:12:49-PM	/filesystem/4abbfe2e-5abb-4bd7-9674-9946ad20f728/output/eurocordex-noa_469_469_ESP-AN.txt	-4.5501	37.1500	1	4383	12	31	2082	2629.7	0.0	8655.7	9653.8	    91.0	     1.0	55.0	845.5	158.7	0.000	0.0	0.0	7858.80	45131.15	17301.540	4361.46	2810.04	4199.77	41.60
OliveGIS	08Feb21	4:13:02-PM	/filesystem/4abbfe2e-5abb-4bd7-9674-9946ad20f728/output/eurocordex-noa_388_388_ESP-AN.txt	-4.9501	37.3500	1	4383	12	31	2082	2664.3	0.0	10037.4	11696.2	    86.0	     1.0	36.6	352.9	186.3	0.000	0.0	0.0	3462.69	18738.02	8841.540	3528.62	1362.20	2200.19	17.19
OliveGIS	08Feb21	4:13:37-PM	/filesystem/4abbfe2e-5abb-4bd7-9674-9946ad20f728/output/eurocordex-noa_102_102_ESP-AN.txt	-6.3501	37.1500	1	4383	12	31	2082	2694.5	0.0	9910.7	11187.5	    77.0	     1.0	12.5	-245.9	209.5	0.000	0.0	0.0	9295.11	47196.87	23304.661	7231.70	3337.50	4351.22	37.25
