cat	featurecla	scalerank	adm1_code	diss_me	iso_3166_2	wikipedia	iso_a2	adm0_sr	name	name_alt	name_local	type	type_en	code_local	code_hasc	note	hasc_maybe	region	region_cod	provnum_ne	gadm_level	check_me	datarank	abbrev	postal	area_sqkm	sameascity	labelrank	name_len	mapcolor9	mapcolor13	fips	fips_alt	woe_id	woe_label	woe_name	latitude	longitude	sov_a3	adm0_a3	adm0_label	admin	geonunit	gu_a3	gn_id	gn_name	gns_id	gns_name	gn_level	gn_region	gn_a1_code	region_sub	sub_code	gns_level	gns_lang	gns_adm1	gns_region	min_label	max_label	min_zoom	wikidataid	name_ar	name_bn	name_de	name_en	name_es	name_fr	name_el	name_hi	name_hu	name_id	name_it	name_ja	name_ko	name_nl	name_pl	name_pt	name_ru	name_sv	name_tr	name_vi	name_zh	ne_id
772	Admin-1 scale rank	5	COL-1406	1406	CO-NAR		CO	5	Nariño			Departamento	Department		CO.NA					4	1	0	5		NA	0	-99	5	6	3	1	CO20		2345065	Narino, CO, Colombia	Nariño	1.60168	-77.9777	COL	COL	2	Colombia	Colombia	COL	3674021	Departamento de Narino	-593270	Narino, Departamento de	1		CO.20			1	por	CO20		6.7	11.0	6.7	Q230217	إدارة نارينيو	নারিনো বিভাগ	Departamento de Nariño	Nariño Department	Nariño	Nariño	Ναρίνο	नारिनो विभाग	Nariño megye	Departemen Nariño	dipartimento di Nariño	ナリーニョ県	나리뇨 주	Nariño	Nariño	Nariño	Нариньо	Nariño	Nariño	Nariño	纳里尼奥省	1159310019
775	Admin-1 scale rank	5	COL-1407	1407	CO-PUT		CO	1	Putumayo			Intendencia	Intendancy		CO.PU					15	1	0	5		PU	0	-99	5	8	3	1	CO22		2345067	Putumayo, CO, Colombia	Putumayo	0.420217	-75.5514	COL	COL	2	Colombia	Colombia	COL	3671178	Departamento del Putumayo	-596143	Putumayo, Departamemnto del	1		CO.22			1	por	CO22		6.7	11.0	6.7	Q232953	إدارة بوتومايو	পুতোমাইয়ো বিভাগ	Departamento de Putumayo	Putumayo Department	Putumayo	Putumayo	Πουτουμάγιο	पुटुमाओ विभाग	Putumayo megye	Departemen Putumayo	dipartimento di Putumayo	プトゥマヨ県	푸투마요 주	Putumayo	Putumayo	Putumayo	Путумайо	Putumayo	Putumayo	Putumayo	普图马约省	1159310145
1343	Admin-1 scale rank	5	COL-1415	1415	CO-CHO		CO	5	Chocó			Departamento	Department		CO.CH					3	1	0	5		CH	0	-99	5	5	3	1	CO11		2345057	Choco, CO, Colombia	Chocó	5.38283	-76.7263	COL	COL	2	Colombia	Colombia	COL	3686431	Departamento del Choco	-580762	Choco, Departamento del	1		CO.11			1	por	CO11		6.7	11.0	6.7	Q230584	إدارة تشوكو	কুকো বিভাগ	Departamento del Chocó	Chocó Department	Chocó	Chocó	Τσοκό	चोको विभाग	Chocó megye	Departemen Chocó	dipartimento di Chocó	チョコ県	초코 주	Chocó	Chocó	Chocó	Чоко	Chocó	Chocó	Chocó	乔科省	1159310035
1350	Admin-1 scale rank	5	COL-1424	1424	CO-GUA		CO	1	Guainía	Guania		Comisaría	Commissiary		CO.GN					12	1	0	5		GN	0	-99	5	7	3	1	CO15		2345060	Guainia, CO, Colombia	Guainía	2.70535	-68.8925	COL	COL	2	Colombia	Colombia	COL	3681652	Departamento del Guainia	-585574	Guainia, Departamento del	1		CO.15			1	por	CO15		6.7	11.0	6.7	Q238645	إدارة غواينيا	গোয়াইনিয়া বিভাগ	Guainía	Guainía Department	Guainía	Guainía	Γκουαϊνία	गुऐनिआ विभाग	Guainía megye	Departemen Guainía	dipartimento di Guainía	グアイニア県	과이니아 주	Guainía	Guainía	Guainía	Гуайния	Guainía	Guainía	Khu hành chính Guainía	瓜伊尼亚省	1159310167
1351	Admin-1 scale rank	5	COL-1426	1426	CO-VAU		CO	1	Vaupés			Comisaría	Commissiary		CO.VP					13	1	0	5		VP	0	-99	5	6	3	1	CO30		2345075	Vaupes, CO, Colombia	Vaupés	0.790971	-70.5869	COL	COL	2	Colombia	Colombia	COL	3666254	Departamento del Vaupes	-601114	Vaupes, Departamento del	1		CO.30			1	por	CO30		6.7	11.0	6.7	Q234505	إدارة فاوبيس	ভুপ্স বিভাগ	Departamento del Vaupés	Vaupés Department	Vaupés	Vaupés	Βαουπές	वॉपेस विभाग	Vaupés megye	Departemen Vaupés	dipartimento di Vaupés	バウペス県	바우페스 주	Vaupés	Vaupés	Vaupés	Ваупес	Vaupés	Vaupés	Khu vực hành chính Vaupés	沃佩斯省	1159310173
1352	Admin-1 scale rank	5	COL-1283	1283	CO-AMA		CO	1	Amazonas			Comisaría	Commissiary		CO.AM					11	1	0	6		AM	0	-99	5	8	3	1	CO01		2345047	Amazonas, CO, Colombia	Amazonas	-1.26032	-71.9171	COL	COL	2	Colombia	Colombia	COL	3689982	Departamento del Amazonas	-577156	Amazonas, Departamento del	1		CO.01			1	por	CO01		6.7	11.0	6.7	Q44724	إدارة أمازوناس	আমাজুনাস বিভাগ	Departamento de Amazonas	Amazonas Department	Amazonas	Amazonas	Διαμέρισμα Αμαζόνιου	अमेज़ोनास विभाग	Amazonas megye	Departemen Amazonas	dipartimento di Amazonas	アマソナス県	아마소나스 주	Amazonas	Amazonas	Amazonas	Амасонас	Amazonas	Amazonas Departmantı	Amazonas	亚马孙省	1159310177
1394	Admin-1 scale rank	5	COL-1318	1318	CO-LAG		CO	1	La Guajira	Guajira|Goagira|La Goajira		Departamento	Department		CO.LG					30	1	0	5		LG	0	-99	5	10	3	1	CO17		2345062	La Guajira, CO, Colombia	La Guajira	11.4245	-72.6702	COL	COL	2	Colombia	Colombia	COL	3678847	Departamento de La Guajira	-588409	La Guajira, Departamento de	1		CO.17			1	por	CO17		6.7	11.0	6.7	Q272747	إدارة لا غواخيرا	লা গোয়াজিরা বিভাগ	La Guajira	La Guajira Department	La Guajira	La Guajira	Λα Γκουατζίρα	ला ग्वाजिरा विभाग	La Guajira megye	Departemen Guajira	dipartimento di La Guajira	ラ・グアヒーラ県	라과히라 주	La Guajira	La Guajira	Guajira	Гуахира	La Guajira	La Guajira	Khu vực hành chính La Guajira	瓜希拉省	1159310189
1395	Admin-1 scale rank	5	COL-1414	1414	CO-CES		CO	1	Cesar	El Cesar		Departamento	Department		CO.CE					27	1	0	5		CE	0	-99	5	5	3	1	CO10		2345056	Cesar, CO, Colombia	Cesar	9.84893	-73.4339	COL	COL	2	Colombia	Colombia	COL	3686880	Departamento del Cesar	-580305	Cesar, Departamento del	1		CO.10			1	por	CO10		6.7	11.0	6.7	Q234916	إدارة سيزار	সিজার বিভাগ	Departamento del Cesar	Cesar Department	Cesar	Cesar	Κέσαρ	सीसर विभाग	Cesar megye	Departemen Cesar	dipartimento di Cesar	セサール県	세사르 주	Cesar	Cesar	Cesar	Сесар	Cesar	Cesar	Khu vực hành chính Cesar	塞萨尔省	1159310153
1396	Admin-1 scale rank	5	COL-1421	1421	CO-NSA		CO	1	Norte de Santander	Santander del Norte		Departamento	Department		CO.NS					28	1	0	5		NS	0	-99	5	18	3	1	CO21		2345066	Norte de Santander, CO, Colombia	Norte de Santander	8.086	-72.8175	COL	COL	2	Colombia	Colombia	COL	3673798	Departamento de Norte de Santander	-593497	Norte de Santander, Departamento de	1		CO.21			1	por	CO21		6.7	11.0	6.7	Q233058	إدارة نورتي دي سانتاندر	নর্থে ডি সান্তান্ডের বিভাগ	Departamento de Norte de Santander	Norte de Santander Department	Norte de Santander	Norte de Santander	Νόρτε ντε Σαντάντερ	नोर्टे डी सैनटेंडर विभाग	Észak-Santander megye	Departemen Norte de Santander	dipartimento di Norte de Santander	ノルテ・デ・サンタンデール県	노르테데산탄데르 주	Norte de Santander	Norte de Santander	Norte de Santander	Северный Сантандер	Norte de Santander	Norte de Santander	Norte de Santander	北桑坦德省	1159310161
1399	Admin-1 scale rank	5	COL-1420	1420	CO-ARA		CO	1	Arauca			Intendencia	Intendancy		CO.AR					29	1	0	5		AR	0	7	7	6	3	1	CO03		2345049	Arauca, CO, Colombia	Arauca	6.64307	-70.8913	COL	COL	2	Colombia	Colombia	COL	3689717	Departamento de Arauca	-577428	Arauca, Departamento de	1		CO.03			1	por	CO03		6.7	11.0	6.7	Q230223	إدارة أروكا	আরোকা বিভাগ	Departamento del Arauca	Arauca Department	Arauca	Arauca	Αράουκα	अराउका विभाग	Arauca megye	Departemen Arauca	dipartimento di Arauca	アラウカ県	아라우카 주	Arauca	Arauca	Arauca	Араука	Arauca	Arauca	Arauca	阿劳卡省	1159310159
