Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83
OliveGIS	30set19	17:41:08	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	1	7305	12	31	1999	2634.0	0.0	9190.9	9543.0	    99.0	     1.0	63.5	1890.4	488.1	0.000	0.0	0.0
OliveGIS	30set19	17:41:15	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	1	7305	12	31	1999	2638.9	0.0	9342.1	9551.2	    99.0	     1.0	70.0	1859.8	476.9	0.000	0.0	0.0
OliveGIS	30set19	17:41:19	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.1250	37.8750	1	7305	12	31	1999	2631.1	0.1	8903.4	9219.2	   105.0	     1.0	85.6	2158.6	518.7	0.000	0.0	0.0
OliveGIS	30set19	17:41:25	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_210_ESP.txt	-7.1250	37.6250	1	7305	12	31	1999	2636.8	0.0	9220.8	9551.3	   101.0	     1.0	68.9	1885.7	531.0	0.000	0.0	0.0
OliveGIS	30set19	17:41:30	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_211_ESP.txt	-7.1250	37.3750	1	7305	12	31	1999	2637.6	0.0	9450.2	9681.0	   100.0	     1.0	76.4	1815.6	492.7	0.000	0.0	0.0
OliveGIS	30set19	17:41:35	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_208_ESP.txt	-6.8750	38.1250	1	7305	12	31	1999	2624.6	1.0	7668.6	7980.3	   111.0	     1.0	126.5	2135.6	521.6	0.000	0.0	0.0
OliveGIS	30set19	17:41:39	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_209_ESP.txt	-6.8750	37.8750	1	7305	12	31	1999	2631.2	0.1	9203.1	9528.4	   103.0	     1.0	90.5	1998.5	564.7	0.000	0.0	0.0
OliveGIS	30set19	17:41:47	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_210_ESP.txt	-6.8750	37.6250	1	7305	12	31	1999	2629.7	0.0	9370.9	9758.3	    98.0	     1.0	70.1	1700.7	574.1	0.000	0.0	0.0
OliveGIS	30set19	17:41:53	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_211_ESP.txt	-6.8750	37.3750	1	7305	12	31	1999	2640.5	0.0	9660.3	9977.7	    98.0	     1.0	69.8	1622.7	501.9	0.000	0.0	0.0
OliveGIS	30set19	17:41:59	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_209_ESP.txt	-6.6250	37.8750	1	7305	12	31	1999	2636.1	0.2	8679.3	8929.2	   108.0	     1.0	103.4	2061.1	580.9	0.000	0.0	0.0
