Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83
OliveGIS	30set19	17:41:07	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	1	2922	12	31	1987	2630.3	0.2	9079.0	9334.3	   105.0	     1.0	72.0	1836.0	745.2	0.000	0.0	0.0
OliveGIS	30set19	17:41:13	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	1	2922	12	31	1987	2626.1	0.0	9440.7	9566.8	   103.0	     1.0	63.2	1830.9	746.4	0.000	0.0	0.0
OliveGIS	30set19	17:41:18	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.1250	37.8750	1	2922	12	31	1987	2622.1	0.5	7524.5	7774.3	   113.0	     1.0	97.8	2143.3	798.7	0.000	0.0	0.0
OliveGIS	30set19	17:41:22	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_210_ESP.txt	-7.1250	37.6250	1	2922	12	31	1987	2637.7	0.2	8615.3	8852.6	   108.0	     1.0	78.8	1892.7	824.8	0.000	0.0	0.0
OliveGIS	30set19	17:41:29	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_211_ESP.txt	-7.1250	37.3750	1	2922	12	31	1987	2629.5	0.1	9046.5	9174.9	   104.0	     1.0	69.2	1821.3	761.5	0.000	0.0	0.0
OliveGIS	30set19	17:41:33	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_208_ESP.txt	-6.8750	38.1250	1	2922	12	31	1987	2617.5	1.4	7161.1	7383.3	   118.0	     1.0	129.1	2327.3	809.0	0.000	0.0	0.0
OliveGIS	30set19	17:41:37	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_209_ESP.txt	-6.8750	37.8750	1	2922	12	31	1987	2611.5	0.3	7723.9	7983.8	   111.0	     1.0	94.5	2076.2	941.8	0.000	0.0	0.0
OliveGIS	30set19	17:41:42	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_210_ESP.txt	-6.8750	37.6250	1	2922	12	31	1987	2624.8	0.1	8913.8	9170.1	   104.0	     1.0	72.5	1764.0	994.7	0.000	0.0	0.0
OliveGIS	30set19	17:41:51	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_211_ESP.txt	-6.8750	37.3750	1	2922	12	31	1987	2639.0	0.0	9483.6	9649.2	   102.0	     1.0	61.9	1669.7	817.7	0.000	0.0	0.0
OliveGIS	30set19	17:41:58	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_209_ESP.txt	-6.6250	37.8750	1	2922	12	31	1987	2626.6	0.6	7680.2	7896.3	   115.0	     1.0	109.0	2212.6	984.2	0.000	0.0	0.0
OliveGIS	30set19	17:42:02	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_210_ESP.txt	-6.6250	37.6250	1	2922	12	31	1987	2631.7	0.2	9143.4	9397.7	   107.0	     1.0	80.4	1858.7	987.3	0.000	0.0	0.0
OliveGIS	30set19	17:42:07	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_211_ESP.txt	-6.6250	37.3750	1	2922	12	31	1987	2635.5	0.1	9549.1	9747.5	   104.0	     1.0	70.5	1650.6	813.0	0.000	0.0	0.0
OliveGIS	30set19	17:42:12	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_212_ESP.txt	-6.6250	37.1250	1	2922	12	31	1987	2653.4	0.0	9567.7	9723.0	    91.0	     1.0	24.6	1506.2	706.4	0.000	0.0	0.0
OliveGIS	30set19	17:42:17	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_209_ESP.txt	-6.3750	37.8750	1	2922	12	31	1987	2616.9	1.2	7615.4	7833.3	   116.0	     1.0	122.7	2219.9	907.5	0.000	0.0	0.0
OliveGIS	30set19	17:42:22	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_210_ESP.txt	-6.3750	37.6250	1	2922	12	31	1987	2617.6	0.3	8776.1	9058.5	   108.0	     1.0	90.3	1888.2	887.0	0.000	0.0	0.0
OliveGIS	30set19	17:42:27	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_211_ESP.txt	-6.3750	37.3750	1	2922	12	31	1987	2637.5	0.0	9128.6	9467.2	   100.0	     1.0	61.0	1450.4	836.6	0.000	0.0	0.0
OliveGIS	30set19	17:42:33	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_212_ESP.txt	-6.3750	37.1250	1	2922	12	31	1987	2647.8	0.0	9906.2	10230.2	    88.0	     1.0	28.6	1251.9	779.1	0.000	0.0	0.0
OliveGIS	30set19	17:42:38	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_213_ESP.txt	-6.3750	36.8750	1	2922	12	31	1987	2643.3	0.0	9463.4	9593.9	    95.0	     1.0	28.2	1456.1	743.6	0.000	0.0	0.0
OliveGIS	30set19	17:42:44	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_209_ESP.txt	-6.1250	37.8750	1	2922	12	31	1987	2614.2	1.5	7670.7	7886.9	   116.0	     1.0	129.0	2192.2	881.3	0.000	0.0	0.0
OliveGIS	30set19	17:42:48	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_210_ESP.txt	-6.1250	37.6250	1	2922	12	31	1987	2632.7	0.5	8763.8	9047.0	   108.0	     1.0	93.8	1831.0	832.7	0.000	0.0	0.0
OliveGIS	30set19	17:42:53	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_211_ESP.txt	-6.1250	37.3750	1	2922	12	31	1987	2633.5	0.3	9298.4	9673.1	   101.0	     1.0	71.3	1388.3	786.7	0.000	0.0	0.0
OliveGIS	30set19	17:42:59	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_212_ESP.txt	-6.1250	37.1250	1	2922	12	31	1987	2635.1	0.0	9207.6	9546.5	    92.0	     1.0	47.4	1198.6	772.2	0.000	0.0	0.0
