Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83
OliveGIS	30set19	17:41:09	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	1	8766	12	31	2003	2648.1	0.1	8083.3	8464.5	   106.0	     1.0	63.9	1689.2	653.2	0.000	0.0	0.0
OliveGIS	30set19	17:41:15	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	1	8766	12	31	2003	2650.3	0.0	7695.1	7905.0	   106.0	     1.0	64.0	1681.4	677.3	0.000	0.0	0.0
OliveGIS	30set19	17:41:20	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.1250	37.8750	1	8766	12	31	2003	2628.0	0.3	7074.7	7633.7	   115.0	     1.0	80.7	2015.4	700.7	0.000	0.0	0.0
OliveGIS	30set19	17:41:25	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_210_ESP.txt	-7.1250	37.6250	1	8766	12	31	2003	2650.0	0.1	8083.9	8519.1	   108.0	     1.0	68.6	1745.6	717.5	0.000	0.0	0.0
OliveGIS	30set19	17:41:31	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_211_ESP.txt	-7.1250	37.3750	1	8766	12	31	2003	2637.0	0.0	7823.5	8107.9	   107.0	     1.0	68.9	1679.0	696.0	0.000	0.0	0.0
OliveGIS	30set19	17:41:35	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_208_ESP.txt	-6.8750	38.1250	1	8766	12	31	2003	2623.6	1.3	6546.1	7173.3	   120.0	     1.0	107.4	2126.8	718.1	0.000	0.0	0.0
OliveGIS	30set19	17:41:40	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_209_ESP.txt	-6.8750	37.8750	1	8766	12	31	2003	2637.9	0.3	7805.1	8335.7	   110.0	     1.0	78.5	1910.7	835.0	0.000	0.0	0.0
OliveGIS	30set19	17:41:48	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_210_ESP.txt	-6.8750	37.6250	1	8766	12	31	2003	2644.3	0.1	7490.7	7836.4	   103.0	     1.0	63.7	1591.7	864.3	0.000	0.0	0.0
OliveGIS	30set19	17:41:53	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_211_ESP.txt	-6.8750	37.3750	1	8766	12	31	2003	2638.3	0.0	7772.4	8055.9	   103.0	     1.0	62.8	1571.2	763.5	0.000	0.0	0.0
OliveGIS	30set19	17:42:00	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_209_ESP.txt	-6.6250	37.8750	1	8766	12	31	2003	2634.4	0.5	7136.7	7649.6	   115.0	     1.0	88.8	2024.5	853.7	0.000	0.0	0.0
OliveGIS	30set19	17:42:05	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_210_ESP.txt	-6.6250	37.6250	1	8766	12	31	2003	2648.6	0.1	7612.4	8029.7	   106.0	     1.0	69.2	1678.6	851.9	0.000	0.0	0.0
OliveGIS	30set19	17:42:10	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_211_ESP.txt	-6.6250	37.3750	1	8766	12	31	2003	2636.7	0.2	7643.6	8002.0	   104.0	     1.0	70.1	1572.1	765.4	0.000	0.0	0.0
OliveGIS	30set19	17:42:15	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_212_ESP.txt	-6.6250	37.1250	1	8766	12	31	2003	2662.7	0.0	9644.3	9812.5	    92.0	     1.0	24.8	1339.2	664.0	0.000	0.0	0.0
OliveGIS	30set19	17:42:20	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_209_ESP.txt	-6.3750	37.8750	1	8766	12	31	2003	2632.9	0.8	6671.2	7185.8	   116.0	     1.0	96.5	1961.3	770.6	0.000	0.0	0.0
OliveGIS	30set19	17:42:25	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_210_ESP.txt	-6.3750	37.6250	1	8766	12	31	2003	2647.7	0.2	7531.9	7967.8	   106.0	     1.0	74.2	1614.0	754.5	0.000	0.0	0.0
OliveGIS	30set19	17:42:30	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_211_ESP.txt	-6.3750	37.3750	1	8766	12	31	2003	2640.4	0.0	8085.5	8524.5	    98.0	     1.0	54.6	1313.9	742.7	0.000	0.0	0.0
OliveGIS	30set19	17:42:36	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_212_ESP.txt	-6.3750	37.1250	1	8766	12	31	2003	2651.7	0.0	9900.8	10223.5	    88.0	     1.0	26.0	1048.1	697.7	0.000	0.0	0.0
OliveGIS	30set19	17:42:41	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_213_ESP.txt	-6.3750	36.8750	1	8766	12	31	2003	2658.4	0.0	9185.5	9392.7	    95.0	     1.0	31.6	1338.5	728.8	0.000	0.0	0.0
OliveGIS	30set19	17:42:46	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_209_ESP.txt	-6.1250	37.8750	1	8766	12	31	2003	2627.3	0.8	6895.8	7401.5	   116.0	     1.0	101.0	1924.6	757.3	0.000	0.0	0.0
OliveGIS	30set19	17:42:51	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_210_ESP.txt	-6.1250	37.6250	1	8766	12	31	2003	2636.3	0.3	7667.5	8112.6	   105.0	     1.0	76.3	1545.8	726.3	0.000	0.0	0.0
