Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83
OliveGIS	30set19	17:41:12	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	1	10958	12	31	2009	2642.5	0.5	9120.4	9502.8	    97.0	     1.0	46.7	1665.2	581.2	0.000	0.0	0.0
OliveGIS	30set19	17:41:16	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	1	10958	12	31	2009	2633.5	0.1	8660.5	8890.8	    96.0	     1.0	44.3	1614.2	561.6	0.000	0.0	0.0
OliveGIS	30set19	17:41:21	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.1250	37.8750	1	10958	12	31	2009	2627.4	0.7	6989.8	7273.0	   110.0	     1.0	62.4	1963.3	609.1	0.000	0.0	0.0
OliveGIS	30set19	17:41:26	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_210_ESP.txt	-7.1250	37.6250	1	10958	12	31	2009	2634.3	0.5	8518.2	8900.6	   100.0	     1.0	52.0	1707.2	642.4	0.000	0.0	0.0
OliveGIS	30set19	17:41:32	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_211_ESP.txt	-7.1250	37.3750	1	10958	12	31	2009	2632.4	0.2	8971.1	9249.7	    97.0	     1.0	49.3	1596.5	572.9	0.000	0.0	0.0
OliveGIS	30set19	17:41:36	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_208_ESP.txt	-6.8750	38.1250	1	10958	12	31	2009	2615.7	1.5	7067.8	7391.0	   115.0	     1.0	95.8	2030.5	663.2	0.000	0.0	0.0
OliveGIS	30set19	17:41:41	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_209_ESP.txt	-6.8750	37.8750	1	10958	12	31	2009	2625.4	0.5	7481.4	7779.2	   104.0	     1.0	61.5	1848.6	701.3	0.000	0.0	0.0
OliveGIS	30set19	17:41:49	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_210_ESP.txt	-6.8750	37.6250	1	10958	12	31	2009	2640.4	0.3	8704.6	9070.9	    96.0	     1.0	48.4	1514.1	748.0	0.000	0.0	0.0
OliveGIS	30set19	17:41:54	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_211_ESP.txt	-6.8750	37.3750	1	10958	12	31	2009	2637.2	0.2	8405.1	8702.1	    94.0	     1.0	42.4	1396.2	625.1	0.000	0.0	0.0
OliveGIS	30set19	17:42:01	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_209_ESP.txt	-6.6250	37.8750	1	10958	12	31	2009	2628.0	0.7	7263.4	7537.2	   112.0	     1.0	73.1	1983.2	735.6	0.000	0.0	0.0
