Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83
OliveGIS	30set19	17:41:06	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	1	1461	12	31	1983	2634.5	0.3	9124.4	9412.4	    98.0	     1.0	74.2	2034.6	535.2	0.000	0.0	0.0
OliveGIS	30set19	17:41:12	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	1	1461	12	31	1983	2648.7	0.1	10294.8	10582.2	    96.0	     1.0	68.3	1935.5	566.8	0.000	0.0	0.0
OliveGIS	30set19	17:41:17	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.1250	37.8750	1	1461	12	31	1983	2619.3	0.7	7261.2	7395.8	   103.0	     1.0	102.9	2260.6	585.5	0.000	0.0	0.0
OliveGIS	30set19	17:41:22	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_210_ESP.txt	-7.1250	37.6250	1	1461	12	31	1983	2646.5	0.4	8011.0	8230.9	   100.0	     1.0	82.1	2064.8	592.3	0.000	0.0	0.0
OliveGIS	30set19	17:41:28	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_211_ESP.txt	-7.1250	37.3750	1	1461	12	31	1983	2650.1	0.1	9918.0	10205.4	    97.0	     1.0	74.8	1891.1	570.6	0.000	0.0	0.0
OliveGIS	30set19	17:41:33	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_208_ESP.txt	-6.8750	38.1250	1	1461	12	31	1983	2627.4	1.2	6672.6	6742.2	   108.0	     1.0	139.2	2311.4	627.3	0.000	0.0	0.0
OliveGIS	30set19	17:41:37	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_209_ESP.txt	-6.8750	37.8750	1	1461	12	31	1983	2645.1	0.4	7923.3	8134.1	   101.0	     1.0	97.4	2104.5	683.5	0.000	0.0	0.0
OliveGIS	30set19	17:41:41	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_210_ESP.txt	-6.8750	37.6250	1	1461	12	31	1983	2642.5	0.2	9787.7	10154.2	    94.0	     1.0	73.7	1804.1	695.3	0.000	0.0	0.0
OliveGIS	30set19	17:41:50	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_211_ESP.txt	-6.8750	37.3750	1	1461	12	31	1983	2652.3	0.0	9454.0	9833.5	    91.0	     1.0	63.3	1607.1	594.5	0.000	0.0	0.0
OliveGIS	30set19	17:41:57	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_209_ESP.txt	-6.6250	37.8750	1	1461	12	31	1983	2643.5	0.7	8162.5	8302.5	   104.0	     1.0	113.6	2191.8	693.5	0.000	0.0	0.0
OliveGIS	30set19	17:42:02	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_210_ESP.txt	-6.6250	37.6250	1	1461	12	31	1983	2648.3	0.3	9755.1	10093.8	    98.0	     1.0	82.5	1841.6	682.5	0.000	0.0	0.0
