Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83
OliveGIS	30set19	17:41:09	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	1	7670	12	30	2000	2630.3	0.0	7831.1	8123.8	    93.0	     1.0	62.2	2011.3	648.6	0.000	0.0	0.0
OliveGIS	30set19	17:41:15	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	1	7670	12	30	2000	2633.3	0.0	7669.8	7871.1	    92.0	     1.0	68.9	2009.0	647.9	0.000	0.0	0.0
OliveGIS	30set19	17:41:20	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.1250	37.8750	1	7670	12	30	2000	2621.5	0.1	7131.8	7363.4	   105.0	     1.0	81.6	2279.9	709.0	0.000	0.0	0.0
OliveGIS	30set19	17:41:25	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_210_ESP.txt	-7.1250	37.6250	1	7670	12	30	2000	2622.4	0.0	7567.9	7852.3	    96.0	     1.0	66.2	2041.9	720.4	0.000	0.0	0.0
OliveGIS	30set19	17:41:30	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_211_ESP.txt	-7.1250	37.3750	1	7670	12	30	2000	2623.3	0.0	7637.9	7872.7	    92.0	     1.0	73.0	1959.5	661.3	0.000	0.0	0.0
OliveGIS	30set19	17:41:35	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_208_ESP.txt	-6.8750	38.1250	1	7670	12	30	2000	2617.8	0.3	5632.9	5843.1	   112.0	     1.0	116.0	2317.1	722.7	0.000	0.0	0.0
OliveGIS	30set19	17:41:39	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_209_ESP.txt	-6.8750	37.8750	1	7670	12	30	2000	2632.0	0.1	7156.8	7407.4	   102.0	     1.0	83.8	2150.7	777.9	0.000	0.0	0.0
OliveGIS	30set19	17:41:48	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_210_ESP.txt	-6.8750	37.6250	1	7670	12	30	2000	2643.7	0.0	7750.3	8095.1	    91.0	     1.0	64.2	1856.8	792.3	0.000	0.0	0.0
OliveGIS	30set19	17:41:53	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_211_ESP.txt	-6.8750	37.3750	1	7670	12	30	2000	2626.3	0.0	7877.1	8194.2	    89.0	     1.0	65.8	1803.7	681.3	0.000	0.0	0.0
OliveGIS	30set19	17:42:00	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_209_ESP.txt	-6.6250	37.8750	1	7670	12	30	2000	2624.9	0.1	6500.8	6707.3	   109.0	     1.0	95.8	2254.5	797.1	0.000	0.0	0.0
OliveGIS	30set19	17:42:04	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_210_ESP.txt	-6.6250	37.6250	1	7670	12	30	2000	2627.4	0.0	7837.8	8194.5	    93.0	     1.0	70.1	1917.5	798.4	0.000	0.0	0.0
OliveGIS	30set19	17:42:09	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_211_ESP.txt	-6.6250	37.3750	1	7670	12	30	2000	2636.8	0.0	7839.2	8186.0	    90.0	     1.0	73.1	1747.8	689.8	0.000	0.0	0.0
OliveGIS	30set19	17:42:15	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_212_ESP.txt	-6.6250	37.1250	1	7670	12	30	2000	2641.4	0.0	10074.6	10469.4	    80.0	     1.0	23.0	1595.7	579.3	0.000	0.0	0.0
OliveGIS	30set19	17:42:19	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_209_ESP.txt	-6.3750	37.8750	1	7670	12	30	2000	2618.8	0.2	6289.8	6537.7	   110.0	     1.0	104.7	2160.0	654.0	0.000	0.0	0.0
OliveGIS	30set19	17:42:24	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_210_ESP.txt	-6.3750	37.6250	1	7670	12	30	2000	2624.0	0.1	7596.0	8008.2	    93.0	     1.0	74.7	1825.6	650.2	0.000	0.0	0.0
OliveGIS	30set19	17:42:29	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_211_ESP.txt	-6.3750	37.3750	1	7670	12	30	2000	2633.0	0.0	8249.8	8821.8	    86.0	     1.0	57.3	1491.0	606.6	0.000	0.0	0.0
OliveGIS	30set19	17:42:35	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_212_ESP.txt	-6.3750	37.1250	1	7670	12	30	2000	2631.8	0.0	11223.8	11900.7	    78.0	     1.0	21.9	1266.6	547.3	0.000	0.0	0.0
OliveGIS	30set19	17:42:41	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_213_ESP.txt	-6.3750	36.8750	1	7670	12	30	2000	2634.7	0.0	9251.8	9577.0	    87.0	     1.0	35.7	1716.1	624.2	0.000	0.0	0.0
OliveGIS	30set19	17:42:46	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_209_ESP.txt	-6.1250	37.8750	1	7670	12	30	2000	2616.6	0.3	6239.4	6491.6	   110.0	     1.0	111.6	2129.7	655.1	0.000	0.0	0.0
OliveGIS	30set19	17:42:50	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_210_ESP.txt	-6.1250	37.6250	1	7670	12	30	2000	2628.9	0.1	7558.7	7995.7	    93.0	     1.0	78.3	1766.8	624.7	0.000	0.0	0.0
OliveGIS	30set19	17:42:56	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_211_ESP.txt	-6.1250	37.3750	1	7670	12	30	2000	2643.7	0.0	8050.5	8673.4	    86.0	     1.0	67.4	1430.7	591.9	0.000	0.0	0.0
OliveGIS	30set19	17:43:02	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_212_ESP.txt	-6.1250	37.1250	1	7670	12	30	2000	2631.6	0.0	10521.2	11302.2	    79.0	     1.0	40.2	1229.3	569.2	0.000	0.0	0.0
OliveGIS	30set19	17:43:07	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_213_ESP.txt	-6.1250	36.8750	1	7670	12	30	2000	2635.4	0.0	8729.5	9159.9	    87.0	     1.0	64.4	1563.8	650.9	0.000	0.0	0.0
OliveGIS	30set19	17:43:12	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_214_ESP.txt	-6.1250	36.6250	1	7670	12	30	2000	2628.6	0.0	9098.7	9377.1	    87.0	     1.0	38.9	1783.8	614.2	0.000	0.0	0.0
OliveGIS	30set19	17:43:18	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_215_ESP.txt	-6.1250	36.3750	1	7670	12	30	2000	2633.6	0.0	9260.0	9711.3	    87.0	     1.0	50.5	1591.2	569.6	0.000	0.0	0.0
OliveGIS	30set19	17:43:23	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1417_208_ESP.txt	-5.8750	38.1250	1	7670	12	30	2000	2621.9	0.6	5827.6	6135.6	   122.0	     1.0	146.9	2213.9	550.8	0.000	0.0	0.0
OliveGIS	30set19	17:43:27	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1417_209_ESP.txt	-5.8750	37.8750	1	7670	12	30	2000	2630.5	0.2	7158.0	7494.8	   108.0	     1.0	106.1	2030.0	561.5	0.000	0.0	0.0
OliveGIS	30set19	17:43:32	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1417_210_ESP.txt	-5.8750	37.6250	1	7670	12	30	2000	2628.5	0.0	7625.4	8128.5	    92.0	     1.0	74.7	1691.1	521.8	0.000	0.0	0.0
OliveGIS	30set19	17:43:38	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1417_211_ESP.txt	-5.8750	37.3750	1	7670	12	30	2000	2644.0	0.0	8130.0	8777.8	    87.0	     1.0	61.3	1405.6	534.4	0.000	0.0	0.0
OliveGIS	30set19	17:43:43	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1417_212_ESP.txt	-5.8750	37.1250	1	7670	12	30	2000	2645.2	0.0	9431.5	10114.0	    82.0	     1.0	44.5	1349.2	505.6	0.000	0.0	0.0
OliveGIS	30set19	17:43:50	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1417_213_ESP.txt	-5.8750	36.8750	1	7670	12	30	2000	2641.9	0.0	8537.7	8916.9	    88.0	     1.0	54.6	1695.8	530.3	0.000	0.0	0.0
OliveGIS	30set19	17:43:55	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1417_214_ESP.txt	-5.8750	36.6250	1	7670	12	30	2000	2633.1	0.0	9347.2	9647.4	    86.0	     1.0	28.1	1854.6	620.7	0.000	0.0	0.0
OliveGIS	30set19	17:44:00	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1417_215_ESP.txt	-5.8750	36.3750	1	7670	12	30	2000	2646.7	0.0	9503.8	9738.5	    83.0	     1.0	19.2	1974.9	682.5	0.000	0.0	0.0
OliveGIS	30set19	17:44:05	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1418_208_ESP.txt	-5.6250	38.1250	1	7670	12	30	2000	2618.7	0.5	5868.6	6232.2	   118.0	     1.0	141.2	2102.1	567.8	0.000	0.0	0.0
OliveGIS	30set19	17:44:09	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1418_209_ESP.txt	-5.6250	37.8750	1	7670	12	30	2000	2631.4	0.2	7165.4	7560.5	   104.0	     1.0	101.4	1917.6	559.1	0.000	0.0	0.0
OliveGIS	30set19	17:44:15	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1418_210_ESP.txt	-5.6250	37.6250	1	7670	12	30	2000	2640.7	0.0	7480.2	7992.9	    91.0	     1.0	75.6	1630.2	517.8	0.000	0.0	0.0
OliveGIS	30set19	17:44:20	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1418_211_ESP.txt	-5.6250	37.3750	1	7670	12	30	2000	2639.1	0.0	7801.7	8372.0	    89.0	     1.0	69.2	1498.7	532.6	0.000	0.0	0.0
OliveGIS	30set19	17:44:25	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1418_212_ESP.txt	-5.6250	37.1250	1	7670	12	30	2000	2643.1	0.0	7892.1	8332.4	    89.0	     1.0	59.6	1659.6	519.1	0.000	0.0	0.0
OliveGIS	30set19	17:44:31	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1418_213_ESP.txt	-5.6250	36.8750	1	7670	12	30	2000	2620.1	0.0	7588.3	7777.9	    99.0	     1.0	73.3	2101.6	578.1	0.000	0.0	0.0
OliveGIS	30set19	17:44:36	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1418_214_ESP.txt	-5.6250	36.6250	1	7670	12	30	2000	2622.0	0.0	7953.3	8088.7	    93.0	     1.0	37.1	2198.5	670.9	0.000	0.0	0.0
OliveGIS	30set19	17:44:42	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1418_215_ESP.txt	-5.6250	36.3750	1	7670	12	30	2000	2634.0	0.0	8118.7	8248.9	    89.0	     1.0	23.5	2208.0	825.3	0.000	0.0	0.0
OliveGIS	30set19	17:44:49	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1418_216_ESP.txt	-5.6250	36.1250	1	7670	12	30	2000	2646.6	0.0	9763.2	9919.0	    83.0	     1.0	2.5	2172.3	604.7	0.000	0.0	0.0
OliveGIS	30set19	17:44:54	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1419_207_ESP.txt	-5.3750	38.3750	1	7670	12	30	2000	2616.8	1.2	6184.5	6598.5	   131.0	     1.0	182.4	2197.3	485.0	0.000	0.0	0.0
OliveGIS	30set19	17:44:59	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1419_208_ESP.txt	-5.3750	38.1250	1	7670	12	30	2000	2613.3	0.6	5773.0	6224.3	   121.0	     1.0	148.5	2056.8	527.3	0.000	0.0	0.0
