Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	30set19	19:10:01	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	1	8766	12	31	2003	2648.1	0.1	8042.7	8421.0	   106.0	     1.0	63.9	1689.2	653.2	0.000	0.0	0.0	17344.83	85970.48	35820.349	31245.01	4627.88	5716.66	64.59
OliveGIS	30set19	19:10:11	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	1	8766	12	31	2003	2650.3	0.0	7659.8	7867.9	   106.0	     1.0	64.0	1681.4	677.3	0.000	0.0	0.0	17724.87	88604.24	37870.151	28164.99	4899.33	5640.17	68.15
OliveGIS	30set19	19:10:19	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.1250	37.8750	1	8766	12	31	2003	2628.0	0.3	7007.9	7560.5	   115.0	     1.0	80.7	2015.4	700.7	0.000	0.0	0.0	19711.60	95262.88	40929.639	102776.58	4956.06	5666.19	71.13
OliveGIS	30set19	19:10:26	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_210_ESP.txt	-7.1250	37.6250	1	8766	12	31	2003	2650.0	0.1	8030.4	8461.5	   108.0	     1.0	68.6	1745.6	717.5	0.000	0.0	0.0	18781.06	93133.28	39631.111	40070.71	5116.33	6012.19	67.25
OliveGIS	30set19	19:10:34	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_211_ESP.txt	-7.1250	37.3750	1	8766	12	31	2003	2637.0	0.0	7784.2	8066.3	   107.0	     1.0	68.9	1679.0	696.0	0.000	0.0	0.0	16979.15	85216.54	36205.938	29079.74	4728.70	5606.78	66.33
OliveGIS	30set19	19:10:41	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_208_ESP.txt	-6.8750	38.1250	1	8766	12	31	2003	2623.6	1.3	6502.8	7124.8	   120.0	     1.0	107.4	2126.8	718.1	0.000	0.0	0.0	15519.66	74734.75	29848.140	86126.53	3676.68	4783.47	64.02
OliveGIS	30set19	19:10:48	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_209_ESP.txt	-6.8750	37.8750	1	8766	12	31	2003	2637.9	0.3	7751.5	8277.2	   110.0	     1.0	78.5	1910.7	835.0	0.000	0.0	0.0	18210.19	88329.15	37099.032	48424.28	4669.81	5738.99	65.83
OliveGIS	30set19	19:10:56	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_210_ESP.txt	-6.8750	37.6250	1	8766	12	31	2003	2644.3	0.1	7464.6	7808.4	   103.0	     1.0	63.7	1591.7	864.3	0.000	0.0	0.0	12471.31	62703.51	25365.566	13523.04	3429.58	4659.18	56.93
OliveGIS	30set19	19:11:07	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_211_ESP.txt	-6.8750	37.3750	1	8766	12	31	2003	2638.3	0.0	7744.2	8025.9	   103.0	     1.0	62.8	1571.2	763.5	0.000	0.0	0.0	13729.02	69812.51	28873.024	15809.54	3913.72	5034.06	59.99
OliveGIS	30set19	19:11:14	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_209_ESP.txt	-6.6250	37.8750	1	8766	12	31	2003	2634.4	0.5	7079.7	7587.3	   115.0	     1.0	88.8	2024.5	853.7	0.000	0.0	0.0	18667.39	91492.55	38785.028	84356.49	4695.58	5542.09	69.22
OliveGIS	30set19	19:11:22	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_210_ESP.txt	-6.6250	37.6250	1	8766	12	31	2003	2648.6	0.1	7579.0	7993.7	   106.0	     1.0	69.2	1678.6	851.9	0.000	0.0	0.0	14054.25	70060.77	28616.427	21470.15	3810.63	5031.95	59.83
OliveGIS	30set19	19:11:30	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_211_ESP.txt	-6.6250	37.3750	1	8766	12	31	2003	2636.7	0.2	7615.6	7972.0	   104.0	     1.0	70.1	1572.1	765.4	0.000	0.0	0.0	13520.10	69011.06	28696.318	11645.01	3920.37	5001.95	59.90
OliveGIS	30set19	19:11:38	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_212_ESP.txt	-6.6250	37.1250	1	8766	12	31	2003	2662.7	0.0	9625.5	9792.9	    92.0	     1.0	24.8	1339.2	664.0	0.000	0.0	0.0	16907.75	88980.85	36199.443	10693.66	5089.00	6280.02	61.32
OliveGIS	30set19	19:11:46	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_209_ESP.txt	-6.3750	37.8750	1	8766	12	31	2003	2632.9	0.8	6631.7	7142.4	   116.0	     1.0	96.5	1961.3	770.6	0.000	0.0	0.0	13486.84	66342.61	26900.299	54180.25	3472.94	4596.85	61.12
OliveGIS	30set19	19:11:54	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_210_ESP.txt	-6.3750	37.6250	1	8766	12	31	2003	2647.7	0.2	7516.4	7951.0	   106.0	     1.0	74.2	1614.0	754.5	0.000	0.0	0.0	8438.47	42505.19	17029.588	8042.44	2368.84	3688.56	44.04
OliveGIS	30set19	19:12:03	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_211_ESP.txt	-6.3750	37.3750	1	8766	12	31	2003	2640.4	0.0	8072.2	8510.1	    98.0	     1.0	54.6	1313.9	742.7	0.000	0.0	0.0	4870.01	24789.63	8328.555	2640.41	1462.46	2622.75	29.04
OliveGIS	30set19	19:12:12	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_212_ESP.txt	-6.3750	37.1250	1	8766	12	31	2003	2651.7	0.0	9884.4	10205.9	    88.0	     1.0	26.0	1048.1	697.7	0.000	0.0	0.0	6969.70	38579.24	13783.512	4659.39	2364.02	3842.41	35.75
OliveGIS	30set19	19:12:20	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_213_ESP.txt	-6.3750	36.8750	1	8766	12	31	2003	2658.4	0.0	9161.0	9367.0	    95.0	     1.0	31.6	1338.5	728.8	0.000	0.0	0.0	17519.39	93055.53	39896.248	12236.26	5541.18	6358.79	64.91
OliveGIS	30set19	19:12:28	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_209_ESP.txt	-6.1250	37.8750	1	8766	12	31	2003	2627.3	0.8	6857.4	7359.5	   116.0	     1.0	101.0	1924.6	757.3	0.000	0.0	0.0	13835.60	68818.32	28321.290	44941.13	3679.14	4764.48	61.58
OliveGIS	30set19	19:12:36	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_210_ESP.txt	-6.1250	37.6250	1	8766	12	31	2003	2636.3	0.3	7653.7	8097.6	   105.0	     1.0	76.3	1545.8	726.3	0.000	0.0	0.0	6677.88	34455.82	13738.087	4301.71	2001.55	3174.35	37.20
