Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	30set19	19:10:02	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	1	10227	12	31	2007	2644.4	0.2	8283.0	8599.9	   108.0	     1.0	54.4	2268.3	398.8	0.000	0.0	0.0	25955.61	135372.89	64180.694	17114.00	6966.00	6637.13	73.94
OliveGIS	30set19	19:10:13	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	1	10227	12	31	2007	2645.9	0.2	8536.9	8719.3	   108.0	     1.0	58.1	2250.0	384.7	0.000	0.0	0.0	25544.33	132620.19	61817.263	15534.20	6661.45	6597.04	72.42
OliveGIS	30set19	19:10:20	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.1250	37.8750	1	10227	12	31	2007	2645.5	0.3	9356.9	9699.7	   116.0	     1.0	69.6	2600.6	440.2	0.000	0.0	0.0	39389.04	207317.21	108314.479	35974.63	9852.72	8015.14	79.06
OliveGIS	30set19	19:10:27	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_210_ESP.txt	-7.1250	37.6250	1	10227	12	31	2007	2640.5	0.3	7744.1	8039.8	   111.0	     1.0	59.2	2342.9	430.2	0.000	0.0	0.0	25168.23	130941.93	63111.835	16913.73	6597.72	6259.74	74.63
OliveGIS	30set19	19:10:35	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_211_ESP.txt	-7.1250	37.3750	1	10227	12	31	2007	2636.2	0.3	8403.2	8616.7	   109.0	     1.0	62.8	2244.1	390.8	0.000	0.0	0.0	23448.87	123405.47	56704.010	13230.60	6284.52	6334.72	70.46
OliveGIS	30set19	19:10:42	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_208_ESP.txt	-6.8750	38.1250	1	10227	12	31	2007	2628.4	0.8	7717.3	7990.9	   122.0	     1.0	105.6	2626.3	493.1	0.000	0.0	0.0	34186.54	177658.51	89786.039	33691.32	7818.16	6559.79	78.65
OliveGIS	30set19	19:10:49	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_209_ESP.txt	-6.8750	37.8750	1	10227	12	31	2007	2649.1	0.3	7776.4	8041.9	   113.0	     1.0	69.1	2435.6	565.3	0.000	0.0	0.0	26522.05	140678.61	67535.755	18473.40	6732.49	6262.01	74.31
OliveGIS	30set19	19:10:57	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_210_ESP.txt	-6.8750	37.6250	1	10227	12	31	2007	2646.9	0.2	8609.1	8931.5	   106.0	     1.0	55.0	2108.4	569.0	0.000	0.0	0.0	21268.04	108059.04	43871.956	10972.09	5409.98	6256.20	67.10
OliveGIS	30set19	19:11:08	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_211_ESP.txt	-6.8750	37.3750	1	10227	12	31	2007	2645.3	0.2	8866.9	9129.1	   106.0	     1.0	55.4	2053.9	454.6	0.000	0.0	0.0	21853.22	110417.98	45303.102	11293.45	5553.47	6440.69	67.63
OliveGIS	30set19	19:11:15	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_209_ESP.txt	-6.6250	37.8750	1	10227	12	31	2007	2645.4	0.4	8338.0	8605.2	   117.0	     1.0	81.1	2583.7	580.4	0.000	0.0	0.0	32132.55	168138.94	83152.806	25542.18	7851.88	6897.80	76.72
OliveGIS	30set19	19:11:23	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_210_ESP.txt	-6.6250	37.6250	1	10227	12	31	2007	2643.5	0.3	8082.2	8398.2	   109.0	     1.0	60.7	2205.3	567.4	0.000	0.0	0.0	19887.10	102460.08	42236.743	10052.59	5122.11	5850.46	66.72
OliveGIS	30set19	19:11:32	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_211_ESP.txt	-6.6250	37.3750	1	10227	12	31	2007	2653.6	0.3	8473.8	8769.5	   108.0	     1.0	62.4	2069.1	465.2	0.000	0.0	0.0	20109.46	102337.29	41423.050	10014.13	5153.75	6090.33	66.28
OliveGIS	30set19	19:11:39	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_212_ESP.txt	-6.6250	37.1250	1	10227	12	31	2007	2671.9	0.0	8523.5	8693.0	    93.0	     1.0	19.1	1841.8	402.2	0.000	0.0	0.0	27877.91	133922.57	61036.673	18945.69	7299.71	7024.73	77.11
OliveGIS	30set19	19:11:47	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_209_ESP.txt	-6.3750	37.8750	1	10227	12	31	2007	2645.1	0.6	9330.7	9657.6	   116.0	     1.0	93.6	2426.6	486.8	0.000	0.0	0.0	26953.62	140230.79	60719.298	14773.40	6377.13	6899.44	68.33
OliveGIS	30set19	19:11:55	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_210_ESP.txt	-6.3750	37.6250	1	10227	12	31	2007	2649.4	0.4	7948.2	8302.1	   108.0	     1.0	69.2	2044.6	466.7	0.000	0.0	0.0	15420.78	77800.73	28946.541	6740.92	3888.47	5185.34	59.67
OliveGIS	30set19	19:12:04	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_211_ESP.txt	-6.3750	37.3750	1	10227	12	31	2007	2664.1	0.2	8326.7	8781.9	   102.0	     1.0	46.9	1724.3	433.2	0.000	0.0	0.0	13522.34	68993.95	27201.815	7028.13	3947.35	5288.54	57.50
OliveGIS	30set19	19:12:13	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_212_ESP.txt	-6.3750	37.1250	1	10227	12	31	2007	2673.6	0.0	9264.7	9579.7	    88.0	     1.0	19.0	1422.3	406.0	0.000	0.0	0.0	21800.27	107413.75	45163.323	13221.67	6082.64	6891.89	68.94
OliveGIS	30set19	19:12:22	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_213_ESP.txt	-6.3750	36.8750	1	10227	12	31	2007	2662.2	0.0	8311.8	8504.9	    97.0	     1.0	26.8	1829.3	430.0	0.000	0.0	0.0	25002.06	121574.81	54233.263	16294.74	6666.77	6704.97	75.32
OliveGIS	30set19	19:12:29	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_209_ESP.txt	-6.1250	37.8750	1	10227	12	31	2007	2646.2	0.6	8696.0	9000.7	   117.0	     1.0	98.5	2414.7	481.8	0.000	0.0	0.0	23894.27	122658.64	50947.421	12037.29	5451.86	6241.34	66.37
OliveGIS	30set19	19:12:37	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_210_ESP.txt	-6.1250	37.6250	1	10227	12	31	2007	2642.2	0.4	8044.1	8416.8	   108.0	     1.0	71.0	2010.8	459.1	0.000	0.0	0.0	13877.42	69934.47	25092.990	5784.85	3494.84	4927.64	56.11
OliveGIS	30set19	19:12:46	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_211_ESP.txt	-6.1250	37.3750	1	10227	12	31	2007	2657.2	0.3	8501.2	9027.3	   103.0	     1.0	55.7	1663.6	420.4	0.000	0.0	0.0	12361.75	64054.97	24839.842	6430.78	3720.22	5114.24	54.27
OliveGIS	30set19	19:12:55	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_212_ESP.txt	-6.1250	37.1250	1	10227	12	31	2007	2667.1	0.1	8520.5	8917.1	    90.0	     1.0	33.5	1419.8	413.0	0.000	0.0	0.0	16154.57	81783.89	33363.016	9317.35	4669.93	5825.06	62.57
