Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	30set19	19:10:01	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.3750	37.6250	1	9131	12	30	2004	2657.7	0.0	8363.3	9027.2	   110.0	     1.0	49.5	1992.2	393.0	0.000	0.0	0.0	17445.56	87819.72	33244.714	8278.71	4269.66	5563.62	59.12
OliveGIS	30set19	19:10:12	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.3750	37.3750	1	9131	12	30	2004	2671.9	0.0	8365.5	8952.6	   110.0	     1.0	49.5	2024.4	380.7	0.000	0.0	0.0	18674.72	93731.15	36348.571	8452.66	4597.22	5786.81	61.58
OliveGIS	30set19	19:10:19	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.1250	37.8750	1	9131	12	30	2004	2643.0	0.1	6753.1	7156.1	   117.0	     1.0	65.7	2275.6	430.5	0.000	0.0	0.0	18731.86	90226.03	36664.527	12429.15	4325.87	5098.30	68.25
OliveGIS	30set19	19:10:26	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_210_ESP.txt	-7.1250	37.6250	1	9131	12	30	2004	2656.4	0.0	7750.5	8360.3	   113.0	     1.0	53.7	2054.4	429.6	0.000	0.0	0.0	16729.96	83854.74	32574.312	8046.72	4133.61	5273.44	60.35
OliveGIS	30set19	19:10:34	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_211_ESP.txt	-7.1250	37.3750	1	9131	12	30	2004	2657.7	0.0	8004.0	8612.8	   111.0	     1.0	53.1	2021.5	389.8	0.000	0.0	0.0	18066.55	91621.07	36202.876	8584.76	4587.39	5640.66	62.66
OliveGIS	30set19	19:10:41	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_208_ESP.txt	-6.8750	38.1250	1	9131	12	30	2004	2648.6	0.3	6618.1	7033.7	   126.0	     1.0	95.8	2363.1	492.5	0.000	0.0	0.0	18049.29	85801.33	34349.699	11786.90	4107.29	4967.69	67.45
OliveGIS	30set19	19:10:49	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_209_ESP.txt	-6.8750	37.8750	1	9131	12	30	2004	2649.0	0.1	7106.1	7574.1	   116.0	     1.0	67.8	2196.9	559.0	0.000	0.0	0.0	17404.62	84498.96	33630.747	9681.02	4072.56	5094.94	64.45
OliveGIS	30set19	19:10:56	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_210_ESP.txt	-6.8750	37.6250	1	9131	12	30	2004	2675.4	0.0	8501.6	9251.1	   108.0	     1.0	51.5	1932.0	569.8	0.000	0.0	0.0	15063.57	76488.68	27842.726	5665.26	3750.91	5238.84	53.93
OliveGIS	30set19	19:11:07	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_211_ESP.txt	-6.8750	37.3750	1	9131	12	30	2004	2657.4	0.0	8437.3	9155.7	   107.0	     1.0	47.7	1886.5	431.7	0.000	0.0	0.0	14828.64	75697.10	27972.214	5803.45	3872.24	5289.22	55.33
OliveGIS	30set19	19:11:15	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_209_ESP.txt	-6.6250	37.8750	1	9131	12	30	2004	2651.2	0.2	6535.1	6933.3	   119.0	     1.0	79.0	2316.8	567.9	0.000	0.0	0.0	17110.12	81177.61	31841.168	11095.36	3890.16	4827.24	66.63
OliveGIS	30set19	19:11:22	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_210_ESP.txt	-6.6250	37.6250	1	9131	12	30	2004	2663.1	0.0	7862.1	8547.9	   111.0	     1.0	56.6	2008.7	565.7	0.000	0.0	0.0	15084.13	76884.43	29456.571	6669.01	3852.95	5127.27	57.21
OliveGIS	30set19	19:11:31	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_211_ESP.txt	-6.6250	37.3750	1	9131	12	30	2004	2667.5	0.0	8096.9	8834.0	   109.0	     1.0	53.9	1882.2	447.4	0.000	0.0	0.0	13811.58	71285.40	26875.517	5516.51	3681.46	5043.22	54.41
OliveGIS	30set19	19:11:39	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_212_ESP.txt	-6.6250	37.1250	1	9131	12	30	2004	2684.0	0.0	9558.9	10234.5	    96.0	     1.0	14.0	1691.6	371.5	0.000	0.0	0.0	23215.86	121783.46	51439.986	14672.96	6744.67	7276.08	67.90
OliveGIS	30set19	19:11:46	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_209_ESP.txt	-6.3750	37.8750	1	9131	12	30	2004	2644.0	0.3	6533.4	6979.2	   123.0	     1.0	91.1	2281.2	467.6	0.000	0.0	0.0	15601.51	74714.45	28945.897	8508.96	3607.12	4663.97	64.17
OliveGIS	30set19	19:11:54	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_210_ESP.txt	-6.3750	37.6250	1	9131	12	30	2004	2648.6	0.1	7459.7	8169.2	   113.0	     1.0	64.4	1982.5	456.1	0.000	0.0	0.0	12648.30	65516.53	24519.236	4891.50	3344.00	4583.36	53.67
OliveGIS	30set19	19:12:03	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_211_ESP.txt	-6.3750	37.3750	1	9131	12	30	2004	2668.5	0.0	8940.5	10068.7	   103.0	     1.0	40.9	1675.1	398.0	0.000	0.0	0.0	10188.87	51640.16	14686.675	3689.86	2577.65	4451.73	42.26
OliveGIS	30set19	19:12:12	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_212_ESP.txt	-6.3750	37.1250	1	9131	12	30	2004	2686.5	0.0	10152.9	11171.7	    93.0	     1.0	15.3	1434.6	358.0	0.000	0.0	0.0	16675.28	86094.85	34399.552	9964.49	4906.10	6646.06	56.81
OliveGIS	30set19	19:12:21	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_213_ESP.txt	-6.3750	36.8750	1	9131	12	30	2004	2675.3	0.0	8842.6	9594.7	    98.0	     1.0	17.1	1585.9	336.7	0.000	0.0	0.0	19080.10	101844.35	42428.597	12058.06	5766.06	6533.15	65.02
