Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83
OliveGIS	30set19	17:41:06	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.375	37.625	1	731	12	31	Avg	2640.58	0.166666666666667	7941.11	8310.45333333333	103.833333333333	30	61.0233333333333	2015.87333333333	558.97	0	0	0
OliveGIS	30set19	17:41:12	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.375	37.375	1	731	12	31	Avg	2642.45	0.12	8484.11333333333	8766.93	102.666666666667	30	59.2066666666667	1960.44666666667	546.6	0	0	0
OliveGIS	30set19	17:41:17	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.125	37.875	1	731	12	31	Avg	2629.29666666667	0.316666666666667	7290.90333333333	7631.9	112.333333333333	30	82.0266666666667	2293.37	600.816666666667	0	0	0
OliveGIS	30set19	17:41:21	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_210_ESP.txt	-7.125	37.625	1	731	12	31	Avg	2638.52333333333	0.19	7702	8063.56	106.233333333333	30	66.5966666666667	2058.25666666667	611.79	0	0	0
OliveGIS	30set19	17:41:28	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_211_ESP.txt	-7.125	37.375	1	731	12	31	Avg	2641.22666666667	0.16	8432.57666666667	8749.71	103.533333333333	30	64.43	1932.63666666667	556.15	0	0	0
OliveGIS	30set19	17:41:32	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_208_ESP.txt	-6.875	38.125	1	731	12	31	Avg	2623.97333333333	0.876666666666667	7143.81666666667	7503.16	118.1	30	117.34	2360.55333333333	640.58	0	0	0
OliveGIS	30set19	17:41:37	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_209_ESP.txt	-6.875	37.875	1	731	12	31	Avg	2633.45666666667	0.296666666666667	7483.23666666667	7853.57666666667	109.033333333333	30	81.0966666666667	2159.75	698.216666666667	0	0	0
OliveGIS	30set19	17:41:41	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_210_ESP.txt	-6.875	37.625	1	731	12	31	Avg	2643.67333333333	0.153333333333333	8299.56	8737.59	101.4	30	62.3333333333333	1858.30333333333	721.176666666667	0	0	0
OliveGIS	30set19	17:41:50	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_211_ESP.txt	-6.875	37.375	1	731	12	31	Avg	2646.01	0.136666666666667	8765.38666666667	9168.35333333333	100.033333333333	30	57.0866666666667	1738.65	600.403333333333	0	0	0
OliveGIS	30set19	17:41:57	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_209_ESP.txt	-6.625	37.875	1	731	12	31	Avg	2631.08	0.433333333333333	7435.33666666667	7777.86666666667	113.433333333333	30	94.15	2269.45333333333	722.353333333333	0	0	0
