Model	Date	Time	WxFile	Long	Lat	JdStart	DysToOut	Month	Day	Year	dd	ddbZero	FruWgt	fruNum	Bloomday	BloomYr	DDBSum	ChillHD	PrcpYrSum	TempIncr	ddbMinus10	ddbMinus83	OFEgDays	OFLrDays	OFPuDays	OFAdDays	OfPupSum	DamFrSum	PrcntAtkd
OliveGIS	30set19	19:09:54	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_210_ESP.txt	-7.375	37.625	1	731	12	31	Avg	2640.58	0.166666666666667	7903.54	8270.27333333333	103.833333333333	30	61.0233333333333	2015.87333333333	558.97	0	0	0	21821.5783333333	109549.897333333	48705.2824333333	19952.112	5662.209	5984.67266666667	69.801
OliveGIS	30set19	19:10:03	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1411_211_ESP.txt	-7.375	37.375	1	731	12	31	Avg	2642.45	0.12	8444.05	8724.52	102.666666666667	30	59.2066666666667	1960.44666666667	546.6	0	0	0	23994.8143333333	120012.035666667	53736.6049	20580.4576666667	6258.70633333333	6499.32433333333	71.0623333333333
OliveGIS	30set19	19:10:14	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_209_ESP.txt	-7.125	37.875	1	731	12	31	Avg	2629.29666666667	0.316666666666667	7231.26	7568.38	112.333333333333	30	82.0266666666667	2293.37	600.816666666667	0	0	0	26021.777	133615.055	67995.8602	39041.6826666667	6425.99733333333	5918.28633333333	75.018
OliveGIS	30set19	19:10:21	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_210_ESP.txt	-7.125	37.625	1	731	12	31	Avg	2638.52333333333	0.19	7661.88666666667	8020.64333333333	106.233333333333	30	66.5966666666667	2058.25666666667	611.79	0	0	0	21705.44	109605.823333333	49682.1265	21202.9183333333	5650.202	5867.98866666667	70.432
OliveGIS	30set19	19:10:28	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1412_211_ESP.txt	-7.125	37.375	1	731	12	31	Avg	2641.22666666667	0.16	8393.95333333333	8708.63333333333	103.533333333333	30	64.43	1932.63666666667	556.15	0	0	0	22979.9376666667	115617.026333333	51452.3465666667	19881.8026666667	6095.671	6408.54233333333	70.236
OliveGIS	30set19	19:10:36	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_208_ESP.txt	-6.875	38.125	1	731	12	31	Avg	2623.97333333333	0.876666666666667	7089.39666666667	7444.96	118.1	30	117.34	2360.55333333333	640.58	0	0	0	24634.5756666667	128305.007	67646.9732	36260.2196666667	5841.77766666667	5615.698	72.013
OliveGIS	30set19	19:10:43	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_209_ESP.txt	-6.875	37.875	1	731	12	31	Avg	2633.45666666667	0.296666666666667	7441.07	7808.4	109.033333333333	30	81.0966666666667	2159.75	698.216666666667	0	0	0	21479.5933333333	108309.445	49142.3130333333	23364.0556666667	5364.93133333333	5645.71533333333	69.828
OliveGIS	30set19	19:10:51	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_210_ESP.txt	-6.875	37.625	1	731	12	31	Avg	2643.67333333333	0.153333333333333	8269.78333333333	8705.42	101.4	30	62.3333333333333	1858.30333333333	721.176666666667	0	0	0	18705.619	93759.7226666667	39034.4494	13223.7816666667	4980.46966666667	5840.34733333333	64.5496666666667
OliveGIS	30set19	19:10:59	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1413_211_ESP.txt	-6.875	37.375	1	731	12	31	Avg	2646.01	0.136666666666667	8735.15666666667	9135.93	100.033333333333	30	57.0866666666667	1738.65	600.403333333333	0	0	0	19730.2483333333	99512.8373333333	42270.2444	13669.6443333333	5492.57466666667	6276.93333333333	65.5103333333333
OliveGIS	30set19	19:11:09	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_209_ESP.txt	-6.625	37.875	1	731	12	31	Avg	2631.08	0.433333333333333	7383.51	7722.55333333333	113.433333333333	30	94.15	2269.45333333333	722.353333333333	0	0	0	24081.1713333333	123353.149666667	59758.3545	32960.845	5903.74366666667	5811.16766666667	72.066
OliveGIS	30set19	19:11:17	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_210_ESP.txt	-6.625	37.625	1	731	12	31	Avg	2640.23666666667	0.193333333333333	8029.15333333333	8458.16666666667	103.966666666667	30	69.0133333333333	1922.06	717.23	0	0	0	18802.4533333333	94704.0646666667	40098.9212666667	14579.5346666667	5007.365	5742.11966666667	65.3953333333333
OliveGIS	30set19	19:11:25	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_211_ESP.txt	-6.625	37.375	1	731	12	31	Avg	2645.90666666667	0.216666666666667	8574.71333333333	9021.58333333333	101.4	30	64.8733333333333	1716.90666666667	603.67	0	0	0	18421.3206666667	93656.5816666667	39482.3569	12393.4753333333	5209.16133333333	6073.724	64.194
OliveGIS	30set19	19:11:33	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1414_212_ESP.txt	-6.625	37.125	1	731	12	31	Avg	2660.66	0.0133333333333333	9684.89	10021.25	90.2	30	19.66	1546.53333333333	523.42	0	0	0	28300.674	141189.059	65805.6305666667	21783.9736666667	8041.95866666667	7749.60233333333	73.9373333333333
OliveGIS	30set19	19:11:41	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_209_ESP.txt	-6.375	37.875	1	731	12	31	Avg	2629.21666666667	0.62	7494.84666666667	7871.20333333333	114.633333333333	30	106.81	2210.96666666667	632.77	0	0	0	20918.5323333333	105874.9	47277.2045666667	23011.207	5105.174	5575.096	67.6963333333333
OliveGIS	30set19	19:11:48	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_210_ESP.txt	-6.375	37.625	1	731	12	31	Avg	2639.80333333333	0.29	7874.00666666667	8343.46666666667	104.4	30	77.8766666666667	1868.09	613.703333333333	0	0	0	14827.0033333333	74817.4913333333	30014.6630666667	9318.44633333333	4025.74866666667	5116.18566666667	59.2823333333333
OliveGIS	30set19	19:11:57	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_211_ESP.txt	-6.375	37.375	1	731	12	31	Avg	2648.85666666667	0.0966666666666667	8864.97333333333	9524.35333333333	96.8666666666667	30	52.6266666666667	1474.07333333333	572.163333333333	0	0	0	14137.3443333333	73847.3553333333	30124.2545333333	8658.34266666667	4346.88733333333	5562.74366666667	55.5593333333333
OliveGIS	30set19	19:12:05	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_212_ESP.txt	-6.375	37.125	1	731	12	31	Avg	2661.10666666667	0.0166666666666667	9846.10666666667	10377.71	87.7666666666667	30	21.35	1265.76	533.113333333333	0	0	0	20585.092	105407.570666667	45828.0183333333	14137.2116666667	6235.92433333333	7021.69	64.692
OliveGIS	30set19	19:12:14	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1415_213_ESP.txt	-6.375	36.875	1	731	12	31	Avg	2654.87666666667	0.03	9610.91333333333	9965.51666666667	93.8666666666667	30	26.6833333333333	1544.44333333333	561.066666666667	0	0	0	26927.5463333333	135734.935333333	63404.6008666667	20732.134	7846.38066666667	7640.97233333333	73.1616666666667
OliveGIS	30set19	19:12:23	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_209_ESP.txt	-6.125	37.875	1	731	12	31	Avg	2627.72666666667	0.696666666666667	7486.75	7864.47	114.8	30	112.693333333333	2175.42666666667	622.006666666667	0	0	0	19937.1706666667	100701.505333333	44173.8092666667	21058.3596666667	4893.458	5482.44466666667	66.6963333333333
OliveGIS	30set19	19:12:30	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_210_ESP.txt	-6.125	37.625	1	731	12	31	Avg	2639.10333333333	0.326666666666667	7936.04	8429.96666666667	104.1	30	81.1666666666667	1817.61	591.106666666667	0	0	0	14022.7863333333	71146.2996666667	28359.3679666667	8491.13466666667	3880.325	5019.07433333333	57.624
OliveGIS	30set19	19:12:38	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_211_ESP.txt	-6.125	37.375	1	731	12	31	Avg	2648.52333333333	0.186666666666667	8627.06	9341.31	97.2666666666667	30	62.6633333333333	1415.4	551.066666666667	0	0	0	12250.2873333333	64781.4916666667	26017.8745333333	7266.146	3845.697	5128.773	52.5393333333333
OliveGIS	30set19	19:12:47	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_212_ESP.txt	-6.125	37.125	1	731	12	31	Avg	2658.76	0.0733333333333333	9271.30333333333	9998.21666666667	90.3	30	38.57	1232.97666666667	539.066666666667	0	0	0	15475.4416666667	81333.7226666667	33891.8692666667	9947.74733333333	4873.185	6048.91733333333	57.8323333333333
OliveGIS	30set19	19:12:57	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_213_ESP.txt	-6.125	36.875	1	731	12	31	Avg	2648.47666666667	0.223333333333333	9405.71333333333	9913.80666666667	96.5	30	52.72	1434.41	574.446666666667	0	0	0	18411.9216666667	95183.118	40612.4444	11905.0396666667	5549.66033333333	6492.309	62.4993333333333
OliveGIS	30set19	19:13:06	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_214_ESP.txt	-6.125	36.625	1	731	12	31	Avg	2651.39666666667	0.08	9413.17333333333	9701.40666666667	95.1666666666667	30	31.5666666666667	1693.50666666667	550.12	0	0	0	26974.4373333333	134637.057666667	62409.3084	20959.3443333333	7587.30833333333	7456.59233333333	73.3023333333333
OliveGIS	30set19	19:13:14	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1416_215_ESP.txt	-6.125	36.375	1	731	12	31	Avg	2644.89	0.1	9053.96666666667	9518.8	98.3333333333333	30	48.4866666666667	1508.42	508.576666666667	0	0	0	15794.2336666667	81751.0946666667	34004.6866	9800.23933333333	4774.75533333333	5907.75566666667	59.4743333333333
OliveGIS	30set19	19:13:24	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1417_208_ESP.txt	-5.875	38.125	1	731	12	31	Avg	2621.34333333333	1.61666666666667	6964.64333333333	7397.21	123.066666666667	30	153.863333333333	2240.38	543.993333333333	0	0	0	19223.7193333333	100191.21	47880.4825666667	21905.918	4526.019	5053.78133333333	65.4416666666667
OliveGIS	30set19	19:13:31	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1417_209_ESP.txt	-5.875	37.875	1	731	12	31	Avg	2629.54	0.706666666666667	7700.02333333333	8161.77	112.966666666667	30	113.006666666667	2060.98	577.58	0	0	0	15981.274	80248.1903333333	32606.8509333333	12852.622	4036.043	5086.79033333333	59.852
OliveGIS	30set19	19:13:38	D:\wx_medgold\wx_agmerra_andalusia\agmerra_1417_210_ESP.txt	-5.875	37.625	1	731	12	31	Avg	2641.72666666667	0.346666666666667	8070.40333333333	8641.72333333333	102.833333333333	30	82.8066666666667	1725.71	531.9	0	0	0	12285.2323333333	62856.7303333333	24483.9154666667	6815.40466666667	3495.17566666667	4793.70633333333	53.7416666666667
