agmerra_1416_215_ESP.txt
-6.125	36.375
MO	DA	YEAR	TMAX	TMIN	SOL	PRCP	RH	WIND
01	01	1980	14.7	7.2	76.4	0.0	73.9	3.5
01	02	1980	14.7	6.1	72.9	0.0	60.7	3.4
01	03	1980	17.0	4.2	122.7	0.0	56.7	2.8
01	04	1980	15.5	7.7	96.1	0.0	61.5	1.3
01	05	1980	15.8	5.1	123.8	0.0	49.9	1.9
01	06	1980	16.4	6.1	121.5	0.0	54.2	1.8
01	07	1980	16.5	6.1	105.3	0.0	49.3	1.3
01	08	1980	16.6	7.6	130.8	0.0	44.8	1.6
01	09	1980	14.6	5.4	112.3	0.0	53.6	3.2
01	10	1980	13.6	4.8	123.8	0.0	48.2	3.7
01	11	1980	14.8	2.0	131.9	0.0	40.1	3.6
01	12	1980	12.3	2.0	89.1	5.0	54.1	3.9
01	13	1980	7.2	0.9	38.2	15.9	74.6	4.5
01	14	1980	11.1	1.3	66.0	6.5	76.3	1.4
01	15	1980	12.0	6.1	113.4	2.9	68.4	3.4
01	16	1980	11.5	6.5	35.9	28.9	80.9	5.5
01	17	1980	11.3	4.2	133.1	6.3	67.3	3.9
01	18	1980	12.1	5.3	143.5	0.0	50.3	3.6
01	19	1980	13.0	5.8	123.8	0.6	61.4	2.8
01	20	1980	13.8	7.9	107.6	0.8	68.9	2.9
01	21	1980	14.3	6.4	130.8	0.0	59.5	1.1
01	22	1980	15.0	8.9	137.7	0.0	59.2	1.2
01	23	1980	15.8	6.5	85.6	0.0	56.6	2.9
01	24	1980	17.8	9.1	148.1	0.0	52.4	2.9
01	25	1980	18.8	7.3	133.1	0.0	46.9	4.1
01	26	1980	17.3	8.1	74.1	0.0	57.1	5.1
01	27	1980	14.3	9.1	39.4	0.0	80.6	5.0
01	28	1980	16.2	8.0	135.4	0.0	65.3	4.2
01	29	1980	16.2	7.5	81.0	0.0	66.7	2.7
01	30	1980	16.3	7.8	98.4	0.0	64.8	1.2
01	31	1980	16.5	8.6	97.2	0.0	76.4	2.5
02	01	1980	16.4	4.4	162.0	0.0	46.2	2.4
02	02	1980	16.5	7.1	160.9	0.0	37.8	1.6
02	03	1980	17.9	4.6	163.2	0.0	46.6	2.8
02	04	1980	19.4	6.4	156.2	0.0	51.1	1.9
02	05	1980	18.6	7.9	156.2	0.0	51.2	1.6
02	06	1980	17.7	8.6	166.7	0.0	54.4	2.9
02	07	1980	18.1	5.8	150.5	0.0	48.8	1.1
02	08	1980	17.4	7.5	153.9	0.0	53.1	2.3
02	09	1980	17.3	7.6	107.6	0.0	55.4	0.4
02	10	1980	16.1	3.7	177.1	0.0	38.9	3.1
02	11	1980	17.4	4.7	173.6	0.0	47.9	3.2
02	12	1980	17.5	7.0	175.9	0.0	52.5	3.5
02	13	1980	16.7	8.2	129.6	0.0	56.7	0.7
02	14	1980	17.0	8.3	128.5	0.0	57.4	1.3
02	15	1980	18.3	9.9	164.4	0.0	56.7	2.1
02	16	1980	19.3	9.4	110.0	1.1	59.9	2.2
02	17	1980	18.6	8.8	151.6	0.0	62.7	2.9
02	18	1980	17.0	8.0	82.2	0.0	63.4	4.7
02	19	1980	15.3	8.9	112.3	21.0	76.5	3.9
02	20	1980	14.1	6.0	125.0	1.9	68.7	1.9
02	21	1980	15.8	7.8	143.5	0.0	51.3	2.1
02	22	1980	14.4	8.7	60.2	2.5	77.4	2.5
02	23	1980	16.2	8.8	112.3	0.8	73.3	5.3
02	24	1980	18.3	8.3	145.8	0.0	54.7	3.5
02	25	1980	17.5	9.4	184.0	0.0	62.8	0.7
02	26	1980	15.2	5.2	217.6	0.0	49.4	4.5
02	27	1980	15.6	3.8	224.5	0.0	41.0	2.1
02	28	1980	15.0	6.4	187.5	4.9	64.8	6.0
02	29	1980	16.2	8.2	192.1	8.2	60.1	5.4
03	01	1980	18.8	9.6	187.5	4.5	60.4	2.3
03	02	1980	17.2	9.7	113.4	1.2	73.0	1.6
03	03	1980	18.3	8.4	172.5	0.0	55.1	1.1
03	04	1980	18.4	9.0	177.1	1.4	47.9	2.5
03	05	1980	18.4	6.9	214.1	0.0	47.9	4.1
03	06	1980	17.3	7.3	167.8	0.0	63.9	4.2
03	07	1980	18.3	8.9	192.1	0.0	59.0	4.6
03	08	1980	18.0	6.0	232.6	0.0	42.3	4.0
03	09	1980	20.7	6.1	235.0	0.0	36.6	3.6
03	10	1980	21.3	8.5	236.1	0.0	34.2	3.8
03	11	1980	20.9	8.7	233.8	0.0	41.1	2.5
03	12	1980	23.1	6.6	241.9	0.0	27.2	3.3
03	13	1980	20.3	8.4	236.1	0.0	40.1	3.0
03	14	1980	17.4	5.6	243.1	0.0	42.5	4.4
03	15	1980	17.3	7.1	209.5	1.7	61.6	3.0
03	16	1980	15.6	7.5	83.3	0.0	49.6	6.1
03	17	1980	14.2	8.7	68.3	15.7	82.8	5.3
03	18	1980	18.0	9.6	192.1	11.5	65.8	3.2
03	19	1980	16.1	8.9	233.8	3.0	67.8	4.9
03	20	1980	16.0	8.8	141.2	8.8	73.8	5.0
03	21	1980	16.4	9.4	129.6	9.7	88.6	6.6
03	22	1980	15.2	8.7	192.1	1.6	63.4	4.5
03	23	1980	16.0	9.0	170.1	0.0	56.7	1.7
03	24	1980	19.0	8.2	179.4	1.8	45.1	1.3
03	25	1980	17.1	8.7	228.0	0.0	61.0	3.6
03	26	1980	20.3	11.2	274.3	0.0	47.3	1.8
03	27	1980	20.6	11.6	266.2	0.0	57.5	2.7
03	28	1980	21.9	12.1	188.7	0.0	64.4	2.6
03	29	1980	21.6	11.4	226.9	0.0	59.2	3.2
03	30	1980	26.2	11.0	290.5	0.0	42.3	1.7
03	31	1980	26.1	11.1	295.1	0.0	42.8	4.3
04	01	1980	28.3	12.9	275.5	0.0	43.1	1.1
04	02	1980	30.2	13.2	281.2	0.0	32.4	1.9
04	03	1980	25.8	13.3	261.6	0.0	44.2	4.5
04	04	1980	22.2	11.5	273.1	0.0	49.6	5.8
04	05	1980	24.9	10.6	285.9	0.0	35.0	3.1
04	06	1980	20.9	10.5	285.9	0.0	43.1	4.9
04	07	1980	22.3	10.0	290.5	0.0	42.8	3.7
04	08	1980	21.4	10.8	304.4	0.0	37.7	5.7
04	09	1980	24.3	10.5	265.0	0.0	32.0	3.9
04	10	1980	20.5	11.1	269.7	0.0	48.7	6.5
04	11	1980	20.3	10.6	200.2	0.0	48.7	5.0
04	12	1980	20.8	10.4	184.0	0.0	51.4	4.1
04	13	1980	20.2	11.7	173.6	2.3	59.7	5.0
04	14	1980	17.5	9.3	98.4	1.5	80.5	1.1
04	15	1980	19.1	7.7	321.8	1.2	43.9	4.2
04	16	1980	21.2	8.3	297.5	0.7	35.8	2.5
04	17	1980	22.4	11.6	316.0	0.0	40.7	1.0
04	18	1980	22.3	11.1	289.4	0.0	45.7	2.3
04	19	1980	24.1	11.0	322.9	0.0	34.5	2.2
04	20	1980	25.2	13.0	302.1	0.0	38.1	1.6
04	21	1980	23.7	11.7	322.9	0.0	46.0	3.1
04	22	1980	23.7	11.6	321.8	0.0	42.1	3.0
04	23	1980	24.9	11.2	319.4	0.0	41.6	1.0
04	24	1980	24.0	12.2	321.8	0.0	44.7	2.5
04	25	1980	19.0	11.6	90.3	1.8	58.9	4.6
04	26	1980	21.4	11.7	305.6	0.0	60.7	1.5
04	27	1980	23.0	13.1	304.4	0.0	53.6	2.8
04	28	1980	22.7	10.5	338.0	0.0	39.7	3.8
04	29	1980	18.0	11.2	247.7	11.8	60.3	3.9
04	30	1980	20.5	10.7	319.4	11.7	48.0	4.2
05	01	1980	20.2	12.2	218.7	0.0	48.5	3.1
05	02	1980	22.5	13.7	289.4	0.0	41.2	2.7
05	03	1980	18.0	13.1	194.4	16.5	69.3	5.9
05	04	1980	19.6	12.8	297.5	6.0	57.5	5.1
05	05	1980	21.0	13.0	295.1	8.8	56.4	5.1
05	06	1980	21.2	14.5	230.3	26.6	60.9	5.7
05	07	1980	21.6	13.5	199.1	0.0	52.7	3.5
05	08	1980	23.3	13.0	336.8	0.0	45.6	3.2
05	09	1980	27.9	13.2	292.8	0.0	29.0	1.5
05	10	1980	25.8	13.5	232.6	0.0	39.8	3.7
05	11	1980	24.5	13.1	158.6	0.0	36.5	2.9
05	12	1980	19.4	12.9	302.1	6.1	48.4	4.3
05	13	1980	21.3	10.6	222.2	0.0	34.4	3.6
05	14	1980	24.2	10.9	361.1	0.0	31.1	2.8
05	15	1980	28.8	13.2	354.2	0.0	23.5	1.4
05	16	1980	27.5	15.4	341.4	0.0	37.2	2.2
05	17	1980	26.9	13.9	354.2	0.0	35.5	2.9
05	18	1980	27.0	13.5	353.0	0.0	31.6	3.7
05	19	1980	26.0	13.7	348.4	0.0	38.7	2.8
05	20	1980	26.3	12.7	348.4	0.0	31.3	4.4
05	21	1980	29.2	12.9	362.3	0.0	24.8	0.7
05	22	1980	25.2	14.8	372.7	0.0	32.1	3.4
05	23	1980	26.9	13.6	355.3	0.0	35.1	2.4
05	24	1980	27.3	14.5	333.3	0.0	31.0	1.4
05	25	1980	23.0	14.7	290.5	0.0	48.4	3.5
05	26	1980	21.5	13.5	342.6	0.0	45.4	4.5
05	27	1980	19.0	12.5	179.4	10.6	51.1	3.8
05	28	1980	22.9	13.3	347.2	6.0	42.2	2.9
05	29	1980	23.4	12.9	357.6	0.0	38.2	4.0
05	30	1980	22.5	13.1	225.7	0.0	43.4	3.8
05	31	1980	28.8	14.6	343.7	0.0	41.1	2.9
06	01	1980	32.5	17.7	362.3	0.0	29.7	1.3
06	02	1980	29.0	17.9	354.2	0.0	35.8	7.2
06	03	1980	30.3	17.2	360.0	0.0	31.9	6.7
06	04	1980	32.9	17.3	310.2	0.0	20.1	4.8
06	05	1980	37.0	17.6	328.7	0.0	21.2	0.9
06	06	1980	29.4	18.3	223.4	0.0	35.8	3.4
06	07	1980	25.4	16.4	370.4	0.0	45.6	4.1
06	08	1980	25.8	15.7	362.3	0.0	41.3	4.7
06	09	1980	25.6	16.1	356.5	0.0	47.2	4.5
06	10	1980	26.3	16.7	230.3	0.0	43.8	3.5
06	11	1980	25.7	17.1	305.6	0.0	53.6	3.3
06	12	1980	24.8	16.6	341.4	3.4	47.2	3.1
