ascii_0/ENEA_Puglia_1.txt
15.4844	42.1240
MO	DA	YEAR	TMAX	TMIN	SOL	PRCP	RH	WIND
01	01	2003	11.7	6.2	46.8	12.2	68.5	8.5
01	02	2003	11.1	4.9	80.2	0.0	67.8	6.4
01	03	2003	14.5	4.2	72.0	1.8	73.2	7.5
01	04	2003	15.3	4.7	88.3	0.0	67.7	6.2
01	05	2003	11.0	8.9	88.3	0.1	51.3	7.0
01	06	2003	12.9	-0.0	81.0	2.3	56.9	7.0
01	07	2003	11.7	2.7	67.9	5.5	70.3	8.6
01	08	2003	10.5	-4.2	53.4	5.8	70.1	8.0
01	09	2003	10.2	-7.0	45.2	5.8	76.6	8.2
01	10	2003	10.0	-2.9	61.5	1.7	72.9	5.5
01	11	2003	9.0	4.8	57.1	1.6	66.7	11.1
01	12	2003	12.7	4.7	44.7	0.2	70.0	10.3
01	13	2003	10.9	2.7	48.4	0.3	61.6	7.2
01	14	2003	9.6	3.7	95.5	0.0	59.7	4.1
01	15	2003	10.0	-0.5	98.0	0.0	60.0	2.6
01	16	2003	11.0	0.9	95.8	0.2	70.0	3.1
01	17	2003	10.8	-0.1	71.4	2.1	69.0	3.9
01	18	2003	10.6	1.2	36.9	13.9	78.1	6.6
01	19	2003	10.6	2.1	67.6	7.4	72.8	7.4
01	20	2003	10.1	-2.2	88.6	0.0	70.1	2.9
01	21	2003	9.7	8.0	98.8	1.3	70.0	8.1
01	22	2003	10.8	8.8	104.3	0.1	68.2	5.9
01	23	2003	11.0	2.8	91.9	5.3	77.8	4.8
01	24	2003	9.0	5.7	17.7	36.7	72.9	11.3
01	25	2003	9.3	5.0	39.1	19.5	67.9	8.5
01	26	2003	9.4	6.5	68.6	2.6	69.7	10.2
01	27	2003	9.3	5.1	77.1	0.1	63.2	11.2
01	28	2003	7.5	3.5	110.0	0.1	63.5	6.9
01	29	2003	10.3	3.4	101.6	2.3	74.1	4.7
01	30	2003	10.4	5.5	107.4	1.5	57.9	8.1
01	31	2003	10.5	1.2	106.6	6.8	58.5	4.3
02	01	2003	10.6	2.2	36.9	22.9	71.6	9.4
02	02	2003	10.6	3.0	105.7	1.5	60.2	11.1
02	03	2003	10.5	1.2	124.5	0.0	50.7	6.6
02	04	2003	9.0	-8.1	91.5	5.6	68.9	8.4
02	05	2003	7.9	-1.9	73.4	21.0	64.6	10.0
02	06	2003	4.1	1.8	83.8	7.3	59.6	7.2
02	07	2003	6.7	2.3	118.0	2.1	53.4	7.0
02	08	2003	7.4	-1.1	133.7	0.0	45.7	2.9
02	09	2003	4.7	-1.9	98.7	7.8	68.0	3.1
02	10	2003	3.7	-5.0	102.6	1.9	60.7	6.4
02	11	2003	4.9	-4.9	96.8	4.8	64.1	8.5
02	12	2003	4.5	-7.2	89.8	7.7	71.6	8.7
02	13	2003	2.1	-7.2	108.7	4.2	65.0	6.3
02	14	2003	3.0	-7.6	100.6	1.7	66.6	5.3
02	15	2003	3.1	-6.3	102.0	3.2	69.9	6.3
02	16	2003	0.2	-6.0	109.5	4.1	64.4	5.7
02	17	2003	3.8	-1.7	93.5	7.7	65.9	7.5
02	18	2003	2.8	-4.7	76.1	2.1	61.2	8.9
02	19	2003	7.6	-0.4	127.6	1.2	61.6	9.5
02	20	2003	7.2	-1.7	131.7	0.5	59.7	5.3
02	21	2003	5.9	-2.1	113.9	1.5	59.6	2.9
02	22	2003	5.7	-1.8	117.8	3.2	66.6	3.5
02	23	2003	5.4	0.9	117.2	2.2	60.7	5.5
02	24	2003	4.1	-0.5	144.5	0.1	64.7	6.3
02	25	2003	4.1	-3.8	151.6	0.1	67.5	4.1
02	26	2003	4.8	-2.3	172.7	0.0	55.7	4.0
02	27	2003	3.5	-3.3	169.4	0.0	66.1	3.6
02	28	2003	2.8	-4.2	149.8	0.1	77.6	4.1
03	01	2003	3.6	-1.0	159.3	0.0	75.2	2.2
03	02	2003	6.1	-4.1	107.9	0.4	79.9	3.6
