cat	x	y	lon	lat	country	state
887998	1726	525	-7.5	37.6	ESP	AN
888618	1727	524	-7.4	37.7	ESP	AN
888619	1727	525	-7.4	37.6	ESP	AN
888620	1727	526	-7.4	37.5	ESP	AN
888621	1727	527	-7.4	37.4	ESP	AN
888622	1727	528	-7.4	37.3	ESP	AN
888623	1727	529	-7.4	37.2	ESP	AN
889241	1728	523	-7.3	37.8	ESP	AN
889242	1728	524	-7.3	37.7	ESP	AN
889243	1728	525	-7.3	37.6	ESP	AN
889244	1728	526	-7.3	37.5	ESP	AN
889245	1728	527	-7.3	37.4	ESP	AN
889246	1728	528	-7.3	37.3	ESP	AN
889864	1729	522	-7.2	37.9	ESP	AN
889865	1729	523	-7.2	37.8	ESP	AN
889866	1729	524	-7.2	37.7	ESP	AN
889867	1729	525	-7.2	37.6	ESP	AN
889868	1729	526	-7.2	37.5	ESP	AN
889869	1729	527	-7.2	37.4	ESP	AN
889870	1729	528	-7.2	37.3	ESP	AN
890487	1730	521	-7.1	38.0	ESP	AN
890488	1730	522	-7.1	37.9	ESP	AN
890489	1730	523	-7.1	37.8	ESP	AN
890490	1730	524	-7.1	37.7	ESP	AN
890491	1730	525	-7.1	37.6	ESP	AN
890492	1730	526	-7.1	37.5	ESP	AN
890493	1730	527	-7.1	37.4	ESP	AN
890494	1730	528	-7.1	37.3	ESP	AN
891111	1731	521	-7.0	38.0	ESP	AN
891112	1731	522	-7.0	37.9	ESP	AN
891113	1731	523	-7.0	37.8	ESP	AN
891114	1731	524	-7.0	37.7	ESP	AN
891115	1731	525	-7.0	37.6	ESP	AN
891116	1731	526	-7.0	37.5	ESP	AN
891117	1731	527	-7.0	37.4	ESP	AN
891118	1731	528	-7.0	37.3	ESP	AN
891119	1731	529	-7.0	37.2	ESP	AN
891733	1732	519	-6.9	38.2	ESP	AN
891734	1732	520	-6.9	38.1	ESP	AN
891735	1732	521	-6.9	38.0	ESP	AN
891736	1732	522	-6.9	37.9	ESP	AN
