cat	x	y	lon	lat	country	state
446249	1013	883	-78.8	1.8	COL	NA
446250	1013	884	-78.8	1.7	COL	NA
446251	1013	885	-78.8	1.6	COL	NA
446252	1013	886	-78.8	1.5	COL	NA
446947	1014	883	-78.7	1.8	COL	NA
446948	1014	884	-78.7	1.7	COL	NA
446949	1014	885	-78.7	1.6	COL	NA
446950	1014	886	-78.7	1.5	COL	NA
446951	1014	887	-78.7	1.4	COL	NA
447680	1015	878	-78.6	2.3	COL	NA
447681	1015	879	-78.6	2.2	COL	NA
447682	1015	880	-78.6	2.1	COL	NA
447686	1015	884	-78.6	1.7	COL	NA
447687	1015	885	-78.6	1.6	COL	NA
447688	1015	886	-78.6	1.5	COL	NA
447689	1015	887	-78.6	1.4	COL	NA
447690	1015	888	-78.6	1.3	COL	NA
448423	1016	877	-78.5	2.4	COL	NA
448424	1016	878	-78.5	2.3	COL	NA
448425	1016	879	-78.5	2.2	COL	NA
448426	1016	880	-78.5	2.1	COL	NA
448427	1016	881	-78.5	2.0	COL	NA
448428	1016	882	-78.5	1.9	COL	NA
448429	1016	883	-78.5	1.8	COL	NA
448430	1016	884	-78.5	1.7	COL	NA
448431	1016	885	-78.5	1.6	COL	NA
448432	1016	886	-78.5	1.5	COL	NA
448433	1016	887	-78.5	1.4	COL	NA
448434	1016	888	-78.5	1.3	COL	NA
448435	1016	889	-78.5	1.2	COL	NA
449165	1017	875	-78.4	2.6	COL	NA
449166	1017	876	-78.4	2.5	COL	NA
449167	1017	877	-78.4	2.4	COL	NA
449168	1017	878	-78.4	2.3	COL	NA
449169	1017	879	-78.4	2.2	COL	NA
449170	1017	880	-78.4	2.1	COL	NA
449171	1017	881	-78.4	2.0	COL	NA
449172	1017	882	-78.4	1.9	COL	NA
449173	1017	883	-78.4	1.8	COL	NA
449174	1017	884	-78.4	1.7	COL	NA
449175	1017	885	-78.4	1.6	COL	NA
449176	1017	886	-78.4	1.5	COL	NA
449177	1017	887	-78.4	1.4	COL	NA
449178	1017	888	-78.4	1.3	COL	NA
449179	1017	889	-78.4	1.2	COL	NA
449934	1018	876	-78.3	2.5	COL	NA
449935	1018	877	-78.3	2.4	COL	NA
449936	1018	878	-78.3	2.3	COL	NA
449937	1018	879	-78.3	2.2	COL	NA
449938	1018	880	-78.3	2.1	COL	NA
449939	1018	881	-78.3	2.0	COL	NA
449940	1018	882	-78.3	1.9	COL	NA
449941	1018	883	-78.3	1.8	COL	NA
449942	1018	884	-78.3	1.7	COL	NA
449943	1018	885	-78.3	1.6	COL	NA
449944	1018	886	-78.3	1.5	COL	NA
449945	1018	887	-78.3	1.4	COL	NA
449946	1018	888	-78.3	1.3	COL	NA
449947	1018	889	-78.3	1.2	COL	NA
449948	1018	890	-78.3	1.1	COL	NA
450706	1019	875	-78.2	2.6	COL	NA
450707	1019	876	-78.2	2.5	COL	NA
450708	1019	877	-78.2	2.4	COL	NA
450709	1019	878	-78.2	2.3	COL	NA
450710	1019	879	-78.2	2.2	COL	NA
450711	1019	880	-78.2	2.1	COL	NA
450712	1019	881	-78.2	2.0	COL	NA
450713	1019	882	-78.2	1.9	COL	NA
450714	1019	883	-78.2	1.8	COL	NA
450715	1019	884	-78.2	1.7	COL	NA
450716	1019	885	-78.2	1.6	COL	NA
450717	1019	886	-78.2	1.5	COL	NA
450718	1019	887	-78.2	1.4	COL	NA
450719	1019	888	-78.2	1.3	COL	NA
450720	1019	889	-78.2	1.2	COL	NA
450721	1019	890	-78.2	1.1	COL	NA
450722	1019	891	-78.2	1.0	COL	NA
451480	1020	876	-78.1	2.5	COL	NA
451481	1020	877	-78.1	2.4	COL	NA
451482	1020	878	-78.1	2.3	COL	NA
451483	1020	879	-78.1	2.2	COL	NA
451484	1020	880	-78.1	2.1	COL	NA
451485	1020	881	-78.1	2.0	COL	NA
451486	1020	882	-78.1	1.9	COL	NA
451487	1020	883	-78.1	1.8	COL	NA
451488	1020	884	-78.1	1.7	COL	NA
451489	1020	885	-78.1	1.6	COL	NA
451490	1020	886	-78.1	1.5	COL	NA
451491	1020	887	-78.1	1.4	COL	NA
