cat	cat_	file_name	lon	lat	region	province
184244	184244	ENEA_Puglia_184244	16.1947	41.2447	Apulia	BT
184246	184246	ENEA_Puglia_184246	16.1989	41.2447	Apulia	BT
184247	184247	ENEA_Puglia_184247	16.2010	41.2447	Apulia	BT
184248	184248	ENEA_Puglia_184248	16.2031	41.2447	Apulia	BT
184953	184953	ENEA_Puglia_184953	16.1927	41.2427	Apulia	BT
184954	184954	ENEA_Puglia_184954	16.1947	41.2427	Apulia	BT
184955	184955	ENEA_Puglia_184955	16.1968	41.2427	Apulia	BT
184956	184956	ENEA_Puglia_184956	16.1989	41.2427	Apulia	BT
184957	184957	ENEA_Puglia_184957	16.2010	41.2427	Apulia	BT
184958	184958	ENEA_Puglia_184958	16.2031	41.2427	Apulia	BT
185660	185660	ENEA_Puglia_185660	16.1885	41.2406	Apulia	BT
185661	185661	ENEA_Puglia_185661	16.1906	41.2406	Apulia	BT
185662	185662	ENEA_Puglia_185662	16.1927	41.2406	Apulia	BT
185663	185663	ENEA_Puglia_185663	16.1947	41.2406	Apulia	BT
185664	185664	ENEA_Puglia_185664	16.1968	41.2406	Apulia	BT
185665	185665	ENEA_Puglia_185665	16.1989	41.2406	Apulia	BT
185666	185666	ENEA_Puglia_185666	16.2010	41.2406	Apulia	BT
185667	185667	ENEA_Puglia_185667	16.2031	41.2406	Apulia	BT
185668	185668	ENEA_Puglia_185668	16.2052	41.2406	Apulia	BT
186384	186384	ENEA_Puglia_186384	16.1864	41.2385	Apulia	BT
186385	186385	ENEA_Puglia_186385	16.1885	41.2385	Apulia	BT
186386	186386	ENEA_Puglia_186386	16.1906	41.2385	Apulia	BT
186387	186387	ENEA_Puglia_186387	16.1927	41.2385	Apulia	BT
186388	186388	ENEA_Puglia_186388	16.1947	41.2385	Apulia	BT
186389	186389	ENEA_Puglia_186389	16.1968	41.2385	Apulia	BT
186390	186390	ENEA_Puglia_186390	16.1989	41.2385	Apulia	BT
186391	186391	ENEA_Puglia_186391	16.2010	41.2385	Apulia	BT
186392	186392	ENEA_Puglia_186392	16.2031	41.2385	Apulia	BT
186393	186393	ENEA_Puglia_186393	16.2052	41.2385	Apulia	BT
186394	186394	ENEA_Puglia_186394	16.2072	41.2385	Apulia	BT
187106	187106	ENEA_Puglia_187106	16.1843	41.2364	Apulia	BT
187107	187107	ENEA_Puglia_187107	16.1864	41.2364	Apulia	BT
187108	187108	ENEA_Puglia_187108	16.1885	41.2364	Apulia	BT
187109	187109	ENEA_Puglia_187109	16.1906	41.2364	Apulia	BT
187110	187110	ENEA_Puglia_187110	16.1927	41.2364	Apulia	BT
187111	187111	ENEA_Puglia_187111	16.1947	41.2364	Apulia	BT
187112	187112	ENEA_Puglia_187112	16.1968	41.2364	Apulia	BT
187113	187113	ENEA_Puglia_187113	16.1989	41.2364	Apulia	BT
187114	187114	ENEA_Puglia_187114	16.2010	41.2364	Apulia	BT
187115	187115	ENEA_Puglia_187115	16.2031	41.2364	Apulia	BT
187116	187116	ENEA_Puglia_187116	16.2052	41.2364	Apulia	BT
187117	187117	ENEA_Puglia_187117	16.2072	41.2364	Apulia	BT
187827	187827	ENEA_Puglia_187827	16.1822	41.2343	Apulia	BT
187828	187828	ENEA_Puglia_187828	16.1843	41.2343	Apulia	BT
187829	187829	ENEA_Puglia_187829	16.1864	41.2343	Apulia	BT
187830	187830	ENEA_Puglia_187830	16.1885	41.2343	Apulia	BT
187831	187831	ENEA_Puglia_187831	16.1906	41.2343	Apulia	BT
187832	187832	ENEA_Puglia_187832	16.1927	41.2343	Apulia	BT
187833	187833	ENEA_Puglia_187833	16.1947	41.2343	Apulia	BT
187834	187834	ENEA_Puglia_187834	16.1968	41.2343	Apulia	BT
187835	187835	ENEA_Puglia_187835	16.1989	41.2343	Apulia	BT
187837	187837	ENEA_Puglia_187837	16.2031	41.2343	Apulia	BT
187838	187838	ENEA_Puglia_187838	16.2052	41.2343	Apulia	BT
188547	188547	ENEA_Puglia_188547	16.1802	41.2322	Apulia	BT
188548	188548	ENEA_Puglia_188548	16.1822	41.2322	Apulia	BT
188549	188549	ENEA_Puglia_188549	16.1843	41.2322	Apulia	BT
188550	188550	ENEA_Puglia_188550	16.1864	41.2322	Apulia	BT
188551	188551	ENEA_Puglia_188551	16.1885	41.2322	Apulia	BT
188552	188552	ENEA_Puglia_188552	16.1906	41.2322	Apulia	BT
188553	188553	ENEA_Puglia_188553	16.1927	41.2322	Apulia	BT
188554	188554	ENEA_Puglia_188554	16.1947	41.2322	Apulia	BT
188555	188555	ENEA_Puglia_188555	16.1968	41.2322	Apulia	BT
188557	188557	ENEA_Puglia_188557	16.2010	41.2322	Apulia	BT
188558	188558	ENEA_Puglia_188558	16.2031	41.2322	Apulia	BT
188559	188559	ENEA_Puglia_188559	16.2052	41.2322	Apulia	BT
189272	189272	ENEA_Puglia_189272	16.1781	41.2302	Apulia	BT
189273	189273	ENEA_Puglia_189273	16.1802	41.2302	Apulia	BT
189274	189274	ENEA_Puglia_189274	16.1822	41.2302	Apulia	BT
189275	189275	ENEA_Puglia_189275	16.1843	41.2302	Apulia	BT
189276	189276	ENEA_Puglia_189276	16.1864	41.2302	Apulia	BT
189277	189277	ENEA_Puglia_189277	16.1885	41.2302	Apulia	BT
189278	189278	ENEA_Puglia_189278	16.1906	41.2302	Apulia	BT
189279	189279	ENEA_Puglia_189279	16.1927	41.2302	Apulia	BT
189280	189280	ENEA_Puglia_189280	16.1947	41.2302	Apulia	BT
189281	189281	ENEA_Puglia_189281	16.1968	41.2302	Apulia	BT
189284	189284	ENEA_Puglia_189284	16.2031	41.2302	Apulia	BT
